date,DTS:D|Taxes - Corporate Income|mtd
2025-06-05,658.0
2025-06-06,1057.0
2025-06-09,1731.0
2025-06-10,3531.0
2025-06-11,6423.0
2025-06-12,12124.0
2025-06-13,27586.0
2025-06-16,64787.0
2025-06-17,66476.0
2025-06-18,66711.0
2025-06-20,66952.0
2025-06-23,67039.0
2025-06-24,67229.0
2025-06-25,67822.0
2025-06-26,67916.0
2025-06-27,68176.0
2025-06-30,68277.0
2025-07-01,135.0
2025-07-02,272.0
2025-07-03,426.0
2025-07-07,584.0
2025-07-08,685.0
2025-07-09,917.0
2025-07-10,1712.0
2025-07-11,2662.0
2025-07-14,5449.0
2025-07-15,14418.0
2025-07-16,15174.0
2025-07-17,15287.0
2025-07-18,15361.0
2025-07-21,15591.0
2025-07-22,15669.0
2025-07-23,15785.0
2025-07-24,15855.0
2025-07-25,15970.0
2025-07-28,16118.0
2025-07-29,16230.0
2025-07-30,16294.0
2025-07-31,16403.0
2025-08-01,91.0
2025-08-04,136.0
2025-08-05,345.0
2025-08-06,388.0
2025-08-07,452.0
2025-08-08,524.0
2025-08-11,608.0
2025-08-12,727.0
2025-08-13,1284.0
2025-08-14,2331.0
2025-08-15,3349.0
2025-08-18,3436.0
2025-08-19,3577.0
2025-08-20,3651.0
2025-08-21,3810.0
2025-08-22,3869.0
2025-08-25,3996.0
2025-08-26,4088.0
2025-08-27,4167.0
2025-08-28,4362.0
2025-08-29,4528.0
2025-09-02,273.0
2025-09-03,464.0
2025-09-04,658.0
2025-09-05,1038.0
2025-09-08,1795.0
2025-09-09,2609.0
2025-09-10,5095.0
2025-09-11,10421.0
2025-09-12,27872.0
2025-09-15,57556.0
2025-09-16,59441.0
2025-09-17,59659.0
2025-09-18,59880.0
2025-09-19,60081.0
2025-09-22,60286.0
2025-09-23,60505.0
2025-09-24,61606.0
2025-09-25,62336.0
2025-09-26,63381.0
2025-09-29,63499.0
2025-09-30,63974.0
2025-10-01,170.0
2025-10-02,231.0
2025-10-03,316.0
2025-10-06,736.0
2025-10-07,850.0
2025-10-08,968.0
2025-10-09,1247.0
2025-10-10,1801.0
2025-10-14,3823.0
2025-10-15,13471.0
2025-10-16,14617.0
2025-10-17,14721.0
2025-10-20,14964.0
2025-10-21,15036.0
2025-10-22,15448.0
2025-10-23,15917.0
2025-10-24,15980.0
2025-10-27,16566.0
2025-10-28,16639.0
2025-10-29,16715.0
2025-10-30,16807.0
2025-10-31,17067.0
2025-11-03,2880.0
2025-11-04,3014.0
2025-11-05,3058.0
2025-11-06,3113.0
2025-11-07,3199.0
2025-11-10,3268.0
2025-11-12,3824.0
2025-11-13,5127.0
2025-11-14,7028.0
2025-11-17,7930.0
2025-11-18,8054.0
2025-11-19,8152.0
2025-11-20,8235.0
2025-11-21,8334.0
2025-11-24,8394.0
2025-11-25,8458.0
2025-11-26,8550.0
2025-11-28,8676.0
2025-12-01,87.0
2025-12-02,217.0
2025-12-03,375.0
2025-12-04,595.0
2025-12-05,965.0
2025-12-08,1555.0
2025-12-09,2658.0
2025-12-10,4525.0
2025-12-11,9456.0
2025-12-12,22036.0
2025-12-15,56734.0
2025-12-16,58837.0
2025-12-17,59315.0
2025-12-18,59803.0
2025-12-19,60289.0
2025-12-22,60487.0
2025-12-23,60811.0
2025-12-24,60961.0
2025-12-26,63047.0
2025-12-29,63159.0
2025-12-30,63593.0
2025-12-31,65132.0
2026-01-02,600.0
2026-01-05,632.0
2026-01-06,743.0
