date,DTS:D|Taxes - Non Withheld Ind/SECA Electronic|fytd
2025-06-05,507280.0
2025-06-06,508430.0
2025-06-09,510812.0
2025-06-10,513449.0
2025-06-11,516445.0
2025-06-12,522025.0
2025-06-13,534801.0
2025-06-16,562254.0
2025-06-17,570064.0
2025-06-18,571548.0
2025-06-20,572923.0
2025-06-23,573955.0
2025-06-24,574688.0
2025-06-25,575255.0
2025-06-26,575809.0
2025-06-27,576312.0
2025-06-30,577301.0
2025-07-01,578009.0
2025-07-02,578562.0
2025-07-03,579054.0
2025-07-07,579775.0
2025-07-08,580256.0
2025-07-09,580704.0
2025-07-10,581149.0
2025-07-11,581629.0
2025-07-14,582307.0
2025-07-15,583228.0
2025-07-16,583739.0
2025-07-17,584191.0
2025-07-18,584596.0
2025-07-21,585227.0
2025-07-22,585626.0
2025-07-23,586007.0
2025-07-24,586366.0
2025-07-25,586746.0
2025-07-28,587389.0
2025-07-29,587836.0
2025-07-30,588156.0
2025-07-31,588572.0
2025-08-01,589058.0
2025-08-04,589628.0
2025-08-05,590070.0
2025-08-06,590443.0
2025-08-07,590783.0
2025-08-08,591177.0
2025-08-11,591706.0
2025-08-12,592136.0
2025-08-13,592491.0
2025-08-14,592886.0
2025-08-15,593570.0
2025-08-18,594273.0
2025-08-19,594718.0
2025-08-20,595198.0
2025-08-21,595590.0
2025-08-22,596032.0
2025-08-25,596746.0
2025-08-26,597286.0
2025-08-27,597766.0
2025-08-28,598350.0
2025-08-29,598978.0
2025-09-02,600506.0
2025-09-03,601629.0
2025-09-04,602815.0
2025-09-05,604241.0
2025-09-08,607026.0
2025-09-09,609535.0
2025-09-10,613358.0
2025-09-11,619153.0
2025-09-12,630732.0
2025-09-15,665086.0
2025-09-16,675285.0
2025-09-17,676939.0
2025-09-18,677898.0
2025-09-19,678767.0
2025-09-22,680011.0
2025-09-23,680874.0
2025-09-24,681844.0
2025-09-25,682841.0
2025-09-26,683861.0
2025-09-29,685125.0
2025-09-30,686302.0
2025-10-01,1272.0
2025-10-02,2557.0
2025-10-03,3656.0
2025-10-06,5371.0
2025-10-07,7012.0
