date,RRPONTTLD
2022-09-09,2209714.0
2022-09-12,2218546.0
2022-09-13,2202719.0
2022-09-14,2225579.0
2022-09-15,2176188.0
2022-09-16,2186833.0
2022-09-19,2217542.0
2022-09-20,2238870.0
2022-09-21,2315900.0
2022-09-22,2359227.0
2022-09-23,2319361.0
2022-09-26,2299011.0
2022-09-27,2327111.0
2022-09-28,2366798.0
2022-09-29,2371763.0
2022-09-30,2425910.0
2022-10-03,2252523.0
2022-10-04,2233616.0
2022-10-05,2230799.0
2022-10-06,2232801.0
2022-10-07,2226950.0
2022-10-11,2222479.0
2022-10-12,2247206.0
2022-10-13,2244100.0
2022-10-14,2222052.0
2022-10-17,2172301.0
2022-10-18,2226725.0
2022-10-19,2241835.0
2022-10-20,2234071.0
2022-10-21,2265809.0
2022-10-24,2242044.0
2022-10-25,2195616.0
2022-10-26,2186856.0
2022-10-27,2152485.0
2022-10-28,2183290.0
2022-10-31,2275459.0
2022-11-01,2200510.0
2022-11-02,2229861.0
2022-11-03,2219791.0
2022-11-04,2230840.0
2022-11-07,2241317.0
2022-11-08,2232555.0
2022-11-09,2237812.0
2022-11-10,2200586.0
2022-11-14,2165018.0
2022-11-15,2086574.0
2022-11-16,2099070.0
2022-11-17,2114439.0
2022-11-18,2113413.0
2022-11-21,2125426.0
2022-11-22,2103932.0
2022-11-23,2069174.0
2022-11-25,2031066.0
2022-11-28,2054914.0000000002
2022-11-29,2064377.0
2022-11-30,2115913.0
2022-12-01,2050286.0
2022-12-02,2049763.0
2022-12-05,2093647.0
2022-12-06,2111465.0
2022-12-07,2151549.0
2022-12-08,2175973.0
2022-12-09,2146748.0
2022-12-12,2158517.0
2022-12-13,2180676.0
2022-12-14,2192864.0
2022-12-15,2123995.0
2022-12-16,2126540.0
2022-12-19,2134765.0
2022-12-20,2159408.0
2022-12-21,2206965.0
2022-12-22,2222898.0
2022-12-23,2216348.0
2022-12-27,2221259.0
2022-12-28,2293003.0
2022-12-29,2308319.0
2022-12-30,2553716.0
2023-01-03,2188272.0
2023-01-04,2229542.0
2023-01-05,2242486.0
2023-01-06,2208265.0
2023-01-09,2199121.0
2023-01-10,2192942.0
2023-01-11,2199170.0
2023-01-12,2202989.0
2023-01-13,2179781.0
2023-01-17,2093328.0
2023-01-18,2131678.0
2023-01-19,2110145.0
2023-01-20,2090523.0000000002
2023-01-23,2135499.0
2023-01-24,2048386.0
2023-01-25,2031561.0
2023-01-26,2024069.0
2023-01-27,2003634.0
2023-01-30,2048714.0
2023-01-31,2061572.0
2023-02-01,2038262.0
2023-02-02,2050063.0
2023-02-03,2041217.0
2023-02-06,2072261.0
2023-02-07,2057958.0
2023-02-08,2059603.9999999998
2023-02-09,2058942.0
2023-02-10,2042893.0
2023-02-13,2107775.0
2023-02-14,2076547.9999999998
2023-02-15,2011998.0
2023-02-16,2032457.0
2023-02-17,2059661.9999999998
2023-02-21,2046064.0
2023-02-22,2113849.0
2023-02-23,2147417.0
2023-02-24,2142141.0
2023-02-27,2162435.0
2023-02-28,2188035.0
2023-03-01,2133950.0
2023-03-02,2192355.0
2023-03-03,2186150.0
2023-03-06,2190793.0
2023-03-07,2170195.0
2023-03-08,2193237.0
2023-03-09,2229623.0
2023-03-10,2188375.0
2023-03-13,2126677.0
2023-03-14,2042579.0
2023-03-15,2055822.9999999998
2023-03-16,2066319.0
2023-03-17,2106166.0
2023-03-20,2098393.0
2023-03-21,2194631.0
2023-03-22,2279608.0
2023-03-23,2233956.0
2023-03-24,2218458.0
2023-03-27,2220131.0
2023-03-28,2231749.0
2023-03-29,2264862.0
2023-03-30,2271531.0
2023-03-31,2375171.0
2023-04-03,2221010.0
2023-04-04,2219375.0
2023-04-05,2243011.0
2023-04-06,2173663.0
2023-04-10,2239655.0
2023-04-11,2297208.0
2023-04-12,2303862.0
2023-04-13,2321699.0
2023-04-14,2253786.0
2023-04-17,2256845.0
2023-04-18,2238994.0
2023-04-19,2294677.0
2023-04-20,2277259.0
2023-04-21,2290023.0
2023-04-24,2308538.0
2023-04-25,2275402.0
2023-04-26,2279561.0
2023-04-27,2273926.0
2023-04-28,2325479.0
2023-05-01,2239866.0
2023-05-02,2267130.0
2023-05-03,2258222.0
2023-05-04,2242399.0
2023-05-05,2207415.0
2023-05-08,2217601.0
2023-05-09,2222864.0
2023-05-10,2233149.0
2023-05-11,2242243.0
2023-05-12,2229199.0
2023-05-15,2220927.0
2023-05-16,2203214.0
2023-05-17,2213676.0
2023-05-18,2238266.0
2023-05-19,2276720.0
2023-05-22,2275311.0
2023-05-23,2256689.0
2023-05-24,2250709.0
2023-05-25,2197638.0
2023-05-26,2189681.0
2023-05-30,2200479.0
2023-05-31,2254859.0
2023-06-01,2160055.0
2023-06-02,2142102.0
2023-06-05,2131417.0
2023-06-06,2134638.0
2023-06-07,2161556.0
2023-06-08,2141798.0
2023-06-09,2127652.0
2023-06-12,2126870.0
2023-06-13,2074520.0
2023-06-14,2109105.0
2023-06-15,1992140.0
2023-06-16,2011556.0
2023-06-20,1989489.0
2023-06-21,2037102.0
2023-06-22,1994711.0
2023-06-23,1969380.0
2023-06-26,1961027.0
2023-06-27,1951098.0
2023-06-28,1945211.0
2023-06-29,1934684.0
2023-06-30,2034319.0
2023-07-03,1909639.0
2023-07-05,1867061.0
2023-07-06,1854256.0
2023-07-07,1822303.0
2023-07-10,1811981.0
2023-07-11,1775796.0
2023-07-12,1820146.0
2023-07-13,1767432.0
2023-07-14,1740777.0
2023-07-17,1728322.0
2023-07-18,1716862.0
2023-07-19,1732804.0
2023-07-20,1721001.0
2023-07-21,1770752.0
2023-07-24,1770867.0
2023-07-25,1720716.0
2023-07-26,1749733.0
2023-07-27,1735783.0
2023-07-28,1730227.0
