date,DTS:W|Taxes - Individual Tax Refunds (EFT)|mtd
2025-06-05,1547.0
2025-06-06,1608.0
2025-06-09,1696.0
2025-06-10,1830.0
2025-06-11,2922.0
2025-06-12,2999.0
2025-06-13,3082.0
2025-06-16,3174.0
2025-06-17,3283.0
2025-06-18,4289.0
2025-06-20,4281.0
2025-06-23,4270.0
2025-06-24,4489.0
2025-06-25,5205.0
2025-06-26,5310.0
2025-06-27,5372.0
2025-06-30,5478.0
2025-07-01,89.0
2025-07-02,1159.0
2025-07-03,1208.0
2025-07-07,1254.0
2025-07-08,1317.0
2025-07-09,1396.0
2025-07-10,2136.0
2025-07-11,2203.0
2025-07-14,2263.0
2025-07-15,2338.0
2025-07-16,2999.0
2025-07-17,3031.0
2025-07-18,3128.0
2025-07-21,3187.0
2025-07-22,3252.0
2025-07-23,3905.0
2025-07-24,3950.0
2025-07-25,3988.0
2025-07-28,3987.0
2025-07-29,4115.0
2025-07-30,4790.0
2025-07-31,4831.0
2025-08-01,36.0
2025-08-04,82.0
2025-08-05,165.0
2025-08-06,903.0
2025-08-07,941.0
2025-08-08,974.0
2025-08-11,1040.0
2025-08-12,1102.0
2025-08-13,1768.0
2025-08-14,1833.0
2025-08-15,1880.0
2025-08-18,1940.0
2025-08-19,2005.0
2025-08-20,2731.0
2025-08-21,2798.0
2025-08-22,2838.0
2025-08-25,2897.0
2025-08-26,2956.0
2025-08-27,3676.0
2025-08-28,3721.0
2025-08-29,3752.0
2025-09-02,53.0
2025-09-03,111.0
2025-09-04,792.0
2025-09-05,834.0
2025-09-08,883.0
2025-09-09,948.0
2025-09-10,1583.0
2025-09-11,1628.0
2025-09-12,1661.0
2025-09-15,1720.0
2025-09-16,1781.0
2025-09-17,2478.0
2025-09-18,2530.0
2025-09-19,2569.0
2025-09-22,2658.0
2025-09-23,2725.0
2025-09-24,3532.0
2025-09-25,3525.0
2025-09-26,3621.0
2025-09-29,3693.0
2025-09-30,3766.0
2025-10-01,872.0
2025-10-02,906.0
2025-10-03,964.0
2025-10-06,1043.0
2025-10-07,1136.0
2025-10-08,2151.0
2025-10-09,2219.0
2025-10-10,2288.0
2025-10-14,2400.0
2025-10-15,2536.0
2025-10-16,3863.0
2025-10-17,3974.0
2025-10-20,4106.0
2025-10-21,4501.0
2025-10-22,7158.0
2025-10-23,7587.0
2025-10-24,7607.0
2025-10-27,7661.0
2025-10-28,7907.0
2025-10-29,10864.0
2025-10-30,11076.0
2025-10-31,11096.0
2025-11-03,22.0
2025-11-04,74.0
2025-11-05,1894.0
2025-11-06,1914.0
2025-11-07,1906.0
2025-11-10,1930.0
2025-11-12,1956.0
2025-11-13,2720.0
2025-11-14,2734.0
2025-11-17,2736.0
2025-11-18,2764.0
2025-11-19,3276.0
2025-11-20,3352.0
2025-11-21,3400.0
2025-11-24,3488.0
2025-11-25,3611.0
2025-11-26,4828.0
2025-11-28,4865.0
2025-12-01,11.0
2025-12-02,53.0
2025-12-03,511.0
2025-12-04,546.0
2025-12-05,552.0
2025-12-08,567.0
2025-12-09,581.0
2025-12-10,1404.0
2025-12-11,1414.0
2025-12-12,1416.0
2025-12-15,1428.0
2025-12-16,1449.0
2025-12-17,1848.0
2025-12-18,1858.0
2025-12-19,1861.0
2025-12-22,1878.0
2025-12-23,1898.0
2025-12-24,2321.0
2025-12-26,2330.0
2025-12-29,2334.0
2025-12-30,2527.0
2025-12-31,2523.0
2026-01-02,-3.0
2026-01-05,233.0
2026-01-06,230.0
2026-01-07,224.0
2026-01-08,224.0
2026-01-09,224.0
2026-01-12,224.0
2026-01-13,224.0
2026-01-14,223.0
2026-01-15,223.0
2026-01-16,225.0
2026-01-20,226.0
2026-01-21,226.0
2026-01-22,225.0
2026-01-23,225.0
2026-01-26,227.0
2026-01-27,227.0
2026-01-28,227.0
2026-01-29,227.0
2026-01-30,227.0
2026-02-02,1641.0
2026-02-03,2862.0
2026-02-04,5722.0
2026-02-05,5708.0
2026-02-06,6684.0
2026-02-09,9119.0
2026-02-10,10536.0
2026-02-11,17333.0
2026-02-12,18044.0
2026-02-13,19315.0
2026-02-17,22558.0
2026-02-18,23945.0
2026-02-19,32196.0
2026-02-20,33467.0
2026-02-23,60556.0
2026-02-24,75022.0
2026-02-25,107326.0
2026-02-26,109436.0
2026-02-27,111757.0
2026-03-02,3783.0
2026-03-03,7074.0
2026-03-04,22622.0
2026-03-05,24559.0
2026-03-06,28209.0
2026-03-09,31280.0
2026-03-10,33126.0
2026-03-11,46769.0
2026-03-12,48406.0
2026-03-13,51672.0
2026-03-16,54476.0
2026-03-17,56075.0
2026-03-18,68260.0
2026-03-19,69809.0
2026-03-20,72777.0
2026-03-23,75263.0
2026-03-24,76898.0
2026-03-25,87994.0
2026-03-26,89455.0
2026-03-27,92190.0
2026-03-30,94560.0
2026-03-31,96258.0
2026-04-01,10594.0
2026-04-02,12005.0
2026-04-03,14671.0
2026-04-06,17050.0
2026-04-07,18761.0
2026-04-08,29767.0
2026-04-09,31668.0
2026-04-10,35053.0
2026-04-13,37622.0
2026-04-14,40070.0
2026-04-15,52706.0
2026-04-16,54552.0
2026-04-17,58022.0
2026-04-20,61736.0
2026-04-21,64877.0
2026-04-22,81664.0
2026-04-23,84843.0
2026-04-24,86359.0
2026-04-27,87597.0
2026-04-28,88690.0
2026-04-29,99980.0
2026-04-30,101015.0
2026-05-01,613.0
2026-05-04,1176.0
2026-05-05,1644.0
2026-05-06,6864.0
2026-05-07,7182.0
2026-05-08,7499.0
2026-05-11,7885.0
2026-05-12,8231.0
2026-05-13,10932.0
2026-05-14,11158.0
2026-05-15,11435.0
2026-05-18,11728.0
2026-05-19,12038.0
2026-05-20,15657.0
2026-05-21,15842.0
2026-05-22,16071.0
2026-05-26,16362.0
2026-05-27,16614.0
2026-05-28,18797.0
2026-05-29,18961.0
2026-06-01,252.0
2026-06-02,463.0
2026-06-03,2305.0
2026-06-04,2463.0
2026-06-05,2613.0
2026-06-08,2799.0
2026-06-09,2981.0
2026-06-10,4972.0
2026-06-11,5087.0
2026-06-12,5192.0
2026-06-15,5326.0
2026-06-16,5465.0
2026-06-17,7352.0
2026-06-18,7502.0
2026-06-22,7597.0
2026-06-23,7712.0
2026-06-24,7829.0
2026-06-25,9097.0
2026-06-26,9207.0
2026-06-29,9368.0
2026-06-30,9512.0
2026-07-01,1190.0
