date,DTS:W|SSA - Benefits Payments|mtd
2025-06-05,26773.0
2025-06-06,27053.0
2025-06-09,27230.0
2025-06-10,27357.0
2025-06-11,58184.0
2025-06-12,58339.0
2025-06-13,58485.0
2025-06-16,58630.0
2025-06-17,58754.0
2025-06-18,88459.0
2025-06-20,88581.0
2025-06-23,88689.0
2025-06-24,88773.0
2025-06-25,118410.0
2025-06-26,118549.0
2025-06-27,118528.0
2025-06-30,118526.0
2025-07-01,416.0
2025-07-02,577.0
2025-07-03,26261.0
2025-07-07,26369.0
2025-07-08,26457.0
2025-07-09,57318.0
2025-07-10,57417.0
2025-07-11,57513.0
2025-07-14,57616.0
2025-07-15,57714.0
2025-07-16,87500.0
2025-07-17,87604.0
2025-07-18,87688.0
2025-07-21,87786.0
2025-07-22,87884.0
2025-07-23,117626.0
2025-07-24,117747.0
2025-07-25,117843.0
2025-07-28,117834.0
2025-07-29,117833.0
2025-07-30,117832.0
2025-07-31,117828.0
2025-08-01,26249.0
2025-08-04,26336.0
2025-08-05,26402.0
2025-08-06,26615.0
2025-08-07,26742.0
2025-08-08,26859.0
2025-08-11,26970.0
2025-08-12,27062.0
2025-08-13,58082.0
2025-08-14,58179.0
2025-08-15,58270.0
2025-08-18,58376.0
2025-08-19,58462.0
2025-08-20,88371.0
2025-08-21,88469.0
2025-08-22,88548.0
2025-08-25,88666.0
2025-08-26,88762.0
2025-08-27,118491.0
2025-08-28,118483.0
2025-08-29,118469.0
2025-09-02,521.0
2025-09-03,26216.0
2025-09-04,26329.0
2025-09-05,26422.0
2025-09-08,26530.0
2025-09-09,26630.0
2025-09-10,57810.0
2025-09-11,57897.0
2025-09-12,57982.0
2025-09-15,58077.0
2025-09-16,58164.0
2025-09-17,88227.0
2025-09-18,88314.0
2025-09-19,88392.0
2025-09-22,88486.0
2025-09-23,88575.0
2025-09-24,118583.0
2025-09-25,118672.0
2025-09-26,118757.0
2025-09-29,118748.0
2025-09-30,118745.0
2025-10-01,389.0
2025-10-02,491.0
2025-10-03,26230.0
2025-10-06,26405.0
2025-10-07,26589.0
2025-10-08,57883.0
2025-10-09,58064.0
2025-10-10,58231.0
2025-10-14,58406.0
2025-10-15,88569.0
2025-10-16,88732.0
2025-10-17,88872.0
2025-10-20,89033.0
2025-10-21,89182.0
2025-10-22,119347.0
2025-10-23,119555.0
2025-10-24,119649.0
2025-10-27,119742.0
2025-10-28,119733.0
2025-10-29,119733.0
2025-10-30,119731.0
2025-10-31,119728.0
2025-11-03,26532.0
2025-11-04,26611.0
2025-11-05,26668.0
2025-11-06,26779.0
2025-11-07,26888.0
2025-11-10,27003.0
2025-11-12,58286.0
2025-11-13,58347.0
2025-11-14,58431.0
2025-11-17,58513.0
2025-11-18,58609.0
2025-11-19,88831.0
2025-11-20,88935.0
2025-11-21,89018.0
2025-11-24,89127.0
2025-11-25,89114.0
2025-11-26,119155.0
2025-11-28,119150.0
2025-12-01,481.0
2025-12-02,498.0
2025-12-03,26358.0
2025-12-04,26432.0
2025-12-05,26511.0
2025-12-08,26608.0
2025-12-09,26697.0
2025-12-10,58115.0
2025-12-11,58203.0
2025-12-12,58279.0
2025-12-15,58373.0
2025-12-16,58459.0
2025-12-17,88752.0
2025-12-18,88831.0
2025-12-19,88901.0
2025-12-22,88994.0
2025-12-23,89068.0
2025-12-24,119190.0
2025-12-26,119180.0
2025-12-29,119166.0
2025-12-30,119162.0
2025-12-31,119159.0
2026-01-02,26887.0
2026-01-05,26949.0
2026-01-06,26945.0
2026-01-07,27040.0
2026-01-08,27136.0
2026-01-09,27242.0
2026-01-12,27333.0
2026-01-13,27416.0
2026-01-14,59475.0
2026-01-15,59563.0
2026-01-16,59640.0
2026-01-20,59745.0
2026-01-21,90623.0
2026-01-22,90733.0
2026-01-23,90821.0
2026-01-26,90914.0
2026-01-27,91008.0
2026-01-28,121745.0
2026-01-29,121729.0
2026-01-30,121717.0
2026-02-02,499.0
2026-02-03,26903.0
2026-02-04,26996.0
2026-02-05,27066.0
2026-02-06,27176.0
2026-02-09,27282.0
2026-02-10,27373.0
2026-02-11,59624.0
2026-02-12,59707.0
2026-02-13,59784.0
2026-02-17,59884.0
2026-02-18,90943.0
2026-02-19,91048.0
2026-02-20,91134.0
2026-02-23,91221.0
2026-02-24,91295.0
