date,DTS:debt_intragov
2025-06-05,7267331.0
2025-06-06,7268370.0
2025-06-09,7275838.0
2025-06-10,7288998.0
2025-06-11,7266120.0
2025-06-12,7272756.0
2025-06-13,7273079.0
2025-06-16,7307148.0
2025-06-17,7330576.0
2025-06-18,7309571.0
2025-06-20,7315088.0
2025-06-23,7323764.0
2025-06-24,7353694.0
2025-06-25,7325111.0
2025-06-26,7328794.0
2025-06-27,7328198.0
2025-06-30,7257973.0
2025-07-01,7199106.0
2025-07-02,7203709.0
2025-07-03,7185729.0
2025-07-07,7365244.0
2025-07-08,7378830.0
2025-07-09,7354750.0
2025-07-10,7357717.0
2025-07-11,7359760.0
2025-07-14,7363182.0
2025-07-15,7373143.0
2025-07-16,7348830.0
2025-07-17,7358438.0
2025-07-18,7356927.0
2025-07-21,7364109.0
2025-07-22,7378785.0
2025-07-23,7354032.0
2025-07-24,7360362.0
2025-07-25,7371437.0
2025-07-28,7373294.0
2025-07-29,7380594.0
2025-07-30,7379419.0
2025-07-31,7385647.0
2025-08-01,7304354.0
2025-08-04,7314865.0
2025-08-05,7329045.0
2025-08-06,7348514.0
2025-08-07,7353501.0
2025-08-08,7355518.0
2025-08-11,7361283.0
2025-08-12,7371728.0
2025-08-13,7346845.0
2025-08-14,7348280.0
2025-08-15,7365872.0
2025-08-18,7372194.0
2025-08-19,7390311.0
2025-08-20,7365205.0
2025-08-21,7371663.0
2025-08-22,7376034.0
2025-08-25,7395479.0
2025-08-26,7299102.0
2025-08-27,7379780.0
2025-08-28,7378639.0
2025-08-29,7305735.0
2025-09-02,7307648.0
2025-09-03,7306158.0
2025-09-04,7308453.0
2025-09-05,7312365.0
2025-09-08,7319421.0
2025-09-09,7332730.0
2025-09-10,7309242.0
2025-09-11,7314309.0
2025-09-12,7305163.0
2025-09-15,7298580.0
2025-09-16,7316899.0
2025-09-17,7306709.0
2025-09-18,7309371.0
2025-09-19,7308309.0
2025-09-22,7313457.0
2025-09-23,7326622.0
2025-09-24,7309784.0
2025-09-25,7312355.0
2025-09-26,7315524.0
2025-09-29,7322655.0
2025-09-30,7359787.0
2025-10-01,7588512.0
2025-10-02,7596408.0
2025-10-03,7569590.0
2025-10-06,7578657.0
2025-10-07,7587363.0
2025-10-08,7563389.0
2025-10-09,7568880.0
2025-10-10,7569661.0
2025-10-14,7574716.0
2025-10-15,7559533.0
2025-10-16,7559895.0
2025-10-17,7569809.0
2025-10-20,7572498.0
2025-10-21,7582046.0
2025-10-22,7551504.0
2025-10-23,7545631.0
2025-10-24,7546708.0
2025-10-27,7578298.0
2025-10-28,7586265.0
2025-10-29,7588477.0
2025-10-30,7592759.0
2025-10-31,7469385.0
2025-11-03,7436533.0
2025-11-04,7458794.0
2025-11-05,7501872.0
2025-11-06,7507601.0
2025-11-07,7505716.0
2025-11-10,7512385.0
2025-11-12,7492102.0
2025-11-13,7496797.0
2025-11-14,7499125.0
2025-11-17,7506025.0
2025-11-18,7574781.0
2025-11-19,7611561.0
2025-11-20,7618992.0
2025-11-21,7626891.0
2025-11-24,7630050.0
2025-11-25,7637930.0
2025-11-26,7614390.0
2025-11-28,7622094.0
2025-12-01,7572605.0
2025-12-02,7579902.0
2025-12-03,7559895.0
2025-12-04,7564988.0
2025-12-05,7568014.0
2025-12-08,7573043.0
2025-12-09,7583447.0
2025-12-10,7558658.0
2025-12-11,7562422.0
2025-12-12,7565013.0
2025-12-15,7566525.0
2025-12-16,7579345.0
2025-12-17,7562044.0
2025-12-18,7567617.0
2025-12-19,7567886.0
2025-12-22,7574070.0
2025-12-23,7609809.0
2025-12-24,7585694.0
2025-12-26,7591374.0
2025-12-29,7597457.0
2025-12-30,7613317.0
