date,"DTS:D|DHS - Customs Duties, Taxes, and Fees|fytd"
2025-11-10,36690.0
2025-11-12,37120.0
2025-11-13,37468.0
2025-11-14,37946.0
2025-11-17,38367.0
2025-11-18,38717.0
2025-11-19,39086.0
2025-11-20,40435.0
2025-11-21,40938.0
2025-11-24,41665.0
2025-11-25,66241.0
2025-11-26,66665.0
2025-11-28,67108.0
2025-12-01,67535.0
2025-12-02,67885.0
2025-12-03,68266.0
2025-12-04,68584.0
2025-12-05,68936.0
2025-12-08,69367.0
2025-12-09,69760.0
2025-12-10,70171.0
2025-12-11,70549.0
2025-12-12,71061.0
2025-12-15,71554.0
2025-12-16,71999.0
2025-12-17,73041.0
2025-12-18,73764.0
2025-12-19,74492.0
2025-12-22,95549.0
2025-12-23,95854.0
2025-12-24,96164.0
2025-12-26,96532.0
2025-12-29,96545.0
2025-12-30,96548.0
2025-12-31,97484.0
2026-01-02,97869.0
2026-01-05,98208.0
2026-01-06,98569.0
2026-01-07,98892.0
2026-01-08,99204.0
2026-01-09,99527.0
2026-01-12,100009.0
2026-01-13,100437.0
2026-01-14,100915.0
2026-01-15,101233.0
2026-01-16,101626.0
2026-01-20,102031.0
2026-01-21,103274.0
2026-01-22,103798.0
2026-01-23,104425.0
2026-01-26,126064.0
2026-01-27,126400.0
2026-01-28,126853.0
2026-01-29,127257.0
2026-01-30,127950.0
2026-02-02,128519.0
2026-02-03,128997.0
2026-02-04,129402.0
2026-02-05,129719.0
2026-02-06,130074.0
2026-02-09,130428.0
2026-02-10,130779.0
2026-02-11,131109.0
2026-02-12,131480.0
2026-02-13,131944.0
2026-02-17,132291.0
2026-02-18,132677.0
2026-02-19,133790.0
2026-02-20,134174.0
2026-02-23,134831.0
2026-02-24,155607.0
2026-02-25,155895.0
2026-02-26,156160.0
2026-02-27,156563.0
2026-03-02,157030.0
2026-03-03,157415.0
2026-03-04,157787.0
2026-03-05,158052.0
2026-03-06,158414.0
2026-03-09,158731.0
2026-03-10,159011.0
2026-03-11,159261.0
2026-03-12,159487.0
2026-03-13,159910.0
2026-03-16,160197.0
2026-03-17,160462.0
2026-03-18,161439.0
2026-03-19,161871.0
2026-03-20,162403.0
2026-03-23,179977.0
2026-03-24,180240.0
2026-03-25,180464.0
2026-03-26,180699.0
2026-03-27,181096.0
2026-03-30,181401.0
2026-03-31,181662.0
2026-04-01,181903.0
2026-04-02,182225.0
2026-04-03,182518.0
2026-04-06,182722.0
2026-04-07,182986.0
2026-04-08,183366.0
2026-04-09,183662.0
2026-04-10,183984.0
2026-04-13,184294.0
2026-04-14,184654.0
2026-04-15,184900.0
2026-04-16,185145.0
2026-04-17,186271.0
2026-04-20,186608.0
2026-04-21,187090.0
2026-04-22,204252.0
2026-04-23,204498.0
2026-04-24,204829.0
2026-04-27,205168.0
2026-04-28,205486.0
2026-04-29,205865.0
2026-04-30,206437.0
2026-05-01,206805.0
2026-05-04,207123.0
2026-05-05,207374.0
2026-05-06,207632.0
2026-05-07,207885.0
2026-05-08,208226.0
2026-05-11,208556.0
2026-05-12,208813.0
2026-05-13,209130.0
2026-05-14,209462.0
2026-05-15,209765.0
2026-05-18,210086.0
2026-05-19,211143.0
2026-05-20,211562.0
2026-05-21,212006.0
2026-05-22,228638.0
2026-05-26,228926.0
2026-05-27,229226.0
2026-05-28,229604.0
2026-05-29,229985.0
2026-06-01,230333.0
2026-06-02,230672.0
2026-06-03,230970.0
2026-06-04,231208.0
2026-06-05,231540.0
2026-06-08,231934.0
2026-06-09,232214.0
2026-06-10,232548.0
2026-06-11,232833.0
2026-06-12,233228.0
2026-06-15,233535.0
2026-06-16,233853.0
2026-06-17,234705.0
2026-06-18,235140.0
2026-06-22,235844.0
2026-06-23,253160.0
2026-06-24,253450.0
2026-06-25,253781.0
2026-06-26,254070.0
2026-06-29,254533.0
2026-06-30,254815.0
2026-07-01,255112.0
2026-07-02,255416.0
2026-07-03,255826.0
2026-07-06,256187.0
2026-07-07,256227.0
2026-07-08,256562.0
2026-07-09,256831.0
2026-07-10,257104.0
2026-07-13,257467.0
2026-07-14,257881.0
2026-07-15,258199.0
2026-07-16,258509.0
2026-07-17,258992.0
2026-07-20,260019.0
2026-07-21,260486.0
2026-07-22,261002.0
2026-07-23,278442.0
2026-07-24,278791.0
2026-07-27,279146.0
2026-07-28,279507.0
2026-07-29,279938.0
2026-07-30,280285.0
2026-07-31,280949.0
2026-08-03,281284.0
2026-08-04,281580.0
2026-08-05,281855.0
2026-08-06,282095.0
2026-08-07,282469.0
2026-08-10,282763.0
2026-08-11,283129.0
2026-08-12,283382.0
2026-08-13,283664.0
2026-08-14,284088.0
2026-08-17,284391.0
2026-08-18,284703.0
2026-08-19,285748.0
2026-08-20,286133.0
2026-08-21,286717.0
2026-08-24,304422.0
2026-08-25,304648.0
2026-08-26,304895.0
2026-08-27,305172.0
2026-08-28,305597.0
2026-08-31,305950.0
2026-09-01,306302.0
2026-09-02,306542.0
2026-09-03,306812.0
2026-09-04,307176.0
2026-09-08,307521.0
2026-09-09,307825.0
