date,DTS:D|Taxes - Withheld Individual/FICA
2025-06-05,2975.0
2025-06-06,9353.0
2025-06-09,24760.0
2025-06-10,2979.0
2025-06-11,12368.0
2025-06-12,5876.0
2025-06-13,13769.0
2025-06-16,40818.0
2025-06-17,5963.0
2025-06-18,12974.0
2025-06-20,10412.0
2025-06-23,27247.0
2025-06-24,3278.0
2025-06-25,10800.0
2025-06-26,4058.0
2025-06-27,9467.0
2025-06-30,25707.0
2025-07-01,21436.0
2025-07-02,15972.0
2025-07-03,6748.0
2025-07-07,31799.0
2025-07-08,3444.0
2025-07-09,10520.0
2025-07-10,2853.0
2025-07-11,9365.0
2025-07-14,20899.0
2025-07-15,6422.0
2025-07-16,23483.0
2025-07-17,4063.0
2025-07-18,11640.0
2025-07-21,24681.0
2025-07-22,2990.0
2025-07-23,10905.0
2025-07-24,3169.0
2025-07-25,7821.0
2025-07-28,24203.0
2025-07-29,3186.0
2025-07-30,10314.0
2025-07-31,6880.0
2025-08-01,27916.0
2025-08-04,27964.0
2025-08-05,3315.0
2025-08-06,14666.0
2025-08-07,3043.0
2025-08-08,8921.0
2025-08-11,22990.0
2025-08-12,2944.0
2025-08-13,10428.0
2025-08-14,2823.0
2025-08-15,11825.0
2025-08-18,38538.0
2025-08-19,7545.0
2025-08-20,12947.0
2025-08-21,4286.0
2025-08-22,8736.0
2025-08-25,23407.0
2025-08-26,3565.0
2025-08-27,11292.0
2025-08-28,3061.0
2025-08-29,11525.0
2025-09-02,46635.0
2025-09-03,7159.0
2025-09-04,12023.0
2025-09-05,7604.0
2025-09-08,22953.0
2025-09-09,3022.0
2025-09-10,10972.0
2025-09-11,4300.0
2025-09-12,8478.0
2025-09-15,28599.0
2025-09-16,16859.0
2025-09-17,13706.0
2025-09-18,5246.0
2025-09-19,10111.0
2025-09-22,22557.0
2025-09-23,3576.0
2025-09-24,11357.0
2025-09-25,3379.0
2025-09-26,9439.0
2025-09-29,25440.0
2025-09-30,5918.0
2025-10-01,29291.0
2025-10-02,8478.0
2025-10-03,11088.0
2025-10-06,21450.0
2025-10-07,3051.0
2025-10-08,11401.0
2025-10-09,3060.0
2025-10-10,8985.0
2025-10-14,25512.0
2025-10-15,8248.0
2025-10-16,24827.0
2025-10-17,8044.0
2025-10-20,21652.0
2025-10-21,3462.0
2025-10-22,12394.0
2025-10-23,3998.0
2025-10-24,8820.0
2025-10-27,25308.0
2025-10-28,2556.0
2025-10-29,10961.0
2025-10-30,4129.0
2025-10-31,11435.0
2025-11-03,43298.0
2025-11-04,4876.0
2025-11-05,13479.0
2025-11-06,3824.0
2025-11-07,8593.0
2025-11-10,24419.0
2025-11-12,7290.0
2025-11-13,10188.0
2025-11-14,9901.0
2025-11-17,38584.0
2025-11-18,3921.0
2025-11-19,17799.0
2025-11-20,3816.0
2025-11-21,10213.0
2025-11-24,27160.0
2025-11-25,3884.0
2025-11-26,14841.0
2025-11-28,16106.0
2025-12-01,35623.0
2025-12-02,8760.0
2025-12-03,13403.0
2025-12-04,3603.0
2025-12-05,9668.0
2025-12-08,26675.0
2025-12-09,3638.0
2025-12-10,11804.0
2025-12-11,6769.0
2025-12-12,10201.0
2025-12-15,31190.0
2025-12-16,21374.0
2025-12-17,14743.0
2025-12-18,6817.0
2025-12-19,15662.0
2025-12-22,34149.0
2025-12-23,7260.0
2025-12-24,16842.0
2025-12-26,12441.0
2025-12-29,27387.0
2025-12-30,8906.0
2025-12-31,21102.0
2026-01-02,39701.0
2026-01-05,30064.0
2026-01-06,5913.0
2026-01-07,15192.0
2026-01-08,5014.0
2026-01-09,9280.0
2026-01-12,24726.0
2026-01-13,2978.0
2026-01-14,11951.0
2026-01-15,9651.0
2026-01-16,24405.0
2026-01-20,28453.0
2026-01-21,7203.0
2026-01-22,12355.0
2026-01-23,9982.0
2026-01-26,28548.0
2026-01-27,3198.0
2026-01-28,13571.0
2026-01-29,3893.0
2026-01-30,12455.0
2026-02-02,57054.0
2026-02-03,6060.0
2026-02-04,13430.0
2026-02-05,3547.0
2026-02-06,9156.0
2026-02-09,26462.0
2026-02-10,4555.0
2026-02-11,13092.0
2026-02-12,3580.0
2026-02-13,11759.0
2026-02-17,53045.0
2026-02-18,8060.0
2026-02-19,16734.0
2026-02-20,10709.0
2026-02-23,31211.0
2026-02-24,3829.0
2026-02-25,11706.0
2026-02-26,6138.0
2026-02-27,15291.0
2026-03-02,65358.0
2026-03-03,6260.0
2026-03-04,15454.0
2026-03-05,4698.0
2026-03-06,11693.0
2026-03-09,37360.0
2026-03-10,4261.0
2026-03-11,14373.0
2026-03-12,6407.0
2026-03-13,15786.0
2026-03-16,66996.0
2026-03-17,6990.0
2026-03-18,13199.0
2026-03-19,5056.0
2026-03-20,8787.0
2026-03-23,31671.0
2026-03-24,3520.0
2026-03-25,10723.0
2026-03-26,4757.0
2026-03-27,10131.0
2026-03-30,28714.0
2026-03-31,6431.0
2026-04-01,31893.0
2026-04-02,9462.0
2026-04-03,13574.0
2026-04-06,23587.0
2026-04-07,3387.0
2026-04-08,11985.0
2026-04-09,3808.0
2026-04-10,9009.0
2026-04-13,27445.0
2026-04-14,3145.0
2026-04-15,14993.0
2026-04-16,9709.0
2026-04-17,20000.0
2026-04-20,24437.0
2026-04-21,3733.0
2026-04-22,12404.0
2026-04-23,4136.0
2026-04-24,9379.0
2026-04-27,28860.0
2026-04-28,2434.0
2026-04-29,11743.0
2026-04-30,6720.0
2026-05-01,29727.0
2026-05-04,27656.0
2026-05-05,3445.0
2026-05-06,13965.0
2026-05-07,3209.0
2026-05-08,10591.0
2026-05-11,25883.0
2026-05-12,3303.0
2026-05-13,10380.0
2026-05-14,2872.0
2026-05-15,11860.0
2026-05-18,38623.0
2026-05-19,8375.0
2026-05-20,13266.0
2026-05-21,4371.0
2026-05-22,9923.0
2026-05-26,29643.0
2026-05-27,5083.0
2026-05-28,12002.0
2026-05-29,11223.0
2026-06-01,42683.0
2026-06-02,8492.0
2026-06-03,13403.0
2026-06-04,3222.0
2026-06-05,9151.0
2026-06-08,26783.0
2026-06-09,3084.0
2026-06-10,11249.0
2026-06-11,4938.0
2026-06-12,8253.0
2026-06-15,28362.0
2026-06-16,17920.0
2026-06-17,12760.0
2026-06-18,6091.0
2026-06-22,36444.0
2026-06-23,3771.0
2026-06-24,10646.0
2026-06-25,3348.0
2026-06-26,9909.0
2026-06-29,25279.0
2026-06-30,6134.0
2026-07-01,30592.0
2026-07-02,10609.0
2026-07-03,10821.0
2026-07-06,24084.0
2026-07-07,3241.0
2026-07-08,11776.0
2026-07-09,3091.0
2026-07-10,8085.0
2026-07-13,23528.0
