date,DTS:D|HHS - Medicare Premiums|fytd
2026-06-26,50937.0
2026-06-29,50976.0
2026-06-30,51277.0
2026-07-01,51665.0
2026-07-02,51780.0
2026-07-03,51791.0
2026-07-06,51846.0
2026-07-07,51869.0
2026-07-08,51928.0
2026-07-09,52286.0
2026-07-10,52638.0
2026-07-13,52676.0
2026-07-14,52833.0
2026-07-15,52968.0
2026-07-16,53109.0
2026-07-17,53203.0
2026-07-20,53895.0
2026-07-21,54250.0
2026-07-22,54366.0
2026-07-23,55727.0
2026-07-24,56168.0
2026-07-27,56259.0
2026-07-28,56344.0
2026-07-29,56419.0
2026-07-30,56734.0
2026-07-31,57115.0
2026-08-03,57328.0
2026-08-04,57347.0
2026-08-05,57429.0
2026-08-06,57503.0
2026-08-07,57826.0
2026-08-10,58244.0
2026-08-11,58566.0
2026-08-12,58729.0
2026-08-13,58960.0
2026-08-14,59284.0
2026-08-17,59523.0
2026-08-18,59595.0
2026-08-19,59713.0
2026-08-20,61070.0
2026-08-21,61404.0
2026-08-24,61698.0
2026-08-25,61835.0
2026-08-26,62103.0
2026-08-27,62244.0
2026-08-28,62301.0
2026-08-31,62737.0
2026-09-01,62966.0
2026-09-02,62989.0
2026-09-03,63102.0
2026-09-04,63150.0
