date,DTS:debt_issues|fytd
2025-06-05,21088042.0
2025-06-06,21090291.0
2025-06-09,21092130.0
2025-06-10,21278568.0
2025-06-11,21280854.0
2025-06-12,21535480.0
2025-06-13,21538352.0
2025-06-16,21660130.0
2025-06-17,21845845.0
2025-06-18,21848662.0
2025-06-20,22053059.0
2025-06-23,22054702.0
2025-06-24,22241298.0
2025-06-25,22244799.0
2025-06-26,22453211.0
2025-06-27,22482836.0
2025-06-30,22726555.0
2025-07-01,22965432.0
2025-07-02,22967728.0
2025-07-03,23181934.0
2025-07-07,23185093.0
2025-07-08,23415505.0
2025-07-09,23417289.0
2025-07-10,23686223.0
2025-07-11,23687801.0
2025-07-14,23689398.0
2025-07-15,24041945.0
2025-07-16,24044091.0
2025-07-17,24280042.0
2025-07-18,24281847.0
2025-07-21,24283616.0
2025-07-22,24523749.0
2025-07-23,24526002.0
2025-07-24,24770643.0
2025-07-25,24772425.0
2025-07-28,24774066.0
2025-07-29,25025968.0
2025-07-30,25027836.0
2025-07-31,25541394.0
2025-08-01,25543182.0
2025-08-04,25544977.0
2025-08-05,25796047.0
2025-08-06,25798040.0
2025-08-07,26102943.0
2025-08-08,26104620.0
2025-08-11,26106315.0
2025-08-12,26361596.0
2025-08-13,26363600.0
2025-08-14,26620587.0
2025-08-15,26789707.0
2025-08-18,26791430.0
2025-08-19,27048288.0
2025-08-20,27050926.0
2025-08-21,27304420.0
2025-08-22,27306114.0
2025-08-25,27307864.0
2025-08-26,27564137.0
2025-08-27,27566419.0
2025-08-28,27817832.0
2025-08-29,27855446.0
2025-09-02,28333778.0
2025-09-03,28336172.0
2025-09-04,28631433.0
2025-09-05,28633295.0
2025-09-08,28636032.0
2025-09-09,28891561.0
2025-09-10,28893923.0
2025-09-11,29143968.0
2025-09-12,29145755.0
2025-09-15,29268520.0
2025-09-16,29525020.0
2025-09-17,29527713.0
2025-09-18,29776866.0
2025-09-19,29778614.0
2025-09-22,29780389.0
2025-09-23,30035965.0
2025-09-24,30039353.0
2025-09-25,30290229.0
2025-09-26,30319998.0
2025-09-29,30322127.0
2025-09-30,30805783.0
2025-10-01,2209.0
2025-10-02,311331.0
2025-10-03,313474.0
2025-10-06,316764.0
2025-10-07,585493.0
2025-10-08,587523.0
2025-10-09,849517.0
2025-10-10,851311.0
2025-10-14,1130862.0
2025-10-15,1256298.0
2025-10-16,1523334.0
2025-10-17,1525736.0
2025-10-20,1527545.0
2025-10-21,1807767.0
2025-10-22,1810069.0
2025-10-23,2078749.0
2025-10-24,2080514.0
2025-10-27,2082318.0
2025-10-28,2362670.0
2025-10-29,2364810.0
2025-10-30,2688882.0
2025-10-31,2957716.0
2025-11-03,2959429.0
2025-11-04,3239974.0
2025-11-05,3242335.0
2025-11-06,3513304.0
2025-11-07,3514991.0
2025-11-10,3516698.0
2025-11-12,3796389.0
2025-11-13,4072188.0
2025-11-14,4073930.0
2025-11-17,4219548.0
2025-11-18,4500417.0
2025-11-19,4503382.0
2025-11-20,4776428.0
2025-11-21,4778142.0
2025-11-24,4779867.0
2025-11-25,5059484.0
2025-11-26,5061235.0
2025-11-28,5418892.0
2025-12-01,5642458.0
2025-12-02,5903044.0
2025-12-03,5905054.0
2025-12-04,6150730.0
2025-12-05,6152491.0
2025-12-08,6154243.0
2025-12-09,6399247.0
2025-12-10,6401593.0
2025-12-11,6651451.0
2025-12-12,6653178.0
2025-12-15,6772692.0
2025-12-16,7012592.0
2025-12-17,7015089.0
2025-12-18,7264115.0
2025-12-19,7266002.0
2025-12-22,7267767.0
2025-12-23,7504005.0
2025-12-24,7505740.0
2025-12-26,7834101.0
2025-12-29,7836080.0
2025-12-30,8071355.0
2025-12-31,8315350.0
2026-01-02,8568219.0
2026-01-05,8570066.0
2026-01-06,8805490.0
2026-01-07,8808759.0
2026-01-08,9059706.0
2026-01-09,9061433.0
2026-01-12,9063235.0
2026-01-13,9297676.0
2026-01-14,9299549.0
2026-01-15,9698668.0
2026-01-16,9700389.0
2026-01-20,9959736.0
2026-01-21,9962487.0
2026-01-22,10275939.0
2026-01-23,10277695.0
2026-01-26,10279465.0
2026-01-27,10553620.0
2026-01-28,10555617.0
2026-01-29,10824574.0
2026-01-30,10847424.0
2026-02-02,11090420.0
2026-02-03,11365268.0
2026-02-04,11367056.0
2026-02-05,11635509.0
2026-02-06,11637245.0
2026-02-09,11638978.0
2026-02-10,11914250.0
2026-02-11,11915954.0
2026-02-12,12188280.0
2026-02-13,12189984.0
2026-02-17,12625368.0
2026-02-18,12627389.0
2026-02-19,12947181.0
2026-02-20,12949243.0
2026-02-23,12950969.0
2026-02-24,13225385.0
2026-02-25,13227568.0
2026-02-26,13493937.0
2026-02-27,13532675.0
2026-03-02,13756801.0
2026-03-03,14037584.0
2026-03-04,14040681.0
2026-03-05,14306121.0
2026-03-06,14307917.0
