date,DTS:debt_redemptions
2025-06-05,226617.0
2025-06-06,1711.0
2025-06-09,2103.0
2025-06-10,231269.0
2025-06-11,11405.0
2025-06-12,275182.0
2025-06-13,3278.0
2025-06-16,52674.0
2025-06-17,229234.0
2025-06-18,3058.0
2025-06-20,224568.0
2025-06-23,2036.0
2025-06-24,227167.0
2025-06-25,1836.0
2025-06-26,229953.0
2025-06-27,2143.0
2025-06-30,131366.0
2025-07-01,224164.0
2025-07-02,1653.0
2025-07-03,235974.0
2025-07-07,2331.0
2025-07-08,207059.0
2025-07-09,2005.0
2025-07-10,282094.0
2025-07-11,2955.0
2025-07-14,2888.0
2025-07-15,311728.0
2025-07-16,1755.0
2025-07-17,221096.0
2025-07-18,1722.0
2025-07-21,1690.0
2025-07-22,206956.0
2025-07-23,1724.0
2025-07-24,219115.0
2025-07-25,1726.0
2025-07-28,1780.0
2025-07-29,192324.0
2025-07-30,2013.0
2025-07-31,409142.0
2025-08-01,11101.0
2025-08-04,1825.0
2025-08-05,177043.0
2025-08-06,1795.0
2025-08-07,269042.0
2025-08-08,1770.0
2025-08-11,1808.0
2025-08-12,201900.0
2025-08-13,1885.0
2025-08-14,218484.0
2025-08-15,139518.0
2025-08-18,2022.0
2025-08-19,212207.0
2025-08-20,5739.0
2025-08-21,210523.0
2025-08-22,3398.0
2025-08-25,1786.0
2025-08-26,212256.0
2025-08-27,3248.0
2025-08-28,227775.0
2025-08-29,1914.0
2025-09-02,345055.0
2025-09-03,1901.0
2025-09-04,280855.0
2025-09-05,2241.0
2025-09-08,3160.0
2025-09-09,237293.0
2025-09-10,2000.0
2025-09-11,237365.0
2025-09-12,1914.0
2025-09-15,43649.0
2025-09-16,307892.0
2025-09-17,1916.0
2025-09-18,239092.0
2025-09-19,4012.0
2025-09-22,2521.0
2025-09-23,312533.0
2025-09-24,2034.0
2025-09-25,243372.0
2025-09-26,1792.0
2025-09-29,2605.0
2025-09-30,391633.0
2025-10-01,6362.0
2025-10-02,304334.0
2025-10-03,4027.0
2025-10-06,3103.0
2025-10-07,253251.0
2025-10-08,4123.0
2025-10-09,250951.0
2025-10-10,2138.0
2025-10-14,253529.0
2025-10-15,85692.0
2025-10-16,247444.0
2025-10-17,2213.0
2025-10-20,2814.0
2025-10-21,252933.0
2025-10-22,2353.0
2025-10-23,249208.0
2025-10-24,2571.0
2025-10-27,1902.0
2025-10-28,256124.0
2025-10-29,3401.0
2025-10-30,304064.0
2025-10-31,214601.0
2025-11-03,5867.0
2025-11-04,262464.0
2025-11-05,2234.0
2025-11-06,252567.0
2025-11-07,1737.0
2025-11-10,1902.0
2025-11-12,267447.0
2025-11-13,254861.0
2025-11-14,2146.0
2025-11-17,125650.0
2025-11-18,267536.0
2025-11-19,5400.0
2025-11-20,256859.0
2025-11-21,2273.0
2025-11-24,2819.0
2025-11-25,267175.0
2025-11-26,2859.0
2025-11-28,310113.0
2025-12-01,147399.0
2025-12-02,272168.0
2025-12-03,1806.0
2025-12-04,266997.0
2025-12-05,4155.0
2025-12-08,1826.0
2025-12-09,277363.0
2025-12-10,1773.0
2025-12-11,258538.0
2025-12-12,14415.0
2025-12-15,43223.0
2025-12-16,277129.0
2025-12-17,1852.0
2025-12-18,260748.0
2025-12-19,3481.0
2025-12-22,2176.0
2025-12-23,274644.0
2025-12-24,1854.0
2025-12-26,309966.0
2025-12-29,2026.0
2025-12-30,267404.0
2025-12-31,157247.0
2026-01-02,270954.0
2026-01-05,2248.0
2026-01-06,257491.0
2026-01-07,1894.0
2026-01-08,257488.0
2026-01-09,3361.0
2026-01-12,2317.0
2026-01-13,251920.0
2026-01-14,1811.0
2026-01-15,378545.0
2026-01-16,2010.0
2026-01-20,248151.0
2026-01-21,1864.0
2026-01-22,299974.0
2026-01-23,3370.0
2026-01-26,1889.0
2026-01-27,236843.0
2026-01-28,3082.0
2026-01-29,248436.0
2026-01-30,1851.0
2026-02-02,246926.0
2026-02-03,234063.0
2026-02-04,1859.0
2026-02-05,252971.0
2026-02-06,5306.0
2026-02-09,1772.0
2026-02-10,236048.0
2026-02-11,3007.0
2026-02-12,252259.0
2026-02-13,1831.0
2026-02-17,380581.0
2026-02-18,1935.0
2026-02-19,299438.0
2026-02-20,4107.0
2026-02-23,2222.0
2026-02-24,260939.0
2026-02-25,3320.0
2026-02-26,247701.0
2026-02-27,2125.0
2026-03-02,168003.0
2026-03-03,261293.0
2026-03-04,1947.0
2026-03-05,257355.0
2026-03-06,3215.0
2026-03-09,2168.0
2026-03-10,261111.0
2026-03-11,16460.0
2026-03-12,263055.0
2026-03-13,1926.0
2026-03-16,40636.0
2026-03-17,271075.0
2026-03-18,16935.0
2026-03-19,310003.0
2026-03-20,2137.0
2026-03-23,1970.0
2026-03-24,275967.0
2026-03-25,1823.0
2026-03-26,264934.0
2026-03-27,3309.0
2026-03-30,2127.0
2026-03-31,435540.0
2026-04-01,3528.0
2026-04-02,280930.0
2026-04-03,1937.0
2026-04-06,1868.0
2026-04-07,276201.0
2026-04-08,1814.0
2026-04-09,265822.0
2026-04-10,3320.0
2026-04-13,2166.0
2026-04-14,271644.0
2026-04-15,94613.0
2026-04-16,316988.0
2026-04-17,17146.0
2026-04-20,2756.0
2026-04-21,261308.0
2026-04-22,1783.0
2026-04-23,286183.0
2026-04-24,2291.0
