date,DTS:D|Taxes - Corporate Income
2025-06-05,206.0
2025-06-06,399.0
2025-06-09,674.0
2025-06-10,1799.0
2025-06-11,2893.0
2025-06-12,5701.0
2025-06-13,15462.0
2025-06-16,37201.0
2025-06-17,1689.0
2025-06-18,236.0
2025-06-20,240.0
2025-06-23,88.0
2025-06-24,189.0
2025-06-25,593.0
2025-06-26,94.0
2025-06-27,260.0
2025-06-30,101.0
2025-07-01,135.0
2025-07-02,137.0
2025-07-03,155.0
2025-07-07,158.0
2025-07-08,100.0
2025-07-09,232.0
2025-07-10,795.0
2025-07-11,951.0
2025-07-14,2787.0
2025-07-15,8969.0
2025-07-16,756.0
2025-07-17,113.0
2025-07-18,74.0
2025-07-21,230.0
2025-07-22,78.0
2025-07-23,117.0
2025-07-24,70.0
2025-07-25,115.0
2025-07-28,148.0
2025-07-29,112.0
2025-07-30,64.0
2025-07-31,109.0
2025-08-01,91.0
2025-08-04,46.0
2025-08-05,209.0
2025-08-06,43.0
2025-08-07,64.0
2025-08-08,72.0
2025-08-11,84.0
2025-08-12,119.0
2025-08-13,557.0
2025-08-14,1047.0
2025-08-15,1018.0
2025-08-18,87.0
2025-08-19,141.0
2025-08-20,74.0
2025-08-21,159.0
2025-08-22,59.0
2025-08-25,127.0
2025-08-26,92.0
2025-08-27,80.0
2025-08-28,194.0
2025-08-29,166.0
2025-09-02,273.0
2025-09-03,191.0
2025-09-04,194.0
2025-09-05,379.0
2025-09-08,757.0
2025-09-09,814.0
2025-09-10,2486.0
2025-09-11,5327.0
2025-09-12,17451.0
2025-09-15,29684.0
2025-09-16,1885.0
2025-09-17,218.0
2025-09-18,221.0
2025-09-19,201.0
2025-09-22,206.0
2025-09-23,219.0
2025-09-24,1100.0
2025-09-25,730.0
2025-09-26,1045.0
2025-09-29,118.0
2025-09-30,476.0
2025-10-01,170.0
2025-10-02,61.0
2025-10-03,86.0
2025-10-06,420.0
2025-10-07,113.0
2025-10-08,118.0
2025-10-09,280.0
2025-10-10,554.0
2025-10-14,2022.0
2025-10-15,9647.0
2025-10-16,1147.0
2025-10-17,104.0
2025-10-20,243.0
2025-10-21,72.0
2025-10-22,413.0
2025-10-23,468.0
2025-10-24,63.0
2025-10-27,586.0
2025-10-28,73.0
2025-10-29,76.0
2025-10-30,92.0
2025-10-31,260.0
2025-11-03,2880.0
2025-11-04,134.0
2025-11-05,44.0
2025-11-06,55.0
2025-11-07,86.0
2025-11-10,69.0
2025-11-12,556.0
2025-11-13,1303.0
2025-11-14,1901.0
2025-11-17,902.0
2025-11-18,124.0
2025-11-19,97.0
2025-11-20,83.0
2025-11-21,99.0
2025-11-24,60.0
2025-11-25,64.0
2025-11-26,92.0
2025-11-28,126.0
2025-12-01,87.0
2025-12-02,129.0
2025-12-03,159.0
2025-12-04,220.0
2025-12-05,370.0
2025-12-08,591.0
2025-12-09,1103.0
2025-12-10,1867.0
2025-12-11,4930.0
2025-12-12,12580.0
2025-12-15,34699.0
2025-12-16,2103.0
2025-12-17,478.0
2025-12-18,488.0
2025-12-19,486.0
2025-12-22,198.0
2025-12-23,324.0
2025-12-24,150.0
2025-12-26,2086.0
2025-12-29,112.0
2025-12-30,434.0
2025-12-31,1539.0
2026-01-02,600.0
2026-01-05,32.0
2026-01-06,111.0
2026-01-07,351.0
2026-01-08,205.0
2026-01-09,443.0
2026-01-12,395.0
2026-01-13,898.0
2026-01-14,1361.0
2026-01-15,20151.0
2026-01-16,587.0
2026-01-20,134.0
2026-01-21,186.0
2026-01-22,194.0
2026-01-23,111.0
2026-01-26,198.0
2026-01-27,401.0
2026-01-28,608.0
2026-01-29,82.0
2026-01-30,128.0
2026-02-02,67.0
2026-02-03,78.0
2026-02-04,47.0
2026-02-05,63.0
2026-02-06,86.0
2026-02-09,77.0
2026-02-10,95.0
2026-02-11,224.0
2026-02-12,325.0
2026-02-13,2022.0
2026-02-17,1860.0
2026-02-18,144.0
2026-02-19,103.0
2026-02-20,125.0
2026-02-23,14.0
2026-02-24,46.0
2026-02-25,76.0
2026-02-26,374.0
2026-02-27,93.0
2026-03-02,81.0
2026-03-03,76.0
2026-03-04,84.0
2026-03-05,146.0
2026-03-06,127.0
2026-03-09,289.0
2026-03-10,356.0
2026-03-11,266.0
2026-03-12,1134.0
2026-03-13,5518.0
2026-03-16,2963.0
2026-03-17,303.0
2026-03-18,196.0
2026-03-19,85.0
2026-03-20,537.0
2026-03-23,274.0
2026-03-24,55.0
2026-03-25,115.0
2026-03-26,738.0
2026-03-27,649.0
2026-03-30,189.0
2026-03-31,277.0
2026-04-01,208.0
2026-04-02,143.0
2026-04-03,329.0
2026-04-06,653.0
2026-04-07,742.0
2026-04-08,759.0
2026-04-09,1452.0
2026-04-10,6574.0
2026-04-13,8333.0
2026-04-14,15086.0
2026-04-15,40039.0
