date,DTS:W|SSA - Supplemental Security Income|fytd
2025-06-05,47967.0
2025-06-06,47984.0
2025-06-09,47998.0
2025-06-10,48012.0
2025-06-11,48029.0
2025-06-12,48042.0
2025-06-13,48057.0
2025-06-16,48072.0
2025-06-17,48085.0
2025-06-18,48099.0
2025-06-20,48112.0
2025-06-23,48126.0
2025-06-24,48135.0
2025-06-25,48149.0
2025-06-26,48162.0
2025-06-27,48175.0
2025-06-30,48201.0
2025-07-01,53214.0
2025-07-02,53307.0
2025-07-03,53322.0
2025-07-07,53337.0
2025-07-08,53350.0
2025-07-09,53365.0
2025-07-10,53379.0
2025-07-11,53394.0
2025-07-14,53407.0
2025-07-15,53420.0
2025-07-16,53435.0
2025-07-17,53448.0
2025-07-18,53462.0
2025-07-21,53475.0
2025-07-22,53486.0
2025-07-23,53500.0
2025-07-24,53513.0
2025-07-25,53527.0
2025-07-28,53540.0
2025-07-29,53551.0
2025-07-30,53549.0
2025-07-31,53549.0
2025-08-01,58557.0
2025-08-04,58707.0
2025-08-05,58719.0
2025-08-06,58734.0
2025-08-07,58750.0
2025-08-08,58766.0
2025-08-11,58784.0
2025-08-12,58797.0
2025-08-13,58814.0
2025-08-14,58828.0
2025-08-15,58843.0
2025-08-18,58857.0
2025-08-19,58870.0
2025-08-20,58887.0
2025-08-21,58901.0
2025-08-22,58916.0
2025-08-25,58930.0
2025-08-26,58944.0
2025-08-27,58942.0
2025-08-28,58941.0
2025-08-29,63945.0
2025-09-02,64114.0
2025-09-03,64124.0
2025-09-04,64137.0
2025-09-05,64154.0
2025-09-08,64171.0
2025-09-09,64184.0
2025-09-10,64206.0
2025-09-11,64220.0
2025-09-12,64236.0
2025-09-15,64249.0
2025-09-16,64263.0
2025-09-17,64280.0
2025-09-18,64295.0
2025-09-19,64309.0
2025-09-22,64324.0
2025-09-23,64337.0
2025-09-24,64354.0
2025-09-25,64367.0
2025-09-26,64382.0
2025-09-29,64396.0
2025-09-30,64409.0
2025-10-01,5031.0
2025-10-02,5161.0
2025-10-03,5173.0
2025-10-06,5188.0
2025-10-07,5202.0
2025-10-08,5216.0
2025-10-09,5238.0
2025-10-10,5254.0
2025-10-14,5268.0
2025-10-15,5281.0
2025-10-16,5294.0
2025-10-17,5310.0
2025-10-20,5325.0
2025-10-21,5338.0
2025-10-22,5351.0
2025-10-23,5366.0
2025-10-24,5381.0
2025-10-27,5394.0
2025-10-28,5406.0
2025-10-29,5405.0
2025-10-30,5405.0
2025-10-31,10481.0
2025-11-03,10640.0
2025-11-04,10651.0
2025-11-05,10662.0
2025-11-06,10679.0
2025-11-07,10696.0
2025-11-10,10712.0
2025-11-12,10728.0
2025-11-13,10738.0
2025-11-14,10752.0
2025-11-17,10765.0
2025-11-18,10778.0
2025-11-19,10793.0
2025-11-20,10808.0
2025-11-21,10822.0
2025-11-24,10837.0
2025-11-25,10850.0
2025-11-26,10849.0
2025-11-28,10848.0
2025-12-01,15916.0
2025-12-02,16067.0
2025-12-03,16077.0
2025-12-04,16092.0
2025-12-05,16108.0
2025-12-08,16123.0
2025-12-09,16137.0
2025-12-10,16158.0
2025-12-11,16174.0
2025-12-12,16188.0
2025-12-15,16201.0
2025-12-16,16214.0
2025-12-17,16230.0
2025-12-18,16245.0
2025-12-19,16257.0
2025-12-22,16271.0
2025-12-23,16284.0
2025-12-24,16298.0
2025-12-26,16311.0
2025-12-29,16314.0
2025-12-30,16317.0
2025-12-31,21539.0
2026-01-02,21640.0
2026-01-05,21650.0
2026-01-06,21656.0
2026-01-07,21670.0
2026-01-08,21684.0
2026-01-09,21701.0
2026-01-12,21715.0
2026-01-13,21728.0
2026-01-14,21745.0
2026-01-15,21759.0
2026-01-16,21774.0
2026-01-20,21787.0
2026-01-21,21799.0
2026-01-22,21813.0
2026-01-23,21828.0
2026-01-26,21842.0
2026-01-27,21855.0
2026-01-28,21854.0
2026-01-29,21853.0
2026-01-30,27045.0
2026-02-02,27198.0
