date,TOTLL
2022-09-14,11665067.9
2022-09-21,11701878.2
2022-09-28,11710464.1
2022-10-05,11747955.200000001
2022-10-12,11774619.6
2022-10-19,11784825.7
2022-10-26,11809768.5
2022-11-02,11837912.6
2022-11-09,11852454.799999999
2022-11-16,11872320.2
2022-11-23,11893044.0
2022-11-30,11896631.600000001
2022-12-07,11981282.5
2022-12-14,11993838.9
2022-12-21,11993843.3
2022-12-28,11987763.5
2023-01-04,12011378.5
2023-01-11,12015577.9
2023-01-18,12041561.600000001
2023-01-25,12062729.9
2023-02-01,12081922.3
2023-02-08,12082551.5
2023-02-15,12100313.299999999
2023-02-22,12094117.8
2023-03-01,12107429.700000001
2023-03-08,12100181.3
2023-03-15,12158342.2
2023-03-22,12102233.6
2023-03-29,12094158.5
2023-04-05,12089046.0
2023-04-12,12080653.5
2023-04-19,12088807.2
2023-04-26,12105086.0
2023-05-03,12098410.9
2023-05-10,12110233.200000001
2023-05-17,12112916.0
2023-05-24,12115416.9
2023-05-31,12120791.5
2023-06-07,12085631.4
2023-06-14,12097179.899999999
2023-06-21,12107071.0
2023-06-28,12089808.1
2023-07-05,12092237.4
2023-07-12,12104299.5
2023-07-19,12119776.4
2023-07-26,12127859.399999999
2023-08-02,12147520.7
2023-08-09,12150942.9
2023-08-16,12171132.0
2023-08-23,12185014.6
2023-08-30,12191061.9
2023-09-06,12199179.5
2023-09-13,12204768.5
2023-09-20,12210568.9
2023-09-27,12214299.7
2023-10-04,12243971.9
2023-10-11,12258189.5
2023-10-18,12253694.799999999
2023-10-25,12276262.1
2023-11-01,12258045.899999999
2023-11-08,12252974.8
2023-11-15,12256832.6
2023-11-22,12275047.5
2023-11-29,12282518.899999999
2023-12-06,12280939.399999999
2023-12-13,12274168.799999999
2023-12-20,12269117.6
2023-12-27,12264369.4
2024-01-03,12268163.8
2024-01-10,12287017.299999999
2024-01-17,12294315.0
2024-01-24,12296584.9
2024-01-31,12332513.9
2024-02-07,12319371.1
2024-02-14,12338798.8
2024-02-21,12335198.700000001
2024-02-28,12355364.9
2024-03-06,12335871.4
2024-03-13,12341957.5
2024-03-20,12342491.6
2024-03-27,12349056.200000001
2024-04-03,12340881.2
2024-04-10,12339310.7
2024-04-17,12341192.4
2024-04-24,12357970.600000001
2024-05-01,12378373.600000001
2024-05-08,12385587.5
2024-05-15,12392999.299999999
2024-05-22,12382986.8
2024-05-29,12385632.0
2024-06-05,12396334.7
2024-06-12,12403602.1
2024-06-19,12415874.799999999
2024-06-26,12424287.1
2024-07-03,12424378.8
2024-07-10,12427451.6
2024-07-17,12433715.8
2024-07-24,12446632.4
2024-07-31,12459170.1
2024-08-07,12457468.9
2024-08-14,12464963.6
2024-08-21,12478295.8
2024-08-28,12471335.2
2024-09-04,12477552.7
2024-09-11,12483859.5
2024-09-18,12498459.2
2024-09-25,12502669.0
2024-10-02,12509017.4
2024-10-09,12510968.1
2024-10-16,12533345.7
2024-10-23,12541336.5
2024-10-30,12556294.700000001
2024-11-06,12544978.1
2024-11-13,12561068.799999999
2024-11-20,12558126.399999999
2024-11-27,12571704.4
2024-12-04,12577446.4
2024-12-11,12599922.6
2024-12-18,12600642.0
2024-12-25,12610046.399999999
2025-01-01,12600474.3
2025-01-08,12610607.9
2025-01-15,12614311.2
2025-01-22,12644506.299999999
2025-01-29,12640194.5
2025-02-05,12642602.5
2025-02-12,12656841.1
2025-02-19,12686791.8
2025-02-26,12691516.7
2025-03-05,12707410.4
2025-03-12,12719539.1
2025-03-19,12730596.299999999
2025-03-26,12737230.7
2025-04-02,12733335.5
2025-04-09,12761294.4
2025-04-16,12800537.1
2025-04-23,12810361.5
2025-04-30,12830763.8
2025-05-07,12825246.4
2025-05-14,12840933.1
2025-05-21,12859229.3
2025-05-28,12861928.200000001
2025-06-04,12868152.8
2025-06-11,12885441.7
2025-06-18,12903968.4
2025-06-25,12918578.7
2025-07-02,12947713.0
2025-07-09,12958526.1
2025-07-16,12971502.1
2025-07-23,12987979.0
2025-07-30,13001403.700000001
2025-08-06,13014662.1
2025-08-13,13030199.0
2025-08-20,13040349.8
2025-08-27,13063672.4
2025-09-03,13070223.299999999
2025-09-10,13080244.3
2025-09-17,13093750.700000001
2025-09-24,13106330.299999999
2025-10-01,13135565.0
2025-10-08,13142022.8
2025-10-15,13167998.0
2025-10-22,13181843.0
2025-10-29,13179280.1
2025-11-05,13201231.799999999
2025-11-12,13230970.9
2025-11-19,13246193.4
2025-11-26,13272144.1
2025-12-03,13270565.0
2025-12-10,13301173.7
2025-12-17,13313176.4
2025-12-24,13333766.2
2025-12-31,13333809.6
2026-01-07,13369873.4
2026-01-14,13395008.5
2026-01-21,13436804.299999999
2026-01-28,13441291.3
2026-02-04,13485162.6
2026-02-11,13519475.399999999
2026-02-18,13538930.0
2026-02-25,13547590.3
2026-03-04,13575353.6
2026-03-11,13595626.399999999
2026-03-18,13606271.3
2026-03-25,13635764.2
2026-04-01,13690355.7
2026-04-08,13708105.799999999
2026-04-15,13720272.9
2026-04-22,13730498.7
2026-04-29,13741962.0
2026-05-06,13755149.2
2026-05-13,13779768.700000001
2026-05-20,13808167.799999999
2026-05-27,13818910.5
2026-06-03,13814188.899999999
2026-06-10,13856693.3
2026-06-17,13862564.5
2026-06-24,13874756.299999999
2026-07-01,13861987.5
2026-07-08,13865786.899999999
2026-07-15,13908223.1
2026-07-22,13903030.5
2026-07-29,13925495.5
2026-08-05,13954048.6
2026-08-12,13981199.2
2026-08-19,14016512.8
2026-08-26,14033864.299999999
