# BSI.M.U2.Y.U.A20T.A.I.U2.2250.Z01.A UNIT=PCCH UNIT_MULT=0 n=139
TIME_PERIOD,OBS_VALUE
2015-01,0.17446717136391232
2015-02,0.18045083124298422
2015-03,0.2870462956441999
2015-04,0.4458348465377959
2015-05,0.524021985143075
2015-06,0.6167647670106691
2015-07,0.7610613630859353
2015-08,0.9385171225766653
2015-09,1.0861885560764506
2015-10,1.2012922792086433
2015-11,1.326286969969992
2015-12,1.3249256381585806
2016-01,1.4157800856827274
2016-02,1.5374938006231575
2016-03,1.5650505457261321
2016-04,1.5445428370272518
2016-05,1.6306497538017828
2016-06,1.7478871865367118
2016-07,1.7927604051221513
2016-08,1.77527421732111
2016-09,1.8120979794371772
2016-10,1.864603125676778
2016-11,1.8951065408957968
2016-12,2.015697606708944
2017-01,2.2260686179181866
2017-02,2.289789798117736
2017-03,2.396489930135237
2017-04,2.503992025845747
2017-05,2.615829718988527
2017-06,2.59969301494698
2017-07,2.6536597305164555
2017-08,2.6964062296320535
2017-09,2.7158983144297766
2017-10,2.73537713284866
2017-11,2.806966091029661
2017-12,2.8986293695575593
2018-01,2.874847902843758
2018-02,2.8522796618067447
2018-03,2.918996332251833
2018-04,2.915438979950591
2018-05,2.872868536758988
2018-06,2.9450816064368723
2018-07,3.0076189996912195
2018-08,3.0843821201943955
2018-09,3.1573678764975632
2018-10,3.2064131702590704
2018-11,3.2522053593743605
2018-12,3.2167247883868155
2019-01,3.228028579185205
2019-02,3.2858606291079617
2019-03,3.2916305823837977
2019-04,3.3032782004904337
2019-05,3.3393615603486637
2019-06,3.34462194822156
2019-07,3.376005457015885
2019-08,3.387405286545264
2019-09,3.4133938020367127
2019-10,3.4388358302001487
2019-11,3.482539777271043
2019-12,3.593314863974162
2020-01,3.667081594729593
2020-02,3.751206000940832
2020-03,3.398420040847583
2020-04,3.0192787160780554
2020-05,3.0638960324835596
2020-06,3.037274557323988
2020-07,3.019611296384883
2020-08,3.0583455473752075
2020-09,3.079646942473735
2020-10,3.18161587129826
2020-11,3.1544389063617784
2020-12,3.12899599342793
2021-01,3.034724440147474
2021-02,2.97777513884947
2021-03,3.3132993570935465
2021-04,3.7744124380531874
2021-05,3.844952293006343
2021-06,3.9819389803027017
2021-07,4.130906967692316
2021-08,4.104295010054337
2021-09,4.102053696536179
2021-10,4.0873526808783645
2021-11,4.12037704761945
2021-12,4.179478041306384
2022-01,4.258387732666247
2022-02,4.3890204618264095
2022-03,4.529677748100869
2022-04,4.553707606265722
2022-05,4.621872371952551
2022-06,4.609790507284162
2022-07,4.51221584436543
2022-08,4.487111234914476
2022-09,4.379330143033799
2022-10,4.215814625954284
2022-11,4.087672881375837
2022-12,3.7907198361758265
2023-01,3.5722905286876383
2023-02,3.2244654824558294
2023-03,2.863585130142088
2023-04,2.550176687121586
2023-05,2.0824331417114372
2023-06,1.7075712991403202
2023-07,1.334813552390135
2023-08,1.066920905920865
2023-09,0.8519706555872419
2023-10,0.6499864608640049
2023-11,0.5054059781466114
2023-12,0.39253705245116954
2024-01,0.3020765351621435
2024-02,0.2554404896708329
2024-03,0.20638155874661557
2024-04,0.1913632647368324
2024-05,0.28661180473956716
2024-06,0.34514223652082343
2024-07,0.43444574126438873
2024-08,0.5447574866877636
2024-09,0.6711249918580631
2024-10,0.8054085404477274
2024-11,0.9134299496228682
2024-12,1.1307379920914684
2025-01,1.3215320531301034
2025-02,1.500994648858156
2025-03,1.7448541738765755
2025-04,1.9283606348468485
2025-05,2.0602901354066283
2025-06,2.267977033784341
2025-07,2.4084288952705313
2025-08,2.51172410671221
2025-09,2.616667691646879
2025-10,2.757173023834336
2025-11,2.88396018743593
2025-12,2.96214897110485
2026-01,2.965737114268152
2026-02,3.014947060268569
2026-03,2.994164901190066
2026-04,3.0140643320305305
2026-05,3.0488367688957574
2026-06,3.0262870059831526
2026-07,3.062589284055406
