date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2025-09-16,0.492,0.495,0.482,0.482,0.48,0.482,0.524,0.57,0.675
2025-09-17,0.492,0.494,0.483,0.481,0.481,0.483,0.523,0.571,0.684
2025-09-18,0.493,0.491,0.482,0.481,0.481,0.483,0.523,0.571,0.689
2025-09-19,0.487,0.493,0.482,0.48,0.481,0.482,0.523,0.57,0.692
2025-09-22,0.488,0.492,0.48,0.479,0.481,0.481,0.532,0.576,0.697
2025-09-24,0.49,0.491,0.478,0.479,0.48,0.481,0.535,0.583,0.704
2025-09-25,0.491,0.49,0.474,0.478,0.479,0.481,0.543,0.586,0.707
2025-09-26,0.487,0.492,0.473,0.478,0.479,0.481,0.551,0.592,0.709
2025-09-29,0.489,0.38,0.468,0.476,0.479,0.48,0.552,0.594,0.711
2025-09-30,0.362,0.493,0.483,0.481,0.482,0.484,0.556,0.598,0.715
2025-10-01,0.494,0.493,0.483,0.482,0.482,0.484,0.565,0.608,0.719
2025-10-02,0.491,0.491,0.483,0.483,0.483,0.486,0.571,0.61,0.721
2025-10-03,0.491,0.494,0.483,0.482,0.482,0.486,0.581,0.62,0.723
2025-10-06,0.492,0.493,0.483,0.483,0.482,0.488,0.556,0.607,0.711
2025-10-07,0.489,0.492,0.483,0.483,0.482,0.49,0.552,0.606,0.71
2025-10-08,0.492,0.492,0.484,0.483,0.483,0.49,0.556,0.611,0.716
2025-10-09,0.492,0.494,0.485,0.483,0.483,0.492,0.554,0.612,0.716
2025-10-10,0.495,0.498,0.487,0.485,0.488,0.494,0.556,0.613,0.717
2025-10-14,0.496,0.498,0.488,0.487,0.489,0.494,0.551,0.612,0.716
2025-10-15,0.498,0.498,0.489,0.488,0.489,0.494,0.545,0.612,0.716
2025-10-16,0.494,0.497,0.489,0.488,0.489,0.495,0.547,0.613,0.716
2025-10-17,0.497,0.499,0.49,0.489,0.489,0.496,0.548,0.612,0.718
2025-10-20,0.499,0.499,0.491,0.492,0.491,0.497,0.55,0.614,0.72
2025-10-21,0.497,0.497,0.491,0.493,0.492,0.497,0.562,0.618,0.726
2025-10-22,0.496,0.495,0.491,0.492,0.492,0.496,0.557,0.618,0.728
2025-10-23,0.496,0.495,0.49,0.491,0.491,0.496,0.559,0.62,0.729
2025-10-24,0.498,0.498,0.491,0.492,0.491,0.496,0.559,0.626,0.73
2025-10-27,0.497,0.499,0.491,0.491,0.491,0.495,0.562,0.626,0.732
2025-10-28,0.494,0.496,0.491,0.491,0.491,0.495,0.562,0.626,0.734
2025-10-29,0.496,0.495,0.491,0.491,0.492,0.495,0.566,0.627,0.734
2025-10-30,0.496,0.481,0.491,0.491,0.491,0.495,0.571,0.632,0.737
2025-10-31,0.493,0.497,0.491,0.491,0.491,0.493,0.566,0.629,0.737
2025-11-04,0.496,0.496,0.491,0.491,0.491,0.492,0.568,0.629,0.738
2025-11-05,0.492,0.496,0.491,0.491,0.491,0.493,0.569,0.629,0.738
2025-11-06,0.494,0.495,0.491,0.491,0.491,0.493,0.572,0.632,0.738
2025-11-07,0.494,0.498,0.491,0.491,0.491,0.494,0.574,0.632,0.739
2025-11-10,0.497,0.498,0.491,0.491,0.491,0.494,0.572,0.631,0.738
2025-11-11,0.495,0.497,0.492,0.491,0.491,0.494,0.574,0.631,0.739
2025-11-12,0.496,0.495,0.492,0.491,0.491,0.494,0.575,0.632,0.742
2025-11-13,0.495,0.496,0.492,0.491,0.491,0.494,0.574,0.632,0.743
2025-11-14,0.496,0.498,0.492,0.491,0.491,0.494,0.574,0.632,0.743
2025-11-17,0.496,0.498,0.492,0.491,0.491,0.495,0.575,0.632,0.743
2025-11-18,0.494,0.498,0.492,0.491,0.491,0.495,0.576,0.632,0.743
2025-11-19,0.494,0.498,0.491,0.491,0.491,0.495,0.575,0.632,0.743
2025-11-20,0.502,0.501,0.493,0.492,0.492,0.495,0.577,0.635,0.743
2025-11-21,0.501,0.504,0.494,0.494,0.494,0.497,0.581,0.636,0.743
2025-11-25,0.498,0.502,0.495,0.494,0.494,0.497,0.583,0.642,0.745
2025-11-26,0.501,0.502,0.496,0.495,0.495,0.497,0.588,0.645,0.746
2025-11-27,0.5,0.495,0.494,0.494,0.494,0.501,0.594,0.646,0.747
2025-11-28,0.498,0.5,0.495,0.495,0.495,0.507,0.598,0.646,0.747
2025-12-01,0.501,0.501,0.496,0.496,0.497,0.523,0.614,0.657,0.75
2025-12-02,0.5,0.501,0.496,0.496,0.505,0.543,0.639,0.673,0.754
2025-12-03,0.499,0.501,0.496,0.496,0.509,0.562,0.646,0.684,0.76
2025-12-04,0.499,0.501,0.496,0.496,0.522,0.576,0.652,0.694,0.766
2025-12-05,0.5,0.502,0.497,0.497,0.531,0.59,0.663,0.705,0.775
2025-12-08,0.5,0.501,0.497,0.501,0.541,0.603,0.676,0.715,0.779
2025-12-09,0.498,0.502,0.497,0.507,0.55,0.611,0.678,0.721,0.779
