date,key,value
2025-04-03,hy_10y,1.405
2025-05-08,btc_10y,2.544
2025-05-08,hy_10y,1.274
2025-06-03,btc_10y,3.663
2025-06-03,hy_10y,1.512
2025-07-01,btc_10y,3.507
2025-07-01,hy_10y,1.442
2025-08-05,btc_10y,3.059
2025-08-05,hy_10y,1.462
2025-09-02,btc_10y,3.916
2025-09-02,hy_10y,1.612
2025-10-02,btc_10y,3.336
2025-10-02,hy_10y,1.635
2025-11-05,btc_10y,2.973
2025-11-05,hy_10y,1.658
2025-12-02,btc_10y,3.591
2025-12-02,hy_10y,1.872
2026-01-06,btc_10y,3.304
2026-01-06,hy_10y,2.095
2026-02-03,btc_10y,3.020
2026-02-03,hy_10y,2.249
2026-03-03,btc_10y,3.304
2026-03-03,hy_10y,2.122
2026-04-02,btc_10y,2.565
2026-04-02,hy_10y,2.35
2026-05-12,btc_10y,3.904
2026-05-12,hy_10y,2.54
2026-06-02,btc_10y,3.530
2026-06-02,hy_10y,2.649
2026-07-02,btc_10y,3.130
2026-07-02,hy_10y,2.729
2024-01-16,btc_5y,3.788
2024-01-16,hy_5y,0.197
2024-02-09,btc_5y,3.435
2024-02-09,hy_5y,0.31
2024-03-12,btc_5y,3.991
2024-03-12,hy_5y,0.372
2024-04-09,btc_5y,3.878
2024-04-09,hy_5y,0.404
2024-05-14,btc_5y,3.897
2024-05-14,hy_5y,0.572
2024-06-20,btc_5y,3.971
2024-06-20,hy_5y,0.512
2024-07-09,btc_5y,4.256
2024-07-09,hy_5y,0.612
2024-08-14,btc_5y,3.511
2024-08-14,hy_5y,0.452
2024-09-10,btc_5y,3.759
2024-09-10,hy_5y,0.521
2024-10-10,btc_5y,3.733
2024-10-10,hy_5y,0.562
2024-11-15,btc_5y,3.807
2024-11-15,hy_5y,0.706
2024-12-10,btc_5y,4.418
2024-12-10,hy_5y,0.734
2025-01-14,btc_5y,3.816
2025-01-14,hy_5y,0.876
2025-02-14,btc_5y,3.516
2025-02-14,hy_5y,0.982
2025-03-10,btc_5y,3.166
2025-03-10,hy_5y,1.157
2025-04-10,btc_5y,3.836
2025-04-10,hy_5y,0.938
2025-05-15,btc_5y,3.189
2025-05-15,hy_5y,0.98
2025-06-19,btc_5y,4.578
2025-06-19,hy_5y,0.982
2025-07-08,btc_5y,3.541
2025-07-08,hy_5y,0.989
2025-08-13,btc_5y,2.962
2025-08-13,hy_5y,1.056
2025-09-10,btc_5y,3.696
2025-09-10,hy_5y,1.119
2025-10-09,btc_5y,3.695
2025-10-09,hy_5y,1.233
2025-11-13,btc_5y,3.326
2025-11-13,hy_5y,1.245
2025-12-09,btc_5y,3.168
2025-12-09,hy_5y,1.435
2026-01-14,btc_5y,3.081
2026-01-14,hy_5y,1.639
2026-02-17,btc_5y,3.096
2026-02-17,hy_5y,1.64
2026-03-11,btc_5y,3.689
2026-03-11,hy_5y,1.633
2026-04-09,btc_5y,3.585
2026-04-09,hy_5y,1.826
2026-05-18,btc_5y,3.216
2026-05-18,hy_5y,2.024
2026-06-23,btc_5y,3.112
2026-06-23,hy_5y,1.905
2026-07-09,btc_5y,3.433
2026-07-09,hy_5y,2.02
2024-01-30,btc_2y,3.742
2024-01-30,hy_2y,0.075
2024-02-29,btc_2y,3.617
2024-02-29,hy_2y,0.18
2024-03-29,btc_2y,4.072
2024-03-29,hy_2y,0.187
2024-04-23,btc_2y,3.481
2024-04-23,hy_2y,0.303
2024-05-30,btc_2y,3.777
2024-05-30,hy_2y,0.418
2024-06-27,btc_2y,3.831
2024-06-27,hy_2y,0.378
2024-07-26,btc_2y,4.187
2024-07-26,hy_2y,0.409
2024-08-29,btc_2y,5.542
2024-08-29,hy_2y,0.385
2024-09-30,btc_2y,3.815
2024-09-30,hy_2y,0.392
2024-10-29,btc_2y,4.874
2024-10-29,hy_2y,0.454
2024-11-29,btc_2y,3.630
2024-11-29,hy_2y,0.582
2024-12-26,btc_2y,3.947
2024-12-26,hy_2y,0.602
2025-01-31,btc_2y,4.060
2025-01-31,hy_2y,0.727
2025-02-27,btc_2y,3.164
2025-02-27,hy_2y,0.826
2025-03-31,btc_2y,3.408
2025-03-31,hy_2y,0.863
2025-04-24,btc_2y,3.580
2025-04-24,hy_2y,0.691
2025-05-30,btc_2y,3.769
2025-05-30,hy_2y,0.752
2025-06-26,btc_2y,3.903
2025-06-26,hy_2y,0.729
2025-07-29,btc_2y,4.467
2025-07-29,hy_2y,0.841
2025-08-28,btc_2y,2.841
2025-08-28,hy_2y,0.863
2025-09-30,btc_2y,2.814
2025-09-30,hy_2y,0.949
2025-10-31,btc_2y,4.351
2025-10-31,hy_2y,0.932
2025-11-28,btc_2y,3.531
2025-11-28,hy_2y,0.993
2025-12-25,btc_2y,3.256
2025-12-25,hy_2y,1.129
2026-01-30,btc_2y,3.876
2026-01-30,hy_2y,1.253
2026-02-27,btc_2y,3.319
2026-02-27,hy_2y,1.244
2026-03-31,btc_2y,3.537
2026-03-31,hy_2y,1.37
2026-04-30,btc_2y,5.244
2026-04-30,hy_2y,1.407
2026-05-29,btc_2y,3.696
2026-05-29,hy_2y,1.369
2026-06-30,btc_2y,4.818
2026-06-30,hy_2y,1.407
2026-07-30,btc_2y,3.626
2026-07-30,hy_2y,1.483
