date,MACAB1013,MACAB1023,MACAB1043,MACAB1053,MACAB1183,MACAB1201
2020-01,1352838,373640,339691,415992,3343044,3968122
2020-02,1349730,373973,337505,418082,3342423,3960426
2020-03,1366616,379490,342805,401581,3331472,3956147
2020-04,1425731,394205,363758,386073,3427878,4089771
2020-05,1473841,415546,367983,406388,3508509,4195815
2020-06,1520542,456229,380246,445620,3694844,4409458
2020-07,1564042,481285,355423,321223,3791670,4503423
2020-08,1547537,523992,357116,304175,3846322,4571253
2020-09,1693910,557155,389186,306787,4066686,4782503
2020-10,1748164,595841,355380,304761,4139391,4861976
2020-11,1726575,603044,342763,299774,4105441,4808220
2020-12,1763161,628821,309807,302096,4203331,4911021
2021-01,1732747,637624,330442,300875,4188506,4885958
2021-02,1740606,642196,323446,302362,4182526,4879432
2021-03,1815616,706367,341128,308911,4377948,5093352
2021-04,1875644,773759,332192,314503,4520361,5292043
2021-05,1848740,787753,329835,315429,4486487,5242320
2021-06,1859912,817479,333504,321943,4561001,5323731
2021-07,1853318,823769,325652,321285,4541871,5328946
2021-08,1859612,844320,322610,320416,4563093,5341076
2021-09,1818105,902052,314444,317312,4627250,5370731
2021-10,1804069,924760,306761,314079,4639833,5392082
2021-11,1777517,925498,294725,313805,4569984,5309039
2021-12,1810210,944278,299960,323672,4658800,5385987
2022-01,1770238,933173,316787,319451,4597251,5327058
2022-02,1750673,918329,301554,325577,4567789,5346378
2022-03,1782816,954302,342989,340691,4738816,5515753
2022-04,1833304,951166,374813,338063,4804574,5610031
2022-05,1793056,933226,361971,338461,4664944,5463041
2022-06,1837528,896066,406881,342726,4730852,5530687
2022-07,1842775,832620,397334,337975,4609102,5399040
2022-08,1772881,798454,384143,330975,4458317,5236479
2022-09,1712583,672571,373836,331932,4228965,4978465
2022-10,1722360,606921,363661,335734,4158503,4914681
2022-11,1672931,602157,330570,329845,4101038,4857520
2022-12,1692217,633075,366314,341229,4257708,5007178
2023-01,1750585,640362,401547,355454,4374358,5156848
2023-02,1819267,649260,384256,369939,4439321,5219652
2023-03,1885122,696057,388843,369909,4606392,5413393
2023-04,1912729,714555,393136,375515,4673150,5503496
2023-05,1868969,708557,390622,371859,4581296,5394729
2023-06,1874865,724418,404330,376441,4627651,5426823
2023-07,1831324,714660,403866,369554,4553061,5373414
2023-08,1853947,716528,442317,369893,4610778,5435546
2023-09,1841181,723707,467055,376137,4625385,5441408
2023-10,1878055,723512,471831,367959,4656402,5485172
2023-11,1843151,717643,446644,365019,4566053,5382846
2023-12,1848507,730842,437795,364743,4591593,5426644
2024-01,1803797,723638,473786,358279,4552805,5367556
2024-02,1790793,720588,473560,361140,4542678,5339437
2024-03,2025580,653721,509964,375907,4736657,5537866
2024-04,2101545,665961,500929,361230,4820704,5630530
2024-05,2069923,660393,492717,362055,4690524,5472514
2024-06,2008432,679266,541635,382099,4744926,5489248
2024-07,2004974,651671,527049,412601,4727494,5442609
2024-08,2004326,636694,502358,409577,4767936,5468893
2024-09,1996690,605727,531339,409891,4759211,5439376
2024-10,2013485,607612,525384,406809,4778285,5475849
2024-11,1978652,585624,499427,404048,4693800,5376057
2024-12,1915707,566709,530178,392083,4657304,5298022
2025-01,1912947,527137,575705,391510,4578548,5219358
2025-02,1946618,521634,553802,404880,4640427,5253831
2025-03,1939675,545129,523052,404205,4622925,5255124
2025-04,1991120,590043,556161,385324,4742419,5377890
2025-05,1939825,584913,585066,381800,4655694,5273962
2025-06,1857160,596244,592672,404395,4651987,5254067
2025-07,1886220,565440,581050,419090,4612131,5216118
2025-08,1862510,561641,587837,413231,4603962,5176198
2025-09,1721684,526424,583491,421833,4398049,4972573
2025-10,1733139,510510,603345,413322,4388721,4957890
2025-11,1639694,496368,623613,399390,4277779,4799715
2025-12,1578062,492893,618610,379796,4160285,4695240
2026-01,1580698,473307,644237,373538,4115493,4613500
2026-02,1560170,474181,595940,376080,4057972,4546820
2026-03,1568114,474571,609792,369748,4030551,4532503
2026-04,1621530,514591,629986,362740,4145945,4630987
2026-05,1567202,503833,617657,352463,4005833,4453535
2026-06,1457640,490550,657520,351370,3919750,4376050
2026-07,1456860,460470,653090,324280,3827660,4298010
