date,FXERD01
2015-01-05,120.41
2015-01-06,119.42
2015-01-07,118.66
2015-01-08,119.29
2015-01-09,119.8
2015-01-13,118.32
2015-01-14,117.83
2015-01-15,117.43
2015-01-16,116.14
2015-01-19,117.6
2015-01-20,117.75
2015-01-21,118.65
2015-01-22,117.86
2015-01-23,118.72
2015-01-26,117.42
2015-01-27,118.52
2015-01-28,117.8
2015-01-29,117.61
2015-01-30,118.27
2015-02-02,117.19
2015-02-03,117.61
2015-02-04,117.67
2015-02-05,117.3
2015-02-06,117.54
2015-02-09,118.96
2015-02-10,118.6
2015-02-12,120.21
2015-02-13,118.93
2015-02-16,118.63
2015-02-17,118.49
2015-02-18,119.21
2015-02-19,118.74
2015-02-20,118.99
2015-02-23,119.08
2015-02-24,118.91
2015-02-25,118.87
2015-02-26,118.83
2015-02-27,119.39
2015-03-02,119.83
2015-03-03,120.21
2015-03-04,119.64
2015-03-05,119.64
2015-03-06,120.07
2015-03-09,120.75
2015-03-10,121.43
2015-03-11,121.06
2015-03-12,121.42
2015-03-13,121.32
2015-03-16,121.32
2015-03-17,121.38
2015-03-18,121.3
2015-03-19,120.07
2015-03-20,120.76
2015-03-23,120.03
2015-03-24,119.76
2015-03-25,119.78
2015-03-26,119.52
2015-03-27,119.2
2015-03-30,119.25
2015-03-31,120.04
2015-04-01,119.98
2015-04-02,119.59
2015-04-03,119.71
2015-04-06,118.86
2015-04-07,119.49
2015-04-08,120.29
2015-04-09,120.1
2015-04-10,120.56
2015-04-13,120.2
2015-04-14,120.06
2015-04-15,119.46
2015-04-16,119.15
2015-04-17,119.07
2015-04-20,118.84
2015-04-21,119.22
2015-04-22,119.66
2015-04-23,119.96
2015-04-24,119.58
2015-04-27,118.92
2015-04-28,119.14
2015-04-30,118.99
2015-05-01,119.47
2015-05-07,119.39
2015-05-08,119.72
2015-05-11,119.81
2015-05-12,120.13
2015-05-13,119.86
2015-05-14,119.2
2015-05-15,119.22
2015-05-18,119.36
2015-05-19,119.92
2015-05-20,120.65
2015-05-21,121.21
2015-05-22,121.06
2015-05-25,121.57
2015-05-26,121.67
2015-05-27,123
2015-05-28,123.74
2015-05-29,123.81
2015-06-01,124.25
