date,total_assets,jgb_holdings,boj_loans,foreign_currency_assets,gold,banknotes,current_deposits,other_deposits,government_account,repos_payable,loan_support_program,pooled_collateral_loans,etf,corporate_bonds
2025-01-10,7433609.1,5826982.3,1035203,108731.7,4412.5,1225970.2,5240333.7,542335.3,80704.6,174166.7,771475,239710,371861.8,50957
2025-01-20,7400224.1,5835158.3,994023,108811.3,4412.5,1214311.6,5189282.9,523569.2,33943.2,269929.2,771475,198530,371861.8,50718
2025-01-31,7443455.6,5855453.1,1016462,108678.2,4412.5,1203151.9,5284411.5,478496.8,31562,276867.3,771475,220969,371861.8,49970.1
2025-02-10,7451876,5864393,1016463,108378.9,4412.5,1197306.5,5194396.4,454317.7,113511.7,323737.2,771475,220970,371861.8,49703.8
2025-02-20,7466689.6,5879840.6,1016120,108454.5,4412.5,1193851.8,5307094.7,424671.6,34830.3,338318.9,771475,220626,371861.8,49674.8
2025-02-28,7470520.7,5885077.2,1016119,108107.9,4412.5,1193680.2,5312461.6,426055,24297.2,346200.3,771475,220626,371861.8,49312.1
2025-03-10,7452312.9,5875144.8,1009404,107929.6,4412.5,1189858.2,5202673.5,434933.1,93489.2,363423,771475,220622,371861.8,49041.7
2025-03-20,7427618.9,5892160.5,968126,107959.7,4412.5,1187581.6,5152965.4,437016,114210.6,367544.9,730190,220629,371861.8,48668.7
2025-03-31,7292386,5759308.8,968126,108273,4412.5,1186685.9,5304326.4,470174.4,39380.6,128331.1,730190,220629,371861.8,48537.2
2025-04-10,7289542.8,5756912,968119,108297.8,4412.5,1181580.3,5282986.7,448996.5,21833.8,190965,730190,220622,371861.8,48537.2
2025-04-20,7297680.4,5766029.2,968118,107782,4412.5,1179744.6,5380405.9,419537.1,30783.8,124344,730190,220621,371861.8,48297.2
2025-04-30,7312029.4,5782800.1,968117,107052.9,4412.5,1185940,5431559.2,404764.2,25722.6,102046.2,730190,220620,371861.8,46042
2025-05-10,7304040.5,5774461.2,968117,107525.1,4412.5,1181660.4,5341639.6,412363.6,54485.3,151477.5,730190,220620,371861.8,46042
2025-05-20,7320173.3,5790345.2,967938,108108.4,4412.5,1174745.5,5315369.1,427520.4,36800,204496.2,730190,220441,371861.8,46042
2025-05-31,7336035.1,5807331.7,967938,107993.1,4412.5,1172896.2,5322552.1,427854.4,66545,206876,730190,220441,371861.8,45490.9
2025-06-10,7331735.7,5808955.2,965856,107601,4412.5,1169656,5209628.7,412874.1,110674,289967.9,730190,220441,371861.8,44464.8
2025-06-20,7161139,5661068.7,945696,108092.9,4412.5,1169423.8,5299017.6,435177.2,18797.2,93590.5,710030,220441,371861.8,41949.6
2025-06-30,7174942.7,5675116.6,945700,108325.7,4412.5,1172196.5,5291143.8,456551.8,21301.7,88559.4,710030,220445,371861.8,41384.5
2025-07-10,7160527.4,5661657.1,945697,108226,4412.5,1172112.3,5210167.2,424612.7,59280.7,149373.5,710030,220442,371861.8,40906.4
2025-07-20,7198795.4,5672237.8,974930,108790.8,4412.5,1171348,5216122.9,426317.7,33485.6,205991,710030,249675,371861.8,38829.7
2025-07-31,7214098.1,5688986.8,974933,109053,4412.5,1172415.8,5244375.4,434113.8,90985.8,128714.3,710030,249678,371861.8,37718
2025-08-10,7214879.5,5689316.1,974929,109613.6,4412.5,1173255.9,5186182.2,427465.1,36790.6,247375.3,710030,249674,371861.8,37656
2025-08-20,7222590.1,5697798.3,974781,109392.2,4412.5,1172937.4,5221812,438330.3,46274.4,190087.5,710030,249525,371861.8,37460.9
2025-08-31,7240302.8,5716487.9,974780,109699.5,4412.5,1173184.3,5236394.5,451399,31083.1,194240.4,710030,249525,371861.8,36944.4
2025-09-10,7234180.3,5713075.5,972352,110004.2,4412.5,1169882.5,5134775,448884.8,79316.9,247189,710030,249531,371861.8,36409.2
2025-09-20,7107017.6,5721479.5,838089,110312.4,4412.5,1168645.3,4985237.2,449637.7,19721.7,328664.2,575775,249523,371861.8,35362.4
2025-09-30,6952129.3,5567576.2,838089,110435.5,4412.5,1166246.4,5020768.4,475810.6,24006.2,108521.7,575775,249523,371861.8,34921.6
2025-10-10,6942001.1,5557497.2,838095,110619.8,4412.5,1166399.4,4908675.7,445030.2,27500,232438.1,575775,249529,371861.8,34781.1
2025-10-20,6951942,5566927.3,838095,111417.1,4412.5,1166397.6,4965692.3,461623.2,33652.4,164059.5,575775,249529,371861.8,34621
2025-10-31,6963487.8,5581586.7,838096,111634.8,4412.5,1168498.3,4976935.6,466291,26190.2,164899.7,575775,249530,371861.8,33044.1
2025-11-10,6957259.6,5574597.4,838096,112533.7,4412.5,1166585.2,4928248,458021.9,55863.1,187153.6,575775,249530,371861.8,33044.1
2025-11-20,6964303.6,5581451.8,838036,113059,4412.5,1166009.1,4887599,471796,22563.6,256126.7,575775,249469,371861.8,32775.9
2025-11-30,6979491,5597938.5,838035,113404.8,4412.5,1168180.1,4870260.7,493372.7,40798.3,246460.9,575775,249469,371861.8,31994.3
2025-12-10,6969121,5591601.8,835681,113551.2,4412.5,1176659.7,4686549.4,482508.2,30122.4,432980.1,575775,249481,371861.8,30188.8
2025-12-20,6942813.6,5607621.7,795223,114200,4412.5,1192151.1,4686037,518398.5,19997.8,365212.7,535328,249481,371861.8,27771.8
2025-12-31,6777763,5443951.1,795208,114323.7,4412.5,1206060.6,4709445.2,552466.6,51314.9,92177.5,535328,249466,371861.8,27181.1
2026-01-10,6769212.5,5435190.8,795210,114444.6,4412.5,1191934.3,4673694.6,507116.2,51812.4,178487.5,535328,249468,371861.8,27181.1
2026-01-20,6775788.4,5441720.3,795212,114933.1,4412.5,1179193.2,4640443.1,498234.2,31741.3,261592.2,535328,249468,371861.8,26799.1
2026-01-31,6828680.6,5455827.2,835058,115048.1,4412.5,1173661.5,4681228.9,503877.4,26775,278161.7,535328,289316,371808.1,25840.7
2026-02-10,6817744,5445964.6,835060,114528.8,4412.5,1170191.2,4540569.1,489064.2,96738.7,356771.9,535328,289318,371712.3,25334
2026-02-20,6832976.1,5460680.3,835058,114884.2,4412.5,1169663.4,4601829.2,485247.6,43240.9,370600.2,535328,289316,371609.8,25248.9
2026-02-28,6837705.4,5466799.8,835058,114739.5,4412.5,1169343,4611007,488095,44468.9,361990.5,535328,289316,371552.9,24137.7
2026-03-10,6818521.3,5455825.9,827192,115586.1,4412.5,1167145.9,4484235.1,475400.6,81145.1,446621.3,535320,289314,371474.2,23071.9
2026-03-20,6783370.1,5470353.4,777209,116481.6,4412.5,1166068.2,4431490.3,486011.3,64611.2,469890.8,485331,289322,371359.2,22296.4
2026-03-31,6621318.7,5308695.7,777209,116663.1,4412.5,1163156,4597432.8,497108.5,21548.6,179871.2,485331,289322,371214.6,21932.1
2026-04-10,6616511.5,5303543.5,777200,116852.2,4412.5,1158740.9,4561067.6,464905.2,35693.4,233924.8,485331,289313,371166.3,21844.1
2026-04-20,6623208.5,5311237.9,777207,116923.7,4412.5,1159058.9,4646692.3,472850.5,62980,121870.5,485331,289320,371072,20878.1
2026-04-30,6632533.4,5319489,777201,117190.3,4412.5,1168371.6,4694301.1,465119.4,21271,120957.4,485331,289314,370935.8,19904.1
2026-05-10,6619249.4,5306465,777201,117315.2,4412.5,1164427,4543122.6,439117.1,143085.1,166983.7,485331,289314,370913.8,19582
2026-05-20,6630792.1,5318357.8,777207,117055.8,4412.5,1153908.7,4502837.8,433762.2,31617,348749.9,485331,289320,370799.3,19582
2026-05-31,6643630.9,5331355.9,777206,117413,4412.5,1151799.6,4520985,435340.2,51701,342108.4,485331,289319,370700.5,18979
2026-06-10,6632349.1,5323254.1,774669,118284.1,4412.5,1147283,4364522.5,444202.8,98095.9,433342,485331,289336,370596.9,17626.9
2026-06-20,6550777.7,5338368.2,680395,119189.9,4412.5,1148366.2,4386933.4,442411.1,25385,403660.6,391059,289336,370498.5,16705
2026-06-30,6395509.1,5183423.5,680379,119482.6,4412.5,1150317.8,4403645.2,484689.7,27746.8,179926.9,391059,289320,370403.9,16300.8
2026-07-10,6386751.9,5175111.5,680370,119795,4412.5,1149665.3,4347112.7,435227.7,60727.7,244498.4,391059,289311,370311.7,15629.7
2026-07-20,6393695.5,5182248.4,680370,120134.5,4412.5,1149965.7,4316044.8,433696.5,36739.2,307369.1,391059,289311,370235.2,15159.6
2026-07-31,6442957.7,5193818.8,718588,120432.2,4412.5,1149807.4,4380122,466328.9,73350.1,225484.8,391059,327529,370098.9,14395.5
2026-08-10,6429714.8,5181300.1,718593,119775.8,4412.5,1151038.3,4190902.9,407898.1,197626.9,335000.7,391059,327534,370029.8,14354.5
2026-08-20,6443333,5195238.6,718577.5,119572.7,4412.5,1150108.9,4246898.6,423407,103450.3,362615.6,391059,327518,369930.7,14354.5
2026-08-31,6446620.2,5199276.9,718577,119657.4,4412.5,1148672.7,4243219.9,430315.1,92555.1,374311.4,391059,327518,369835.1,13576.6
