date,STRDCLUCV
2018-04-18,53392
2018-04-19,52101
2018-04-20,46937
2018-04-23,43325
2018-04-24,39337
2018-04-25,35000
2018-04-26,31197
2018-04-27,27495
2018-05-01,40833
2018-05-02,43531
2018-05-07,50672
2018-05-08,47626
2018-05-09,51520
2018-05-10,48585
2018-05-11,56794
2018-05-14,53626
2018-05-15,55762
2018-05-16,43757
2018-05-17,43895
2018-05-18,47151
2018-05-21,42744
2018-05-22,41432
2018-05-23,40842
2018-05-24,40059
2018-05-25,41774
2018-05-28,32504
2018-05-29,34645
2018-05-30,34936
2018-05-31,30270
2018-06-01,37603
2018-06-04,33490
2018-06-05,33796
2018-06-06,29020
2018-06-07,32045
2018-06-08,32958
2018-06-11,36100
2018-06-12,37470
2018-06-13,40766
2018-06-14,51140
2018-06-15,52746
2018-06-18,34964
2018-06-19,37265
2018-06-20,36057
2018-06-21,36016
2018-06-22,33526
2018-06-25,33979
2018-06-26,35964
2018-06-27,36681
2018-06-28,41518
2018-06-29,27059
2018-07-02,45543
2018-07-03,47381
2018-07-04,50330
2018-07-05,50731
2018-07-06,44955
2018-07-09,47869
2018-07-10,49713
2018-07-11,51920
2018-07-12,56119
2018-07-13,45252
2018-07-17,48513
2018-07-18,44875
2018-07-19,44383
2018-07-20,44659
2018-07-23,38214
2018-07-24,40495
2018-07-25,34627
2018-07-26,37886
2018-07-27,40829
2018-07-30,36071
2018-07-31,28453
2018-08-01,37560
2018-08-02,47361
2018-08-03,43911
2018-08-06,43677
2018-08-07,44274
2018-08-08,55520
2018-08-09,60769
2018-08-10,52053
2018-08-13,51978
2018-08-14,56313
2018-08-15,51936
2018-08-16,46443
2018-08-17,48400
2018-08-20,42822
2018-08-21,45061
2018-08-22,48102
2018-08-23,47097
2018-08-24,51485
2018-08-27,48851
2018-08-28,52166
2018-08-29,53107
2018-08-30,52518
2018-08-31,47420
2018-09-03,53206
2018-09-04,53216
2018-09-05,54922
2018-09-06,54512
2018-09-07,58327
2018-09-10,55984
2018-09-11,61880
2018-09-12,59073
2018-09-13,53964
2018-09-14,52548
2018-09-18,55843
2018-09-19,50773
2018-09-20,51540
2018-09-21,59339
2018-09-25,55476
2018-09-26,57254
2018-09-27,56762
2018-09-28,31241
