date,FAAP@01,FAAPOBAL1,FAAPOBAL1@,FAAPOBRDCD5
2020-01,5450232,4749220,1.9,8797714
2020-02,5443270,4744297,2.2,8775893
2020-03,5458231,4757141,2.1,8833483
2020-04,5530539,4824341,3.1,9008625
2020-05,5622228,4911517,5.1,9190297
2020-06,5699446,4975977,6.6,9358979
2020-07,5726167,4990133,6.5,9385362
2020-08,5734727,4990270,6.6,9426265
2020-09,5736646,4986497,6.2,9481429
2020-10,5728674,4975302,5.9,9482077
2020-11,5736551,4982043,6,9553308
2020-12,5775043,5017605,5.9,9594403
2021-01,5779382,5019876,5.7,9631806
2021-02,5779495,5020960,5.8,9624300
2021-03,5799558,5038349,5.9,9686997
2021-04,5794866,5029942,4.3,9849746
2021-05,5782381,5018274,2.2,9920393
2021-06,5776898,5013165,0.7,9928580
2021-07,5779558,5015978,0.5,9897304
2021-08,5767247,5004657,0.3,9885753
2021-09,5771179,5008197,0.4,9890809
2021-10,5777521,5014211,0.8,9898683
2021-11,5769118,5007228,0.5,9935131
2021-12,5807104,5043504,0.5,9940205
2022-01,5810349,5046233,0.5,9955548
2022-02,5798967,5036740,0.3,9934040
2022-03,5826802,5063492,0.5,9981793
2022-04,5845197,5081164,1,10146591
2022-05,5823733,5062368,0.9,10167889
2022-06,5849028,5086984,1.5,10189268
2022-07,5880547,5117215,2,10181229
2022-08,5877644,5114197,2.2,10163569
2022-09,5905009,5139505,2.6,10154468
2022-10,5929781,5162226,3,10136541
2022-11,5923052,5156038,3,10184254
2022-12,5963524,5194164,3,10167310
2023-01,5989570,5219209,3.4,10170337
2023-02,5987450,5218106,3.6,10133624
2023-03,6003433,5232645,3.3,10191325
2023-04,6030704,5258540,3.5,10370172
2023-05,6021120,5251527,3.7,10399407
2023-06,6031467,5261781,3.4,10416904
2023-07,6051193,5281101,3.2,10387129
2023-08,6057398,5287547,3.4,10372733
2023-09,6075230,5303957,3.2,10365840
2023-10,6090157,5317686,3,10329836
2023-11,6089067,5317579,3.1,10371701
2023-12,6142687,5369145,3.4,10363081
2024-01,6173099,5398525,3.4,10370586
2024-02,6166342,5393467,3.4,10330742
2024-03,6194249,5420413,3.6,10398926
2024-04,6216274,5442328,3.5,10538508
2024-05,6196795,5425153,3.3,10529350
2024-06,6223534,5450205,3.6,10525378
2024-07,6241864,5467666,3.5,10506738
2024-08,6238766,5463650,3.3,10492572
2024-09,6240845,5464580,3,10478343
2024-10,6250055,5472102,2.9,10443045
2024-11,6265434,5487805,3.2,10496109
2024-12,6328938,5548788,3.3,10507504
2025-01,6353889,5572479,3.2,10524763
2025-02,6351541,5571509,3.3,10472965
2025-03,6366350,5584472,3,10491239
2025-04,6361638,5578126,2.5,10609369
2025-05,6344852,5563587,2.6,10605479
2025-06,6394619,5611451,3,10607345
2025-07,6441407,5657521,3.5,10579400
2025-08,6457174,5672288,3.8,10555191
2025-09,6478205,5691643,4.2,10549866
2025-10,6503876,5714557,4.4,10530240
2025-11,6522848,5733854,4.5,10586993
2025-12,6603592,5812658,4.8,10599900
2026-01,6635188,5842934,4.9,10611629
2026-02,6635369,5843781,4.9,10589309
2026-03,6670250,5877131,5.2,10652528
2026-04,6703257,5907637,5.9,10807344
2026-05,6704231,5909600,6.2,10825807
2026-06,6757419,5960659,6.2,10792148
2026-07,6787810,5989219,5.9,10744435
2026-08,6803427,6003055,5.8,10724953
