date,total_assets,jgb_holdings,boj_loans,foreign_currency_assets,gold,banknotes,current_deposits,other_deposits,government_account,repos_payable,loan_support_program,pooled_collateral_loans,etf,corporate_bonds
2023-01-10,7103353.81,5655708.85,856731.72,88334.84,4412.53,1239273.68,5021551.44,363357.9,297421.44,36658.75,608567,197722,369758.78,81869.2
2023-01-20,7273249.48,5786175.05,894610.72,88116.7,4412.53,1226083.65,5105458.3,358122.73,359040.42,79697.17,608567,235601,369758.78,81860.19
2023-01-31,7337761.87,5835491.9,911248.72,87779.19,4412.53,1223005.62,5247533.77,335319.25,314113.02,73389.47,608567,252239,369758.78,81765.09
2023-02-10,7349797.01,5841534.46,918253.72,87808.05,4412.53,1218303.87,5152220.24,335126.65,445289.35,54456.58,608567,259244,369758.78,81743.08
2023-02-20,7363812.47,5843520,927336.72,88625.71,4412.53,1218711.2,5223563.1,321087.54,399591.91,55565.21,608567,268326,369758.78,81370.5
2023-02-28,7395800.82,5883099.99,919708.72,89039.95,4412.53,1221394.84,5248737.43,310137.81,402349.82,67109.46,608567,260699,369758.78,81888.98
2023-03-10,7454122.96,5933625.59,929418.41,90180.31,4412.53,1220678.52,5214400.97,308977.23,497540.2,65082.41,608567,272879,369758.78,79930.88
2023-03-20,7371067.32,5807209.1,971793.41,89972.5,4412.53,1219991.31,5337435.22,316248.27,286554.43,55740.99,650943,272879,369758.78,79370.92
2023-03-31,7348498.64,5817206.9,944397.41,89294.25,4412.53,1219550.39,5490781.27,289024.86,155979.52,53709.03,650943,245483,370459.78,80089.6
2023-04-10,7334309.13,5802469.08,944151.41,89390.22,4412.53,1215957.76,5429795.82,281922.97,212247.16,54363.33,650943,245237,371160.78,80056.6
2023-04-20,7367288.13,5830447.33,946791.41,89850.89,4412.53,1217605.89,5529504.61,310108.2,139374.64,30178.78,650943,247877,371160.78,79648.53
2023-04-30,7400726.4,5866295.05,944277.41,90170.51,4412.53,1227166.42,5529142.8,316968.6,137902.06,48525.3,650943,245363,371160.78,79293.7
2023-05-10,7399140.43,5867588.58,941327.41,90882.98,4412.53,1220550.38,5453331.14,326232.7,227330.79,29978.18,650943,242413,371160.78,79270.67
2023-05-20,7431249.49,5899283.9,940612.41,90477.85,4412.53,1213324.47,5438312.98,331365.02,280583.48,26135.13,650943,241698,371160.78,78731.57
2023-05-31,7455518.28,5928156.47,935027.41,91354.02,4412.53,1210401.32,5464409.29,333663.82,297263.62,27876.68,650943,236113,371160.78,78709.72
2023-06-10,7441464.81,5922390.09,930769.24,92648.26,4412.53,1207331.85,5321528.39,352446.4,404739.88,32162.96,650943,236409,371160.78,74909.08
2023-06-20,7361249.53,5809986.54,963404.24,92908.98,4412.53,1209741.67,5519409.1,359050.29,106258.6,36244.69,683578,236409,371160.78,72554.89
2023-06-30,7328285.87,5828729.33,912362.24,93527.97,4412.53,1213784.23,5444447.68,365425.17,129322.46,44104.38,683578,185367,371160.78,72883.96
2023-07-10,7333169,5826689.54,909762.24,94039.2,4412.53,1212959.78,5376535.89,368123.65,203381.8,40440.36,683578,182767,371160.78,72742.91
2023-07-20,7356094.53,5857824.15,912411.24,93327.26,4412.53,1211887.16,5341058.7,373531.94,257843.29,40809.77,683578,185416,371160.78,69956.1
2023-07-31,7416142.31,5898803.24,930856.24,93366.98,4412.53,1212699.8,5428092.09,367915.26,225472.93,50892.38,683578,203861,371160.78,70045.41
2023-08-10,7438998.26,5926484.06,926886.24,93910.77,4412.53,1213513.31,5383574.64,358206.67,323026.24,29071.26,683578,199891,371160.78,69936.4
2023-08-20,7457306.06,5939501.97,929136.24,94341.2,4412.53,1211878.46,5441386.94,357847.47,273329.86,31748.75,683578,202141,371160.78,69936.4
2023-08-31,7485376.56,5964278.81,930717.24,94956.9,4412.53,1211668.82,5484818.87,359395.88,259090.97,28412.25,683578,203722,371160.78,70161.14
2023-09-10,7477111.23,5960765.32,926948,95956.26,4412.53,1209126.73,5391375.82,359751.68,349359.28,24448.11,683578,203722,371160.78,69574.7
2023-09-20,7386293.21,5841865.25,956170,96341.85,4412.53,1206360.19,5471852.09,364134.06,152899.86,39289.79,702255,214258,371160.78,66833.04
2023-09-30,7407834.76,5868781.39,955308,96536.11,4412.53,1206494.57,5471928.47,382927.29,153539.01,48394.23,702255,213406,371160.78,67318.05
2023-10-10,7423868.24,5875488.12,965314,96913.38,4412.53,1205986.74,5382061.12,391868.81,248261.43,43228.96,702255,223412,371160.78,67369.59
2023-10-20,7457559.97,5911235.55,963164,96982.58,4412.53,1206499.39,5470183.43,393955.93,200166.11,34146.84,702255,221262,371861.78,64271.3
2023-10-31,7506502.38,5948528.31,973868,97422.31,4412.53,1208338.77,5517021.33,396200.76,178985.37,52949.89,702255,231966,371861.78,64439.11
2023-11-10,7507686.11,5950985.65,973418,97578.16,4412.53,1206868.14,5469480.68,406293.47,231139.52,40601.34,702255,231515,371861.78,64200.78
2023-11-20,7531708.3,5972155.04,973418,97923.3,4412.53,1206585.69,5443547.34,427900.56,262574.19,37309.35,702255,231515,371861.78,63717.67
2023-11-30,7557805.32,6000647.4,973167,97498.48,4412.53,1210338.44,5440582.31,434811.61,279510.66,39926.63,702255,231265,371861.78,63361.83
2023-12-10,7543376.88,5996187,964043,98014.99,4412.53,1217205.54,5295825.91,436910.84,403036.51,37204.17,702255,231199,371861.78,62674.14
2023-12-20,7491095.1,5910187.83,998781,97570.5,4412.53,1231173.73,5446617.01,442182.53,168390.6,42938.68,730665,237527,371861.78,61251.08
