date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
1990-03-06,2y,2000.0,2890.0,1738.0,1.663,6.723
1990-04-05,10y,7000.0,16599.0,2765.5,6.002,6.655
1990-04-24,10y,8000.0,16399.0,3160.1,5.189,6.671
1990-04-26,2y,1000.0,3186.0,1091.0,2.92,7.023
1990-05-10,20y,3000.0,9015.0,3070.0,2.936,6.739
1990-05-22,10y,9000.0,20153.0,3554.6,5.67,6.242
1990-05-29,2y,1000.0,3800.0,1016.0,3.74,6.311
1990-06-26,10y,8000.0,16288.0,3158.2,5.157,6.48
1990-07-03,2y,1000.0,2361.0,1028.0,2.297,6.352
1990-07-24,10y,7000.0,10417.0,2765.7,3.766,6.904
1990-07-26,2y,1000.0,1908.0,1129.0,1.69,6.528
1990-08-22,10y,8000.0,7339.0,3158.9,2.323,7.534
1990-08-29,2y,1000.0,1721.0,1053.0,1.634,7.454
1990-09-26,10y,6000.0,19927.0,3539.2,5.63,7.786
1990-10-02,2y,1800.0,3783.0,2009.0,1.883,7.603
1990-10-24,10y,7000.0,14917.0,4132.0,3.61,7.21
1990-10-30,2y,2000.0,4780.0,2501.0,1.911,7.087
1990-11-01,20y,3000.0,6319.0,3150.0,2.006,7.279
1990-11-27,10y,8000.0,18680.0,4725.3,3.953,6.799
1990-12-04,2y,2500.0,4865.0,2723.0,1.787,6.81
1991-01-09,10y,6000.0,16439.0,3538.3,4.646,6.522
1991-01-18,2y,1500.0,2754.0,1783.0,1.545,6.665
1991-01-30,10y,8000.0,15483.0,4725.3,3.277,6.352
1991-02-06,2y,1500.0,2608.0,1472.0,1.772,6.678
1991-02-07,20y,4000.0,7524.0,4008.0,1.877,6.717
1991-02-26,10y,8000.0,10878.0,4722.4,2.303,6.215
1991-03-07,2y,1000.0,3398.0,1016.0,3.344,6.502
1991-04-02,10y,8000.0,11498.0,4726.1,2.433,6.535
1991-04-09,2y,2000.0,2991.0,2008.0,1.49,6.409
1991-04-24,10y,8000.0,13646.0,4727.3,2.887,6.537
1991-04-26,2y,1000.0,2309.0,1011.0,2.284,6.476
1991-05-09,20y,3000.0,6880.0,3265.0,2.107,6.881
1991-05-22,10y,8000.0,13789.0,4725.6,2.918,6.488
1991-05-29,2y,1000.0,1771.0,1034.0,1.713,6.489
1991-06-25,10y,8000.0,12615.0,4722.8,2.671,6.686
1991-07-03,2y,1000.0,1584.0,1001.0,1.582,6.619
1991-07-24,10y,8000.0,20079.0,4724.9,4.25,6.561
1991-07-30,2y,1000.0,2261.0,1068.0,2.117,6.436
1991-08-01,20y,3000.0,5137.0,3174.0,1.618,6.759
1991-08-22,10y,8000.0,19265.0,4724.9,4.077,6.3
1991-08-28,2y,1000.0,3029.0,999.0,3.032,6.114
1991-10-01,10y,8000.0,22336.0,4725.1,4.727,5.929
1991-10-08,2y,1000.0,2153.0,1031.0,2.088,5.762
1991-10-29,10y,8000.0,16700.0,4724.2,3.535,5.832
1991-11-07,2y,1000.0,2738.0,1074.0,2.549,5.589
1991-11-12,20y,3000.0,10674.0,2984.0,3.577,6.312
1991-11-26,10y,8000.0,22313.0,4724.5,4.723,5.836
1991-12-03,2y,2000.0,4885.0,2075.0,2.354,5.156
1992-01-09,10y,8000.0,28750.0,4726.5,6.083,5.381
1992-01-16,2y,1000.0,3990.0,1000.0,3.99,4.291
1992-01-29,10y,8000.0,26072.0,4726.4,5.516,5.373
1992-02-25,10y,8000.0,21551.0,4725.4,4.561,5.444
1992-03-03,2y,1000.0,2328.0,1045.0,2.228,3.603
1992-04-01,10y,8000.0,11635.0,4726.3,2.462,5.445
1992-04-09,2y,1000.0,2185.0,1033.0,2.115,3.813
1992-05-07,10y,8000.0,17615.0,4726.8,3.727,5.657
1992-05-12,2y,1000.0,983.0,839.0,1.172,3.997
1992-05-27,10y,8000.0,15979.0,4727.4,3.38,5.673
1992-06-03,2y,500.0,1721.0,506.0,3.401,4.504
1992-06-24,10y,8000.0,22971.0,4726.7,4.86,5.556
1992-06-30,2y,1000.0,4008.0,1330.0,3.014,4.294
1992-07-02,20y,3000.0,10055.0,3730.0,2.696,5.911
1992-07-22,10y,8000.0,30246.0,4724.0,6.403,5.253
1992-07-29,2y,1000.0,4162.0,1521.0,2.736,3.801
1992-08-26,10y,10000.0,33271.0,5906.9,5.633,4.804
1992-09-03,2y,1000.0,1856.0,1143.0,1.624,3.692
1992-09-08,20y,3000.0,8617.0,3244.0,2.656,5.616
1992-09-30,10y,8000.0,23543.0,4725.6,4.982,4.88
1992-10-06,2y,1000.0,2433.0,1124.0,2.165,3.688
1992-10-22,10y,8000.0,12703.0,4726.7,2.687,4.964
1992-10-27,2y,1500.0,2177.0,1490.0,1.461,3.598
1992-11-05,20y,3000.0,8745.0,3026.0,2.89,5.7
1992-11-25,10y,8000.0,18750.0,4724.8,3.968,4.763
1992-12-01,2y,1500.0,3190.0,1435.0,2.223,3.448
1993-01-07,10y,8000.0,30998.0,4726.5,6.558,4.667
1993-01-12,2y,1500.0,3281.0,1529.0,2.146,3.085
1993-01-27,10y,8000.0,36595.0,4726.4,7.743,4.52
1993-02-02,20y,3000.0,10844.0,3265.0,3.321,5.228
1993-02-09,2y,1000.0,1870.0,1015.0,1.842,2.853
1993-02-24,10y,8000.0,25689.0,4726.4,5.435,3.947
1993-03-31,10y,8000.0,19842.0,4726.1,4.198,4.458
1993-04-06,2y,1000.0,1301.0,996.0,1.306,2.824
1993-04-20,10y,8000.0,7943.0,4727.0,1.68,4.542
1993-04-22,2y,800.0,934.0,792.0,1.179,2.866
1993-05-25,10y,8000.0,20261.0,4727.5,4.286,4.891
1993-05-27,2y,1000.0,1062.0,940.0,1.13,3.015
1993-06-10,20y,3000.0,8137.0,3690.0,2.205,5.531
1993-06-23,10y,8000.0,17436.0,4727.5,3.688,4.729
1993-06-29,2y,1000.0,2230.0,1228.0,1.816,2.875
1993-07-06,20y,3000.0,7970.0,2997.0,2.659,5.336
1993-07-22,10y,8000.0,24732.0,4726.6,5.233,4.273
1993-07-27,2y,1000.0,2060.0,1380.0,1.493,2.775
1993-08-25,10y,8000.0,32488.0,4725.4,6.875,4.316
1993-08-31,2y,1000.0,2744.0,1200.0,2.287,2.658
1993-09-28,10y,8000.0,26816.0,4726.4,5.674,3.868
1993-10-05,20y,3500.0,12725.0,3506.0,3.629,4.656
1993-10-13,2y,1500.0,2750.0,1502.0,1.831,2.25
1993-10-27,10y,10000.0,27961.0,5909.0,4.732,3.777
1993-11-02,2y,1000.0,3700.0,1216.0,3.043,2.212
1993-11-30,10y,10000.0,32320.0,5908.0,5.471,3.469
1993-12-02,2y,1500.0,2951.0,1606.0,1.837,1.735
1993-12-21,20y,3000.0,9044.0,2997.0,3.018,3.919
1994-01-06,10y,10000.0,28159.0,5907.4,4.767,3.276
1994-01-13,2y,1200.0,1508.0,1199.0,1.258,1.874
1994-01-26,10y,10000.0,8514.0,5911.2,1.44,3.904
1994-02-02,2y,1000.0,2086.0,1003.0,2.08,2.292
1994-03-02,10y,12000.0,16390.0,7093.6,2.311,4.479
1994-03-15,2y,1500.0,2869.0,1510.0,1.9,2.52
1994-04-05,10y,10000.0,14227.0,5909.4,2.408,3.931
1994-04-19,2y,1000.0,2206.0,1006.0,2.193,2.516
1994-04-26,10y,10000.0,10721.0,5908.9,1.814,4.076
1994-05-18,2y,1200.0,4087.0,1181.0,3.461,2.399
1994-05-19,20y,3000.0,7882.0,2992.0,2.634,4.483
1994-05-24,10y,10000.0,13728.0,5909.4,2.323,3.978
1994-06-02,2y,1000.0,2189.0,974.0,2.247,2.373
1994-06-28,10y,10000.0,16215.0,5910.0,2.744,4.269
1994-07-07,2y,1200.0,8319.0,1256.0,6.623,2.356
1994-07-27,10y,10000.0,13909.0,5909.0,2.354,4.346
1994-08-10,2y,1000.0,1761.0,1017.0,1.732,2.386
1994-08-23,10y,10000.0,12463.0,5910.0,2.109,4.632
1994-09-08,20y,3000.0,6867.0,3404.0,2.017,5.008
1994-09-13,2y,1000.0,1554.0,1111.0,1.399,2.55
1994-09-27,10y,10000.0,12770.0,5907.1,2.162,4.505
1994-10-12,2y,1000.0,1226.0,974.0,1.259,2.69
1994-10-25,10y,10000.0,15220.0,5910.1,2.575,4.676
1994-11-08,20y,3000.0,7385.0,2987.0,2.472,5.084
1994-11-17,2y,1000.0,2548.0,1196.0,2.13,2.739
1994-11-29,10y,10000.0,20056.0,5908.6,3.394,4.55
1994-12-08,2y,1000.0,2550.0,1296.0,1.968,2.736
1994-12-13,20y,3000.0,9240.0,2960.0,3.122,4.957
1995-01-10,10y,10000.0,20164.0,5908.0,3.413,4.567
1995-01-12,2y,1000.0,2988.0,1346.0,2.22,2.548
1995-01-31,10y,10000.0,20599.0,5908.0,3.487,4.511
1995-02-02,2y,1000.0,1789.0,1004.0,1.782,2.643
1995-02-14,20y,3000.0,10388.0,2997.0,3.466,4.959
1995-03-01,10y,12000.0,20999.0,7091.9,2.961,4.381
1995-03-03,2y,1000.0,2279.0,1056.0,2.158,2.605
1995-03-28,10y,10000.0,16822.0,5908.7,2.847,3.85
1995-03-30,2y,1500.0,7540.0,1813.0,4.159,2.099
1995-04-11,20y,3000.0,10101.0,3372.0,2.996,4.206
1995-04-25,10y,10000.0,19965.0,5908.8,3.379,3.524
1995-04-27,2y,1200.0,3402.0,1451.0,2.345,1.702
1995-05-23,10y,10000.0,30216.0,5909.5,5.113,3.23
1995-05-25,2y,1500.0,5828.0,1642.0,3.549,1.449
1995-06-06,20y,4000.0,14266.0,3992.0,3.574,3.617
1995-06-27,10y,10000.0,37812.0,5909.4,6.399,2.807
1995-06-29,2y,1500.0,3015.0,1528.0,1.973,1.17
1995-07-25,10y,10000.0,26996.0,5909.6,4.568,2.863
1995-07-27,2y,1500.0,5870.0,1565.0,3.751,1.043
1995-08-08,20y,3000.0,8609.0,3350.0,2.57,3.671
1995-08-22,10y,10000.0,14958.0,5909.5,2.531,3.264
1995-08-24,2y,1500.0,3543.0,1699.0,2.085,1.211
1995-09-26,10y,10000.0,29538.0,5907.7,5.0,2.777
1995-09-28,2y,1700.0,8038.0,1694.0,4.745,0.754
1995-10-12,20y,3000.0,6817.0,2995.0,2.276,3.679
1995-10-24,10y,12000.0,14048.0,7091.1,1.981,2.998
1995-10-26,2y,1500.0,4134.0,1477.0,2.799,0.568
1995-11-21,10y,12000.0,15599.0,7089.6,2.2,2.907
1995-11-28,2y,1500.0,3655.0,1524.0,2.398,0.554
1995-12-05,20y,3000.0,9159.0,3380.0,2.71,3.541
1995-12-21,2y,1500.0,2794.0,1531.0,1.825,0.535
1996-01-09,10y,12000.0,15786.0,7090.6,2.226,3.098
1996-01-30,10y,12000.0,16118.0,7091.2,2.273,3.11
1996-02-01,2y,1500.0,2943.0,1477.0,1.993,0.952
1996-02-08,20y,3000.0,9745.0,3375.0,2.887,3.701
1996-02-21,10y,12000.0,11298.0,7090.7,1.593,3.307
1996-02-23,2y,1200.0,2840.0,1196.0,2.375,1.241
1996-03-26,10y,10000.0,14752.0,5904.0,2.499,3.313
1996-03-28,2y,1200.0,2769.0,1199.0,2.309,1.121
1996-04-09,20y,4000.0,9447.0,3983.0,2.372,3.902
1996-04-23,10y,10000.0,20440.0,5907.5,3.46,3.307
1996-04-25,2y,1200.0,3802.0,1193.0,3.187,1.34
1996-05-21,10y,10000.0,20749.0,5906.5,3.513,3.284
1996-05-23,2y,1200.0,3629.0,1204.0,3.014,1.207
1996-06-25,10y,10000.0,15959.0,5907.1,2.702,3.262
1996-06-27,2y,1200.0,2719.0,1183.0,2.298,1.244
1996-07-09,20y,4000.0,11881.0,3987.0,2.98,3.874
1996-07-23,10y,10000.0,15388.0,5908.5,2.604,3.305
1996-07-25,2y,1200.0,2855.0,1195.0,2.389,1.25
1996-08-21,10y,10000.0,17693.0,5908.3,2.995,3.118
1996-08-23,2y,1200.0,2789.0,1190.0,2.344,1.11
1996-09-25,10y,10000.0,19407.0,5907.8,3.285,2.875
1996-09-27,2y,1200.0,2346.0,1182.0,1.985,0.92
1996-10-08,20y,4000.0,15062.0,3985.0,3.78,3.453
1996-10-22,10y,10000.0,18921.0,5908.6,3.202,2.848
1996-10-24,2y,1200.0,4368.0,1190.0,3.671,0.83
1996-11-26,10y,10000.0,19841.0,5906.9,3.359,2.751
1996-11-28,2y,1200.0,3297.0,1165.0,2.83,0.636
1996-12-25,2y,1200.0,2550.0,1170.0,2.179,0.617
1997-01-09,10y,10000.0,26574.0,5908.3,4.498,2.633
1997-01-21,20y,4000.0,13305.0,3984.0,3.34,3.319
1997-01-28,10y,10000.0,33271.0,5908.1,5.631,2.495
1997-01-30,2y,1200.0,2706.0,1180.0,2.293,0.625
1997-02-25,10y,10000.0,26850.0,5907.9,4.545,2.543
1997-02-27,2y,1200.0,3083.0,1184.0,2.604,0.631
1997-03-25,10y,10000.0,21717.0,5911.4,3.674,2.506
1997-03-27,2y,1200.0,2532.0,1188.0,2.131,0.695
1997-04-08,20y,4000.0,18188.0,3987.0,4.562,2.957
1997-04-22,10y,10000.0,40085.0,5911.9,6.78,2.295
1997-04-24,2y,1200.0,2897.0,1163.0,2.491,0.733
1997-05-21,10y,10000.0,25313.0,5910.9,4.282,2.594
1997-05-23,2y,1200.0,2249.0,1192.0,1.887,1.038
1997-06-24,10y,10000.0,23261.0,5912.5,3.934,2.572
1997-06-26,2y,1200.0,2316.0,1186.0,1.953,1.065
1997-07-08,20y,4000.0,9813.0,3988.0,2.461,3.134
1997-07-23,10y,10000.0,17039.0,5912.6,2.882,2.422
1997-07-25,2y,1200.0,2929.0,1193.0,2.455,0.839
1997-08-26,10y,10000.0,24572.0,5913.4,4.155,2.249
1997-08-28,2y,1200.0,3450.0,1166.0,2.959,0.671
1997-09-25,10y,10000.0,16307.0,5911.3,2.759,2.139
1997-09-30,2y,1200.0,2130.0,1199.0,1.776,0.625
1997-10-08,20y,4000.0,17233.0,3989.0,4.32,2.689
1997-10-21,10y,10000.0,16938.0,5913.1,2.864,1.928
1997-10-23,2y,1200.0,3132.0,1186.0,2.641,0.666
1997-11-26,10y,10000.0,11949.0,5914.1,2.02,1.991
1997-11-28,2y,1200.0,5757.0,1193.0,4.826,0.553
1997-12-25,2y,1200.0,4301.0,1193.0,3.605,0.551
1998-01-08,10y,10000.0,16832.0,5913.0,2.847,1.852
1998-01-20,20y,4000.0,10107.0,3987.0,2.535,2.618
1998-01-27,10y,10000.0,32782.0,5914.5,5.543,2.033
1998-01-29,2y,1200.0,3947.0,1198.0,3.295,0.677
1998-02-24,10y,10000.0,13038.0,5914.1,2.205,1.857
1998-02-26,2y,1200.0,115822.0,1344.0,86.177,0.676
1998-03-24,10y,11000.0,12838.0,6504.6,1.974,1.809
1998-03-26,2y,1200.0,3306.0,1144.0,2.89,0.694
1998-04-08,20y,6000.0,13140.0,5986.0,2.195,2.598
1998-04-21,10y,11000.0,23392.0,6504.9,3.596,1.809
1998-04-23,2y,1200.0,6817.0,1131.0,6.027,0.674
1998-05-26,10y,11000.0,21675.0,6504.5,3.332,1.509
1998-05-28,2y,1200.0,8188.0,1103.0,7.423,0.51
1998-06-23,10y,12000.0,27486.0,7097.3,3.873,1.529
1998-06-25,2y,1500.0,6920.0,1424.0,4.86,0.54
1998-07-08,20y,6000.0,11231.0,5993.0,1.874,2.306
1998-07-22,10y,12000.0,22043.0,7096.3,3.106,1.721
1998-07-24,2y,1500.0,8449.0,1410.0,5.992,0.66
1998-08-25,10y,12000.0,31357.0,7096.5,4.419,1.396
1998-08-27,2y,1500.0,3662.0,1392.0,2.631,0.545
1998-09-29,10y,14000.0,19396.0,8279.3,2.343,0.828
1998-10-01,2y,1500.0,3837.0,1392.0,2.756,0.38
1998-10-13,20y,6000.0,16995.0,5987.0,2.839,1.491
1998-10-21,10y,14000.0,19221.0,8279.2,2.322,0.895
1998-10-23,2y,1500.0,5963.0,1405.0,4.244,0.384
1998-11-25,10y,14000.0,21974.0,8279.4,2.654,0.972
1998-11-27,2y,1500.0,5252.0,1395.0,3.765,0.4
1998-12-22,2y,2000.0,3682.0,1893.0,1.945,0.655
1999-01-07,10y,18000.0,23642.0,10646.7,2.221,1.869
1999-01-19,20y,6000.0,9727.0,6018.0,1.616,2.723
1999-01-26,10y,18000.0,17972.0,10646.5,1.688,1.853
1999-01-28,2y,2000.0,6062.0,1874.0,3.235,0.625
1999-02-23,10y,14000.0,17649.0,8279.8,2.132,1.836
1999-02-25,2y,5000.0,26917.0,4899.0,5.494,0.45
1999-03-24,10y,14000.0,12970.0,8279.9,1.566,1.89
1999-03-30,2y,5000.0,20933.0,4855.0,4.312,0.369
1999-04-07,20y,6000.0,11646.0,5991.0,1.944,2.585
1999-04-21,10y,14000.0,19181.0,8277.9,2.317,1.435
1999-04-27,2y,5000.0,24726.0,4879.0,5.068,0.204
1999-05-25,10y,14000.0,17908.0,8278.6,2.163,1.311
1999-05-27,2y,5000.0,22198.0,4918.0,4.514,0.11
1999-06-22,10y,14000.0,15868.0,8279.5,1.917,1.673
1999-06-24,2y,6000.0,17381.0,5853.0,2.97,0.415
1999-07-01,20y,6000.0,10272.0,5994.0,1.714,2.829
1999-07-22,10y,14000.0,15793.0,8279.3,1.908,1.7
1999-07-27,2y,6000.0,19573.0,5901.0,3.317,0.379
1999-08-24,10y,14000.0,11682.0,8279.5,1.411,1.917
1999-08-26,2y,6000.0,22559.0,5887.0,3.832,0.415
1999-09-21,10y,14000.0,14991.0,8279.8,1.811,1.705
1999-09-28,2y,7000.0,21120.0,6872.0,3.073,0.294
1999-10-05,20y,6000.0,12698.0,5995.0,2.118,2.495
1999-10-21,10y,14000.0,16588.0,8277.8,2.004,1.758
1999-10-26,2y,7000.0,14838.0,6853.0,2.165,0.284
1999-11-25,10y,14000.0,19549.0,8278.4,2.361,1.836
1999-11-30,2y,7000.0,23484.0,6842.0,3.432,0.439
1999-12-21,2y,10000.0,25917.0,9861.0,2.628,0.425
2000-01-12,10y,14000.0,20643.0,8277.4,2.494,1.698
2000-01-20,20y,6000.0,13387.0,5991.0,2.235,2.408
2000-01-25,2y,10000.0,34547.0,9837.0,3.512,0.405
2000-01-27,10y,14000.0,20743.0,8278.8,2.506,1.626
2000-02-01,5y,8000.0,15550.0,7931.0,1.961,0.948
2000-02-22,10y,14000.0,13523.0,8277.4,1.634,1.762
2000-02-24,5y,8000.0,18006.0,7931.0,2.27,1.106
2000-03-02,2y,10000.0,22923.0,9865.0,2.324,0.43
2000-03-22,10y,14000.0,25271.0,8278.0,3.053,1.812
2000-03-28,5y,9000.0,22077.0,8925.0,2.474,1.277
2000-03-30,2y,12000.0,28412.0,11831.0,2.401,0.56
2000-04-05,20y,6000.0,12486.0,5995.0,2.083,2.218
2000-04-25,10y,14000.0,33440.0,8278.0,4.04,1.68
2000-04-27,5y,9000.0,20621.0,8896.0,2.318,1.065
2000-05-11,2y,12000.0,31928.0,11833.0,2.698,0.394
2000-05-23,10y,14000.0,16643.0,8277.7,2.011,1.636
2000-05-25,5y,9000.0,19449.0,8885.0,2.189,1.074
2000-05-30,2y,12000.0,22821.0,11825.0,1.93,0.43
2000-06-21,10y,14000.0,22152.0,8279.2,2.676,1.622
2000-06-27,5y,9000.0,22247.0,8896.0,2.501,1.179
2000-06-29,2y,12000.0,33299.0,11815.0,2.818,0.55
2000-07-05,20y,6000.0,11737.0,5994.0,1.958,2.145
2000-07-25,10y,14000.0,16922.0,8278.4,2.044,1.669
2000-07-27,5y,9000.0,23770.0,8893.0,2.673,1.127
2000-08-01,2y,12000.0,27988.0,11815.0,2.369,0.469
2000-08-22,10y,14000.0,21914.0,8278.1,2.647,1.717
2000-08-24,5y,9000.0,21464.0,8931.0,2.403,1.246
2000-08-29,2y,12000.0,33672.0,11825.0,2.848,0.674
2000-09-21,10y,14000.0,18038.0,8277.2,2.179,1.825
2000-09-26,5y,9000.0,14445.0,8944.0,1.615,1.293
2000-09-28,2y,12000.0,35475.0,11839.0,2.996,0.694
2000-10-04,20y,6000.0,11248.0,5989.0,1.878,2.447
2000-10-24,10y,16000.0,22661.0,9461.2,2.395,1.809
2000-10-26,5y,9000.0,26022.0,8897.0,2.925,1.189
2000-11-01,2y,12000.0,32820.0,11800.0,2.781,0.584
2000-11-21,10y,16000.0,27207.0,9459.3,2.876,1.663
2000-11-28,5y,9000.0,24309.0,8872.0,2.74,1.085
2000-12-01,2y,14000.0,26314.0,13758.0,1.913,0.554
2000-12-21,2y,14000.0,37217.0,13752.0,2.706,0.549
2001-01-10,10y,16000.0,18269.0,9460.6,1.931,1.504
2001-01-12,5y,11000.0,20436.0,10835.0,1.886,0.904
2001-01-17,20y,6000.0,10075.0,5993.0,1.681,2.147
2001-01-30,10y,16000.0,18701.0,9461.2,1.977,1.416
2001-02-01,5y,11000.0,22386.0,10848.0,2.064,0.883
2001-02-08,2y,14000.0,45169.0,13707.0,3.295,0.369
2001-02-21,10y,16000.0,22546.0,9461.1,2.383,1.329
2001-02-27,5y,11000.0,28366.0,10860.0,2.612,0.695
2001-03-01,2y,14000.0,38585.0,13831.0,2.79,0.174
2001-03-22,10y,17000.0,19663.0,10052.3,1.956,1.027
2001-03-27,2y,14000.0,24657.0,13896.0,1.774,0.135
2001-03-29,5y,15000.0,30373.0,14858.0,2.044,0.63
2001-04-03,20y,5000.0,12792.0,4992.0,2.562,1.819
2001-04-24,10y,17000.0,16810.0,10052.3,1.672,1.26
2001-04-26,2y,14000.0,38267.0,13871.0,2.759,0.105
2001-05-09,5y,15000.0,29823.0,14815.0,2.013,0.519
2001-05-22,10y,17000.0,27312.0,10050.7,2.717,1.268
2001-05-24,2y,14000.0,58730.0,13880.0,4.231,0.064
2001-05-29,5y,15000.0,41869.0,14820.0,2.825,0.465
2001-06-12,20y,5000.0,8294.0,4994.0,1.661,1.842
2001-06-21,10y,17000.0,37871.0,10052.4,3.767,1.124
2001-06-26,2y,14000.0,43069.0,13890.0,3.101,0.069
2001-06-29,5y,16000.0,31780.0,15820.0,2.009,0.356
2001-07-24,10y,17000.0,25424.0,10052.0,2.529,1.305
