date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
2024-01-18,20y,10000.0,25373.0,8117.0,3.126,1.383
2024-01-25,40y,7000.0,15025.0,6995.0,2.148,1.925
2024-01-30,2y,29000.0,88301.0,23597.0,3.742,0.075
2024-02-01,10y,27000.0,79475.0,21786.0,3.648,0.741
2024-02-07,30y,9000.0,23022.0,7238.0,3.181,1.791
2024-02-09,5y,25000.0,69437.0,20213.0,3.435,0.31
2024-02-14,gx10y,8000.0,23212.0,7995.0,2.903,0.74
2024-02-20,20y,10000.0,31101.0,8073.0,3.852,1.51
2024-02-27,gx5y,8000.0,27145.0,7998.0,3.394,0.339
2024-02-29,2y,29000.0,84905.0,23471.0,3.617,0.18
2024-03-05,10y,27000.0,70737.0,21840.0,3.239,0.718
2024-03-07,30y,9000.0,21251.0,7242.0,2.934,1.77
2024-03-12,5y,25000.0,80719.0,20226.0,3.991,0.372
2024-03-14,20y,10000.0,24194.0,8047.0,3.007,1.559
2024-03-27,40y,7000.0,17400.0,6997.0,2.487,1.905
2024-03-29,2y,26000.0,85834.0,21079.0,4.072,0.187
2024-04-02,10y,26000.0,79427.0,20908.0,3.799,0.753
2024-04-04,30y,9000.0,25129.0,7248.0,3.467,1.808
2024-04-09,5y,23000.0,73083.0,18847.0,3.878,0.404
2024-04-11,20y,10000.0,24818.0,8149.0,3.046,1.63
2024-04-23,2y,26000.0,72939.0,20955.0,3.481,0.303
2024-05-08,10y,26000.0,61918.0,19649.0,3.151,0.857
2024-05-10,30y,9000.0,22098.0,6809.0,3.245,1.992
2024-05-14,5y,23000.0,67747.0,17385.0,3.897,0.572
2024-05-16,20y,10000.0,27551.0,7555.0,3.647,1.734
2024-05-22,40y,7000.0,15422.0,6994.0,2.205,2.27
2024-05-28,gx10y,3500.0,11007.0,3496.0,3.148,1.04
2024-05-30,2y,26000.0,75614.0,20019.0,3.777,0.418
2024-06-04,10y,26000.0,72329.0,19753.0,3.662,1.048
2024-06-06,30y,9000.0,24437.0,6805.0,3.591,2.156
2024-06-20,5y,23000.0,69314.0,17453.0,3.971,0.512
2024-06-25,20y,10000.0,24737.0,7557.0,3.273,1.843
2024-06-27,2y,26000.0,75738.0,19770.0,3.831,0.378
2024-07-02,10y,26000.0,63476.0,19638.0,3.232,1.091
2024-07-04,30y,9000.0,20220.0,6804.0,2.972,2.19
2024-07-09,5y,23000.0,74342.0,17468.0,4.256,0.612
2024-07-11,20y,10000.0,28721.0,7555.0,3.802,1.913
2024-07-18,gx5y,3500.0,14117.0,3496.0,4.038,0.595
2024-07-24,40y,7000.0,15390.0,6997.0,2.2,2.42
2024-07-26,2y,26000.0,82708.0,19754.0,4.187,0.409
2024-08-06,10y,26000.0,58529.0,19673.0,2.975,0.926
2024-08-08,30y,9000.0,24528.0,7073.0,3.468,2.229
2024-08-14,5y,23000.0,61314.0,17464.0,3.511,0.452
2024-08-20,20y,10000.0,26023.0,7604.0,3.422,1.706
2024-08-29,2y,26000.0,108075.0,19500.0,5.542,0.385
2024-09-03,10y,26000.0,62928.0,19842.0,3.171,0.915
2024-09-05,30y,9000.0,23093.0,6796.0,3.398,2.043
2024-09-10,5y,23000.0,65591.0,17450.0,3.759,0.521
2024-09-12,20y,10000.0,26625.0,7662.0,3.475,1.69
2024-09-26,40y,7000.0,18043.0,6994.0,2.58,2.34
2024-09-30,2y,26000.0,74764.0,19598.0,3.815,0.392
2024-10-03,10y,26000.0,69207.0,19612.0,3.529,0.871
2024-10-08,30y,9000.0,22728.0,6797.0,3.344,2.152
2024-10-10,5y,23000.0,65136.0,17447.0,3.733,0.562
2024-10-22,gx10y,3500.0,11600.0,3500.0,3.314,0.943
2024-10-24,20y,10000.0,23615.0,7776.0,3.037,1.8
2024-10-29,2y,26000.0,98978.0,20308.0,4.874,0.454
2024-11-07,10y,26000.0,63761.0,20349.0,3.133,0.997
2024-11-13,30y,9000.0,24040.0,6998.0,3.435,2.271
2024-11-15,5y,23000.0,66641.0,17505.0,3.807,0.706
2024-11-21,20y,10000.0,26629.0,7558.0,3.523,1.898
2024-11-27,40y,7000.0,15646.0,6996.0,2.236,2.55
2024-11-29,2y,26000.0,71845.0,19794.0,3.63,0.582
2024-12-03,10y,26000.0,62107.0,19934.0,3.116,1.084
2024-12-05,30y,9000.0,23516.0,6805.0,3.456,2.287
2024-12-10,5y,23000.0,77340.0,17507.0,4.418,0.734
2024-12-17,20y,10000.0,25525.0,7555.0,3.379,1.879
2024-12-26,2y,26000.0,78998.0,20015.0,3.947,0.602
2025-01-07,10y,26000.0,65914.0,19635.0,3.357,1.14
2025-01-09,30y,9000.0,25694.0,6902.0,3.723,2.304
2025-01-14,5y,23000.0,66357.0,17390.0,3.816,0.876
2025-01-16,20y,10000.0,28729.0,7582.0,3.789,1.983
2025-01-21,40y,7000.0,19249.0,6995.0,2.752,2.57
