date,R1:RBNZ.MRA1221
2019-01-31,7336.0
2019-02-28,8256.0
2019-03-31,3273.0
2019-04-30,3249.0
2019-05-31,3253.0
2019-06-30,3255.0
2019-07-31,3264.0
2019-08-31,3274.0
2019-09-30,3428.0
2019-10-31,3445.0
2019-11-30,3528.0
2019-12-31,3760.0
2020-01-31,4422.0
2020-02-29,4863.0
2020-03-31,3437.0
2020-04-30,3013.0
2020-05-31,3015.0
2020-06-30,3168.0
2020-07-31,3333.0
2020-08-31,3342.0
2020-09-30,3345.0
2020-10-31,3476.0
2020-11-30,3474.0
2020-12-31,3477.0
2021-01-31,3485.0
2021-02-28,3641.0
2021-03-31,3644.0
2021-04-30,3627.0
2021-05-31,3375.0
2021-06-30,3529.0
2021-07-31,3539.0
2021-08-31,3549.0
2021-09-30,3700.0
2021-10-31,3685.0
2021-11-30,3689.0
2021-12-31,3697.0
2022-01-31,3710.0
2022-02-28,3723.0
2022-03-31,3731.0
2022-04-30,3718.0
2022-05-31,3725.0
2022-06-30,3732.0
2022-07-31,3746.0
2022-08-31,3760.0
2022-09-30,3929.0
2022-10-31,3916.0
2022-11-30,4070.0
2022-12-31,4081.0
2023-01-31,4165.0
2023-02-28,4181.0
2023-03-31,4342.0
2023-04-30,4080.0
2023-05-31,4079.0
2023-06-30,4087.0
2023-07-31,4462.0
2023-08-31,4478.0
2023-09-30,5778.0
2023-10-31,5772.0
2023-11-30,5763.0
2023-12-31,5774.0
2024-01-31,5798.0
2024-02-29,5970.0
2024-03-31,5982.0
2024-04-30,6126.0
2024-05-31,5961.0
2024-06-30,5972.0
2024-07-31,5991.0
2024-08-31,6161.0
2024-09-30,6170.0
2024-10-31,6163.0
2024-11-30,6142.0
2024-12-31,6151.0
2025-01-31,6171.0
2025-02-28,6190.0
2025-03-31,6199.0
2025-04-30,5942.0
2025-05-31,5921.0
2025-06-30,5930.0
2025-07-31,5951.0
2025-08-31,5972.0
2025-09-30,5788.0
2025-10-31,5785.0
2025-11-30,5963.0
2025-12-31,5974.0
2026-01-31,6603.0
2026-02-28,6625.0
2026-03-31,6638.0
2026-04-30,6637.0
2026-05-31,6458.0
2026-06-30,6469.0
2026-07-31,6843.0
