date,D30:ROSN.MAB2.P2ZZC
2019-01-31,1678.0
2019-02-28,1727.0
2019-03-31,1679.0
2019-04-30,1841.0
2019-05-31,2042.0
2019-06-30,2018.0
2019-07-31,1731.0
2019-08-31,1777.0
2019-09-30,1800.0
2019-10-31,1829.0
2019-11-30,1932.0
2019-12-31,1928.0
2020-01-31,1891.0
2020-02-29,1997.0
2020-03-31,2003.0
2020-04-30,1676.0
2020-05-31,2126.0
2020-06-30,2391.0
2020-07-31,2537.0
2020-08-31,2832.0
2020-09-30,3288.0
2020-10-31,3609.0
2020-11-30,3713.0
2020-12-31,3853.0
2021-01-31,3885.0
2021-02-28,3951.0
2021-03-31,4092.0
2021-04-30,4080.0
2021-05-31,4169.0
2021-06-30,4184.0
2021-07-31,4217.0
2021-08-31,4231.0
2021-09-30,4172.0
2021-10-31,4376.0
2021-11-30,4447.0
2021-12-31,4609.0
2022-01-31,4782.0
2022-02-28,4839.0
2022-03-31,5120.0
2022-04-30,5154.0
2022-05-31,5074.0
2022-06-30,5476.0
2022-07-31,5282.0
2022-08-31,5394.0
2022-09-30,5469.0
2022-10-31,5432.0
2022-11-30,5295.0
2022-12-31,4883.0
2023-01-31,4772.0
2023-02-28,5159.0
2023-03-31,4933.0
2023-04-30,4878.0
2023-05-31,4985.0
2023-06-30,5119.0
2023-07-31,5184.0
2023-08-31,5493.0
2023-09-30,5885.0
2023-10-31,5868.0
2023-11-30,5464.0
2023-12-31,4849.0
2024-01-31,5016.0
2024-02-29,4874.0
2024-03-31,5087.0
2024-04-30,5293.0
2024-05-31,5140.0
2024-06-30,5129.0
2024-07-31,5143.0
2024-08-31,4928.0
2024-09-30,4946.0
2024-10-31,4710.0
2024-11-30,4798.0
2024-12-31,4609.0
2025-01-31,4587.0
2025-02-28,4631.0
2025-03-31,4651.0
2025-04-30,4646.0
2025-05-31,4607.0
2025-06-30,4649.0
2025-07-31,4644.0
2025-08-31,4688.0
2025-09-30,3751.0
2025-10-31,3821.0
2025-11-30,3568.0
2025-12-31,3443.0
2026-01-31,3678.0
2026-02-28,3716.0
2026-03-31,3985.0
2026-04-30,4279.0
2026-05-31,4580.0
2026-06-30,4203.0
2026-07-31,4198.0
