date,D30:ROSN.MAF1.P9
2019-01-31,1000.0
2019-02-28,1000.0
2019-03-31,1025.0
2019-04-30,1550.0
2019-05-31,1500.0
2019-06-30,1600.0
2019-07-31,1775.0
2019-08-31,1875.0
2019-09-30,2475.0
2019-10-31,2475.0
2019-11-30,2875.0
2019-12-31,3025.0
2020-01-31,2960.0
2020-02-29,3035.0
2020-03-31,3160.0
2020-04-30,4160.0
2020-05-31,4460.0
2020-06-30,4335.0
2020-07-31,4225.0
2020-08-31,4125.0
2020-09-30,4650.0
2020-10-31,4650.0
2020-11-30,4550.0
2020-12-31,4425.0
2021-01-31,4500.0
2021-02-28,4600.0
2021-03-31,4525.0
2021-04-30,5250.0
2021-05-31,5350.0
2021-06-30,5450.0
2021-07-31,5550.0
2021-08-31,5650.0
2021-09-30,5750.0
2021-10-31,5850.0
2021-11-30,5950.0
2021-12-31,6025.0
2022-01-31,6075.0
2022-02-28,6550.0
2022-03-31,6690.0
2022-04-30,6840.0
2022-05-31,7635.0
2022-06-30,7710.0
2022-07-31,7785.0
2022-08-31,7890.0
2022-09-30,7990.0
2022-10-31,8040.0
2022-11-30,7990.0
2022-12-31,7940.0
2023-01-31,7890.0
2023-02-28,7890.0
2023-03-31,7890.0
2023-04-30,7890.0
2023-05-31,7890.0
2023-06-30,7590.0
2023-07-31,7590.0
2023-08-31,7590.0
2023-09-30,7590.0
2023-10-31,7590.0
2023-11-30,7590.0
2023-12-31,7590.0
2024-01-31,7590.0
2024-02-29,7590.0
2024-03-31,7590.0
2024-04-30,7590.0
2024-05-31,7590.0
2024-06-30,7590.0
2024-07-31,7590.0
2024-08-31,7590.0
2024-09-30,7590.0
2024-10-31,7590.0
2024-11-30,7590.0
2024-12-31,7590.0
2025-01-31,7590.0
2025-02-28,7590.0
2025-03-31,7590.0
2025-04-30,7590.0
2025-05-31,7590.0
2025-06-30,5665.0
2025-07-31,5665.0
2025-08-31,5665.0
2025-09-30,5665.0
2025-10-31,5665.0
2025-11-30,5665.0
2025-12-31,5665.0
2026-01-31,5665.0
2026-02-28,5665.0
2026-03-31,5665.0
2026-04-30,5665.0
2026-05-31,5665.0
2026-06-30,5665.0
2026-07-31,5665.0
