date,D30:ROSN.MAB2.P2ZZW
2019-01-31,6380.0
2019-02-28,6339.0
2019-03-31,6374.0
2019-04-30,6145.0
2019-05-31,5992.0
2019-06-30,5876.0
2019-07-31,6174.0
2019-08-31,6159.0
2019-09-30,6147.0
2019-10-31,6158.0
2019-11-30,6178.0
2019-12-31,6077.0
2020-01-31,6113.0
2020-02-29,6060.0
2020-03-31,6066.0
2020-04-30,6395.0
2020-05-31,5944.0
2020-06-30,5678.0
2020-07-31,5542.0
2020-08-31,5407.0
2020-09-30,5213.0
2020-10-31,5379.0
2020-11-30,5419.0
2020-12-31,5602.0
2021-01-31,5621.0
2021-02-28,5672.0
2021-03-31,5571.0
2021-04-30,5688.0
2021-05-31,5677.0
2021-06-30,5708.0
2021-07-31,5816.0
2021-08-31,5885.0
2021-09-30,5952.0
2021-10-31,5893.0
2021-11-30,6142.0
2021-12-31,6084.0
2022-01-31,5958.0
2022-02-28,5902.0
2022-03-31,5697.0
2022-04-30,5666.0
2022-05-31,5651.0
2022-06-30,5620.0
2022-07-31,5582.0
2022-08-31,6169.0
2022-09-30,6174.0
2022-10-31,5926.0
2022-11-30,5925.0
2022-12-31,5933.0
2023-01-31,5740.0
2023-02-28,5575.0
2023-03-31,5508.0
2023-04-30,5462.0
2023-05-31,5562.0
2023-06-30,5255.0
2023-07-31,5287.0
2023-08-31,5100.0
2023-09-30,4932.0
2023-10-31,4994.0
2023-11-30,4858.0
2023-12-31,5122.0
2024-01-31,5022.0
2024-02-29,5378.0
2024-03-31,5799.0
2024-04-30,5745.0
2024-05-31,5798.0
2024-06-30,5738.0
2024-07-31,5688.0
2024-08-31,4952.0
2024-09-30,4986.0
2024-10-31,5232.0
2024-11-30,5039.0
2024-12-31,4914.0
2025-01-31,4784.0
2025-02-28,4744.0
2025-03-31,4776.0
2025-04-30,4667.0
2025-05-31,4697.0
2025-06-30,4709.0
2025-07-31,4739.0
2025-08-31,4731.0
2025-09-30,4765.0
2025-10-31,4626.0
2025-11-30,4508.0
2025-12-31,4487.0
2026-01-31,4457.0
2026-02-28,4469.0
2026-03-31,4482.0
2026-04-30,4210.0
2026-05-31,3838.0
2026-06-30,4186.0
2026-07-31,4067.0
