date,NZDM:bond_tail_bp
2019-01-17,1.9
2019-01-24,4.0
2019-01-31,0.3
2019-02-14,1.1
2019-02-21,0.7
2019-02-26,0.0
2019-03-14,0.0
2019-03-21,0.7
2019-03-28,0.4
2019-04-11,0.9
2019-04-18,0.3
2019-05-09,0.7
2019-05-16,0.9
2019-05-23,1.0
2019-06-13,0.8
2019-06-20,0.5
2019-06-27,0.1
2019-07-11,0.0
2019-07-18,1.2
2019-07-25,0.5
2019-08-08,0.3
2019-08-15,0.1
2019-08-22,0.4
2019-09-12,1.0
2019-09-26,0.5
2019-10-10,1.0
2019-10-17,0.4
2019-10-24,0.4
2019-10-31,1.3
2019-11-14,0.4
2019-11-21,0.0
2019-11-28,0.9
2019-12-12,0.6
2020-01-16,0.8
2020-01-23,0.5
2020-01-30,0.2
2020-02-13,0.6
2020-02-20,1.0
2020-02-27,0.3
2020-03-12,1.8
2020-03-19,8.4
2020-03-26,1.2
2020-04-02,3.4
2020-04-16,1.1
2020-04-23,1.4
2020-04-30,0.7
2020-05-07,1.2
2020-05-15,0.6
2020-05-21,0.6
2020-05-28,2.0
2020-06-04,0.8
2020-06-11,2.3
2020-06-25,1.7
2020-07-02,1.6
2020-07-09,1.1
2020-07-23,0.7
2020-07-30,0.6
2020-08-06,0.6
2020-08-13,0.6
2020-08-21,0.9
2020-09-03,3.3
2020-09-10,2.6
2020-09-17,0.7
2020-09-24,0.8
2020-10-01,0.8
2020-10-08,1.1
2020-10-15,0.6
2020-10-22,1.0
2020-11-05,0.9
2020-11-12,1.0
2020-11-19,1.0
2020-11-26,1.3
2020-12-03,0.9
2020-12-10,0.6
2020-12-17,1.2
2021-01-14,0.1
2021-01-21,0.3
2021-01-28,2.0
2021-02-11,0.6
2021-02-18,0.5
2021-02-25,2.9
2021-03-04,0.9
2021-03-11,0.8
2021-03-18,1.0
2021-03-25,0.9
2021-04-01,1.5
2021-04-08,0.5
2021-04-15,1.3
2021-04-22,0.9
2021-04-29,0.3
2021-05-06,1.0
2021-05-13,0.1
2021-05-21,0.6
2021-05-27,0.6
2021-06-03,0.8
2021-06-17,1.5
2021-06-24,0.6
2021-07-01,1.2
2021-07-08,0.3
2021-07-15,2.5
2021-07-22,0.7
2021-07-29,0.1
2021-08-05,0.8
2021-08-12,1.0
2021-08-19,1.5
2021-08-26,1.0
2021-09-02,1.0
2021-09-09,1.6
2021-09-23,1.6
2021-09-30,5.1
2021-10-07,1.1
2021-10-14,2.6
2021-10-21,3.0
2021-10-28,3.1
2021-11-04,2.7
2021-11-11,2.8
2021-11-16,1.1
2021-11-25,2.0
2021-12-02,1.8
2021-12-09,2.8
2021-12-16,3.3
2022-01-20,0.9
2022-01-27,1.0
2022-02-03,0.4
2022-02-10,3.1
2022-02-17,0.7
2022-02-24,1.1
2022-03-03,3.0
2022-03-10,1.6
2022-03-17,0.0
2022-03-24,1.4
2022-03-31,1.1
2022-04-07,1.7
2022-04-21,2.6
2022-04-28,0.8
2022-05-05,2.5
2022-05-12,0.9
2022-05-20,2.1
2022-05-26,1.2
2022-06-02,1.0
2022-06-09,1.3
2022-06-16,1.8
2022-06-23,1.6
2022-06-30,1.1
2022-07-07,0.8
2022-07-14,1.0
2022-07-21,1.5
2022-07-28,0.8
2022-08-04,1.2
2022-08-11,1.4
2022-08-18,1.0
2022-09-01,1.1
2022-09-08,1.2
2022-09-15,1.1
