date,C5:BSPA.MAM1A4.P1
2019-01-31,257152.0
2019-02-28,258389.0
2019-03-31,259887.0
2019-04-30,261058.0
2019-05-31,262832.0
2019-06-30,264245.0
2019-07-31,265486.0
2019-08-31,267197.0
2019-09-30,268570.0
2019-10-31,270094.0
2019-11-30,271921.0
2019-12-31,273557.0
2020-01-31,275222.0
2020-02-29,276706.0
2020-03-31,278069.0
2020-04-30,277479.0
2020-05-31,279159.0
2020-06-30,280357.0
2020-07-31,282251.0
2020-08-31,284377.0
2020-09-30,286693.0
2020-10-31,289557.0
2020-11-30,292645.0
2020-12-31,295957.0
2021-01-31,298830.0
2021-02-28,301450.0
2021-03-31,305039.0
2021-04-30,307871.0
2021-05-31,310772.0
2021-06-30,313256.0
2021-07-31,315889.0
2021-08-31,317021.0
2021-09-30,319231.0
2021-10-31,321555.0
2021-11-30,323888.0
2021-12-31,325937.0
2022-01-31,327448.0
2022-02-28,328776.0
2022-03-31,330169.0
2022-04-30,331404.0
2022-05-31,332536.0
2022-06-30,333535.0
2022-07-31,334287.0
2022-08-31,335194.0
2022-09-30,336147.0
2022-10-31,337073.0
2022-11-30,338404.0
2022-12-31,339535.0
2023-01-31,340208.0
2023-02-28,340659.0
2023-03-31,341658.0
2023-04-30,342313.0
2023-05-31,343244.0
2023-06-30,344508.0
2023-07-31,345305.0
2023-08-31,346358.0
2023-09-30,347346.0
2023-10-31,348490.0
2023-11-30,349647.0
2023-12-31,349689.0
2024-01-31,350393.0
2024-02-29,351217.0
2024-03-31,352396.0
2024-04-30,353261.0
2024-05-31,354658.0
2024-06-30,355660.0
2024-07-31,356335.0
2024-08-31,357552.0
2024-09-30,359000.0
2024-10-31,360580.0
2024-11-30,362354.0
2024-12-31,364099.0
2025-01-31,365484.0
2025-02-28,366689.0
2025-03-31,368569.0
2025-04-30,370232.0
2025-05-31,372414.0
2025-06-30,374113.0
2025-07-31,375483.0
2025-08-31,377484.0
2025-09-30,379301.0
2025-10-31,381370.0
2025-11-30,383491.0
2025-12-31,385637.0
2026-01-31,387327.0
2026-02-28,388598.0
2026-03-31,390573.0
2026-04-30,391964.0
2026-05-31,393940.0
2026-06-30,395422.0
2026-07-31,396846.0
