date,L2:LIQ.MBA8
2019-01-31,427681.0
2019-02-28,428782.0
2019-03-31,430815.0
2019-04-30,432414.0
2019-05-31,435036.0
2019-06-30,435788.0
2019-07-31,438753.0
2019-08-31,440899.0
2019-09-30,443347.0
2019-10-31,445613.0
2019-11-30,446327.0
2019-12-31,448572.0
2020-01-31,450844.0
2020-02-29,451619.0
2020-03-31,454628.0
2020-04-30,455563.0
2020-05-31,456699.0
2020-06-30,454642.0
2020-07-31,455395.0
2020-08-31,455440.0
2020-09-30,456356.0
2020-10-31,459743.0
2020-11-30,456962.0
2020-12-31,459512.0
2021-01-31,462233.0
2021-02-28,465398.0
2021-03-31,468569.0
2021-04-30,470448.0
2021-05-31,474383.0
2021-06-30,477980.0
2021-07-31,481470.0
2021-08-31,484714.0
2021-09-30,488040.0
2021-10-31,488840.0
2021-11-30,490763.0
2021-12-31,493159.0
2022-01-31,496893.0
2022-02-28,499047.0
2022-03-31,501788.0
2022-04-30,503502.0
2022-05-31,505035.0
2022-06-30,507023.0
2022-07-31,509100.0
2022-08-31,510979.0
2022-09-30,512495.0
2022-10-31,513950.0
2022-11-30,514844.0
2022-12-31,515978.0
2023-01-31,518850.0
2023-02-28,518548.0
2023-03-31,520256.0
2023-04-30,521504.0
2023-05-31,521878.0
2023-06-30,522438.0
2023-07-31,523709.0
2023-08-31,526027.0
2023-09-30,526564.0
2023-10-31,527374.0
2023-11-30,528588.0
2023-12-31,530186.0
2024-01-31,532411.0
2024-02-29,533030.0
2024-03-31,534406.0
2024-04-30,535787.0
2024-05-31,536713.0
2024-06-30,536924.0
2024-07-31,539681.0
2024-08-31,541411.0
2024-09-30,541912.0
2024-10-31,544573.0
2024-11-30,545747.0
2024-12-31,546794.0
2025-01-31,549310.0
2025-02-28,550649.0
2025-03-31,552304.0
2025-04-30,553132.0
2025-05-31,554797.0
2025-06-30,555797.0
2025-07-31,559598.0
2025-08-31,562690.0
2025-09-30,564203.0
2025-10-31,567931.0
2025-11-30,570688.0
2025-12-31,573826.0
2026-01-31,575626.0
2026-02-28,578332.0
2026-03-31,580806.0
2026-04-30,581863.0
2026-05-31,585452.0
2026-06-30,585467.0
2026-07-31,588845.0
