date,D9:BTO.WAF.N2704
2023-12-15,940.0
2023-12-22,915.0
2023-12-29,1480.0
2024-01-05,2853.0
2024-01-12,1442.0
2024-01-19,810.0
2024-01-26,1053.0
2024-02-02,947.0
2024-02-09,1204.0
2024-02-16,1964.0
2024-02-23,1956.0
2024-03-01,1612.0
2024-03-08,2302.0
2024-03-15,1120.0
2024-03-22,1588.0
2024-03-29,966.0
2024-04-05,989.0
2024-04-12,1300.0
2024-04-19,864.0
2024-04-26,990.0
2024-05-03,1492.0
2024-05-10,1086.0
2024-05-17,2815.0
2024-05-24,2123.0
2024-05-31,2216.0
2024-06-07,1347.0
2024-06-14,2988.0
2024-06-21,2123.0
2024-06-28,2352.0
2024-07-05,1377.0
2024-07-12,1231.0
2024-07-19,1087.0
2024-07-26,805.0
2024-08-02,901.0
2024-08-09,832.0
2024-08-16,1392.0
2024-08-23,1692.0
2024-08-30,1663.0
2024-09-06,1422.0
2024-09-13,1227.0
2024-09-20,1206.0
2024-09-27,1744.0
2024-10-04,1067.0
2024-10-11,2567.0
2024-10-18,2487.0
2024-10-25,1458.0
2024-11-01,1497.0
2024-11-08,1278.0
2024-11-15,1129.0
2024-11-22,1534.0
2024-11-29,1505.0
2024-12-06,1285.0
2024-12-13,1594.0
2024-12-20,1036.0
2024-12-27,492.0
2025-01-03,691.0
2025-01-10,2427.0
2025-01-17,4334.0
2025-01-24,3445.0
2025-01-31,3609.0
2025-02-07,1898.0
2025-02-14,4231.0
2025-02-21,5172.0
2025-02-28,5007.0
2025-03-07,3340.0
2025-03-14,3883.0
2025-03-21,3439.0
2025-03-28,2599.0
2025-04-04,2585.0
2025-04-11,4732.0
2025-04-18,2619.0
2025-04-25,2249.0
2025-05-02,2198.0
2025-05-09,2295.0
2025-05-16,2342.0
2025-05-23,2934.0
2025-05-30,2952.0
2025-06-06,2442.0
2025-06-13,3014.0
2025-06-20,2368.0
2025-06-27,3243.0
2025-07-04,2234.0
2025-07-11,935.0
2025-07-18,1337.0
2025-07-25,2953.0
2025-08-01,2341.0
2025-08-08,697.0
2025-08-15,832.0
2025-08-22,390.0
2025-08-29,1818.0
2025-09-05,1460.0
2025-09-12,2373.0
2025-09-19,1697.0
2025-09-26,2565.0
2025-10-03,2470.0
2025-10-10,3403.0
2025-10-17,2997.0
2025-10-24,3207.0
2025-10-31,2407.0
2025-11-07,2715.0
2025-11-14,2040.0
2025-11-21,2324.0
2025-11-28,2021.0
2025-12-05,1931.0
2025-12-12,2319.0
2025-12-19,2486.0
2025-12-26,1381.0
2026-01-02,1329.0
2026-01-09,1773.0
2026-01-16,3591.0
2026-01-23,1626.0
2026-01-30,1589.0
2026-02-06,1832.0
2026-02-13,3186.0
2026-02-20,6025.0
2026-02-27,3471.0
2026-03-06,3174.0
2026-03-13,4175.0
2026-03-20,2787.0
2026-03-27,4953.0
2026-04-03,2995.0
2026-04-10,3968.0
2026-04-17,5263.0
2026-04-24,6015.0
2026-05-01,3905.0
2026-05-08,5139.0
2026-05-15,7753.0
2026-05-22,6185.0
2026-05-29,4777.0
2026-06-05,2693.0
2026-06-12,3305.0
2026-06-19,1364.0
2026-06-26,3389.0
2026-07-03,3441.0
2026-07-10,6626.0
2026-07-17,5845.0
2026-07-24,3400.0
2026-07-31,2777.0
2026-08-07,2501.0
2026-08-14,3191.0
2026-08-21,1901.0
2026-08-28,2326.0
2026-09-04,3779.0
