date,D30:ROSI.MAA1.P
2019-01-31,87208.0
2019-02-28,88057.0
2019-03-31,79394.0
2019-04-30,79729.0
2019-05-31,79330.0
2019-06-30,78822.0
2019-07-31,79597.0
2019-08-31,80099.0
2019-09-30,82800.0
2019-10-31,83664.0
2019-11-30,84571.0
2019-12-31,85219.0
2020-01-31,85394.0
2020-02-29,86318.0
2020-03-31,88045.0
2020-04-30,93642.0
2020-05-31,100812.0
2020-06-30,113665.0
2020-07-31,120111.0
2020-08-31,123648.0
2020-09-30,131970.0
2020-10-31,133355.0
2020-11-30,138046.0
2020-12-31,139693.0
2021-01-31,140268.0
2021-02-28,145665.0
2021-03-31,148523.0
2021-04-30,150953.0
2021-05-31,140890.0
2021-06-30,144688.0
2021-07-31,146913.0
2021-08-31,149507.0
2021-09-30,154404.0
2021-10-31,156047.0
2021-11-30,158444.0
2021-12-31,159668.0
2022-01-31,158565.0
2022-02-28,159139.0
2022-03-31,159756.0
2022-04-30,160219.0
2022-05-31,161712.0
2022-06-30,162327.0
2022-07-31,163416.0
2022-08-31,165544.0
2022-09-30,166927.0
2022-10-31,167981.0
2022-11-30,172144.0
2022-12-31,172866.0
2023-01-31,172981.0
2023-02-28,174232.0
2023-03-31,179454.0
2023-04-30,164348.0
2023-05-31,165748.0
2023-06-30,166754.0
2023-07-31,173639.0
2023-08-31,176515.0
2023-09-30,180032.0
2023-10-31,182140.0
2023-11-30,184254.0
2023-12-31,185071.0
2024-01-31,185572.0
2024-02-29,190720.0
2024-03-31,192802.0
2024-04-30,199148.0
2024-05-31,186904.0
2024-06-30,191915.0
2024-07-31,194040.0
2024-08-31,201228.0
2024-09-30,202639.0
2024-10-31,209073.0
2024-11-30,210148.0
2024-12-31,210622.0
2025-01-31,210646.0
2025-02-28,217408.0
2025-03-31,219282.0
2025-04-30,210346.0
2025-05-31,211685.0
2025-06-30,211334.0
2025-07-31,218385.0
2025-08-31,219545.0
2025-09-30,219721.0
2025-10-31,220761.0
2025-11-30,226736.0
2025-12-31,227939.0
2026-01-31,228449.0
2026-02-28,229900.0
2026-03-31,232129.0
2026-04-30,233989.0
2026-05-31,227587.0
2026-06-30,229682.0
2026-07-31,236741.0
