date,D9:BTO.WAF.I3509
2023-12-15,286.0
2023-12-22,855.0
2023-12-29,386.0
2024-01-05,92.0
2024-01-12,311.0
2024-01-19,906.0
2024-01-26,855.0
2024-02-02,557.0
2024-02-09,1289.0
2024-02-16,247.0
2024-02-23,688.0
2024-03-01,322.0
2024-03-08,615.0
2024-03-15,104.0
2024-03-22,165.0
2024-03-29,312.0
2024-04-05,132.0
2024-04-12,396.0
2024-04-19,226.0
2024-04-26,548.0
2024-05-03,91.0
2024-05-10,275.0
2024-05-17,72.0
2024-05-24,374.0
2024-05-31,246.0
2024-06-07,1543.0
2024-06-14,1966.0
2024-06-21,1758.0
2024-06-28,897.0
2024-07-05,308.0
2024-07-12,693.0
2024-07-19,177.0
2024-07-26,229.0
2024-08-02,217.0
2024-08-09,546.0
2024-08-16,372.0
2024-08-23,34.0
2024-08-30,23.0
2024-09-06,242.0
2024-09-13,192.0
2024-09-20,85.0
2024-09-27,40.0
2024-10-04,74.0
2024-10-11,94.0
2024-10-18,82.0
2024-10-25,120.0
2024-11-01,83.0
2024-11-08,159.0
2024-11-15,44.0
2024-11-22,30.0
2024-11-29,286.0
2024-12-06,339.0
2024-12-13,187.0
2024-12-20,25.0
2024-12-27,219.0
2025-01-03,312.0
2025-01-10,328.0
2025-01-17,148.0
2025-01-24,221.0
2025-01-31,53.0
2025-02-07,259.0
2025-02-14,75.0
2025-02-21,311.0
2025-02-28,102.0
2025-03-07,173.0
2025-03-14,74.0
2025-03-21,208.0
2025-03-28,156.0
2025-04-04,73.0
2025-04-11,330.0
2025-04-18,93.0
2025-04-25,116.0
2025-05-02,143.0
2025-05-09,73.0
2025-05-16,16.0
2025-05-23,28.0
2025-05-30,29.0
2025-06-06,70.0
2025-06-13,77.0
2025-06-20,8.0
2025-06-27,26.0
2025-07-04,63.0
2025-07-11,106.0
2025-07-18,79.0
2025-07-25,51.0
2025-08-01,154.0
2025-08-08,176.0
2025-08-15,129.0
2025-08-22,60.0
2025-08-29,65.0
2025-09-05,237.0
2025-09-12,85.0
2025-09-19,166.0
2025-09-26,223.0
2025-10-03,388.0
2025-10-10,209.0
2025-10-17,96.0
2025-10-24,30.0
2025-10-31,6.0
2025-11-07,277.0
2025-11-14,59.0
2025-11-21,95.0
2025-11-28,242.0
2025-12-05,34.0
2025-12-12,24.0
2025-12-19,27.0
2025-12-26,8.0
2026-01-02,5.0
2026-01-09,24.0
2026-01-16,14.0
2026-01-23,56.0
2026-01-30,17.0
2026-02-06,43.0
2026-02-13,50.0
2026-02-20,75.0
2026-02-27,42.0
2026-03-06,116.0
2026-03-13,42.0
2026-03-20,152.0
2026-03-27,154.0
2026-04-03,253.0
2026-04-10,195.0
2026-04-17,290.0
2026-04-24,435.0
2026-05-01,268.0
2026-05-08,302.0
2026-05-15,695.0
2026-05-22,495.0
2026-05-29,532.0
2026-06-05,578.0
2026-06-12,767.0
2026-06-19,335.0
2026-06-26,309.0
2026-07-03,666.0
2026-07-10,652.0
2026-07-17,291.0
2026-07-24,304.0
2026-07-31,272.0
2026-08-07,660.0
2026-08-14,1155.0
2026-08-21,684.0
2026-08-28,323.0
2026-09-04,275.0
