date,R1:RBNZ.MRL1
2019-01-31,31436.0
2019-02-28,33349.0
2019-03-31,23453.0
2019-04-30,22886.0
2019-05-31,24825.0
2019-06-30,24061.0
2019-07-31,22243.0
2019-08-31,25027.0
2019-09-30,24123.0
2019-10-31,22366.0
2019-11-30,22371.0
2019-12-31,21847.0
2020-01-31,27352.0
2020-02-29,28333.0
2020-03-31,39218.0
2020-04-30,43418.0
2020-05-31,48073.0
2020-06-30,52991.0
2020-07-31,55237.0
2020-08-31,55828.0
2020-09-30,59283.0
2020-10-31,63380.0
2020-11-30,66619.0
2020-12-31,69687.0
2021-01-31,71755.0
2021-02-28,75407.0
2021-03-31,79930.0
2021-04-30,82342.0
2021-05-31,78432.0
2021-06-30,81454.0
2021-07-31,81665.0
2021-08-31,86044.0
2021-09-30,85876.0
2021-10-31,86323.0
2021-11-30,85048.0
2021-12-31,86434.0
2022-01-31,87876.0
2022-02-28,87681.0
2022-03-31,88870.0
2022-04-30,86818.0
2022-05-31,91025.0
2022-06-30,91142.0
2022-07-31,92484.0
2022-08-31,93552.0
2022-09-30,96214.0
2022-10-31,95063.0
2022-11-30,100087.0
2022-12-31,98240.0
2023-01-31,97450.0
2023-02-28,101570.0
2023-03-31,99667.0
2023-04-30,91103.0
2023-05-31,91466.0
2023-06-30,85881.0
2023-07-31,91942.0
2023-08-31,93347.0
2023-09-30,92862.0
2023-10-31,94074.0
2023-11-30,92832.0
2023-12-31,86610.0
2024-01-31,91399.0
2024-02-29,91293.0
2024-03-31,89552.0
2024-04-30,90524.0
2024-05-31,79712.0
2024-06-30,79844.0
2024-07-31,84685.0
2024-08-31,77953.0
2024-09-30,78294.0
2024-10-31,85213.0
2024-11-30,82610.0
2024-12-31,84047.0
2025-01-31,89726.0
2025-02-28,89670.0
2025-03-31,83586.0
2025-04-30,72374.0
2025-05-31,71963.0
2025-06-30,67596.0
2025-07-31,70010.0
2025-08-31,68249.0
2025-09-30,70381.0
2025-10-31,65343.0
2025-11-30,71453.0
2025-12-31,66715.0
2026-01-31,68005.0
2026-02-28,66456.0
2026-03-31,74011.0
2026-04-30,67301.0
2026-05-31,66186.0
2026-06-30,67427.0
2026-07-31,67734.0
