date,D30:ROSN.MAD1.P9
2019-04-30,15.0
2019-05-31,15.0
2019-06-30,15.0
2019-12-31,-2.0
2020-04-30,20.0
2020-05-31,20.0
2023-10-31,-25.0
2023-12-31,-90.0
2024-03-31,68.0
2024-04-30,68.0
2024-05-31,68.0
2024-06-30,68.0
2024-07-31,68.0
2024-08-31,71.0
2024-09-30,70.0
2024-10-31,68.0
2024-11-30,68.0
2024-12-31,68.0
2025-02-28,45.0
2025-03-31,45.0
2025-04-30,45.0
2025-10-31,0.0
2025-11-30,45.0
2025-12-31,45.0
2026-04-30,45.0
