date,D10:govt_cash_influence
2019-01-31,-5140.4
2019-02-28,-501.3
2019-03-29,1298.7
2019-04-30,1916.3
2019-05-31,-3617.0
2019-06-28,975.2
2019-07-31,3876.6
2019-08-30,-2244.2
2019-09-30,2618.0
2019-10-31,1411.0
2019-11-29,1070.0
2019-12-31,2024.0
2020-01-31,-5705.9
2020-02-28,1070.2
2020-03-31,6805.0
2020-04-30,8267.0
2020-05-29,-1808.3
2020-06-30,5183.2
2020-07-31,5373.3
2020-08-31,556.9
2020-09-30,4947.1
2020-10-30,1069.6
2020-11-30,1957.3
2020-12-31,5443.2
2021-01-29,-7533.6
2021-02-26,3383.0
2021-03-31,-455.0
2021-04-30,2305.4
2021-05-31,-6431.5
2021-06-30,873.4
2021-07-30,3720.7
2021-08-31,-92.0
2021-09-30,4101.2
2021-10-29,4709.1
2021-11-30,3595.3
2021-12-31,7401.9
2022-01-31,-7085.3
2022-02-28,427.4
2022-03-31,4671.4
2022-04-29,4430.7
2022-05-31,-6006.4
2022-06-30,553.0
2022-07-29,4427.6
2022-08-31,-430.0
2022-09-30,1280.9
2022-10-31,1773.0
2022-11-30,4381.5
2022-12-30,6967.6
2023-01-31,-8007.3
2023-02-28,-57.7
2023-03-31,1247.6
2023-04-28,4669.5
2023-05-31,-4249.3
2023-06-30,1946.7
2023-07-31,6017.7
2023-08-31,-1470.7
2023-09-29,1315.0
2023-10-31,1920.0
2023-11-30,954.9
2023-12-29,5555.2
2024-01-31,-7024.8
2024-02-29,1076.1
2024-03-29,707.0
2024-04-30,2385.2
2024-05-31,-804.3
2024-06-27,-2382.0
2024-07-31,3336.6
2024-08-30,10.8
2024-09-30,5105.0
2024-10-31,3236.4
2024-11-29,2994.0
2024-12-31,3185.6
2025-01-31,-6900.1
2025-02-28,2544.9
2025-03-31,3820.0
2025-04-30,5034.0
2025-05-30,-1244.9
2025-06-30,3861.1
2025-07-31,4677.2
2025-08-29,-501.2
2025-09-30,-392.4
2025-10-31,4190.3
2025-11-28,758.7
2025-12-31,9246.5
2026-01-30,-7999.0
2026-02-27,3525.8
2026-03-31,-1502.1
2026-04-30,2524.1
2026-05-29,-3882.9
2026-06-30,248.0
2026-07-31,6846.1
