date,C5:CRDS.MALP1
2019-01-31,259827.0
2019-02-28,261056.0
2019-03-31,262622.0
2019-04-30,263809.0
2019-05-31,265635.0
2019-06-30,267095.0
2019-07-31,268353.0
2019-08-31,270094.0
2019-09-30,271505.0
2019-10-31,273066.0
2019-11-30,274954.0
2019-12-31,276666.0
2020-01-31,278397.0
2020-02-29,279898.0
2020-03-31,281366.0
2020-04-30,280776.0
2020-05-31,282482.0
2020-06-30,283709.0
2020-07-31,285615.0
2020-08-31,287757.0
2020-09-30,290083.0
2020-10-31,292989.0
2020-11-30,296119.0
2020-12-31,299515.0
2021-01-31,302425.0
2021-02-28,305110.0
2021-03-31,308854.0
2021-04-30,311816.0
2021-05-31,314857.0
2021-06-30,317515.0
2021-07-31,320295.0
2021-08-31,321498.0
2021-09-30,323811.0
2021-10-31,326286.0
2021-11-30,328771.0
2021-12-31,330984.0
2022-01-31,332662.0
2022-02-28,334123.0
2022-03-31,335756.0
2022-04-30,337134.0
2022-05-31,338373.0
2022-06-30,339477.0
2022-07-31,340324.0
2022-08-31,341275.0
2022-09-30,342226.0
2022-10-31,343173.0
2022-11-30,344454.0
2022-12-31,345524.0
2023-01-31,346137.0
2023-02-28,346534.0
2023-03-31,347489.0
2023-04-30,348066.0
2023-05-31,348865.0
2023-06-30,350042.0
2023-07-31,350722.0
2023-08-31,351690.0
2023-09-30,352567.0
2023-10-31,353611.0
2023-11-30,354661.0
2023-12-31,355955.0
2024-01-31,356545.0
2024-02-29,357274.0
2024-03-31,358450.0
2024-04-30,359329.0
2024-05-31,360570.0
2024-06-30,361477.0
2024-07-31,362119.0
2024-08-31,363248.0
2024-09-30,364572.0
2024-10-31,366085.0
2024-11-30,367732.0
2024-12-31,369380.0
2025-01-31,370699.0
2025-02-28,371873.0
2025-03-31,373671.0
2025-04-30,375287.0
2025-05-31,377440.0
2025-06-30,379151.0
2025-07-31,380493.0
2025-08-31,382484.0
2025-09-30,384298.0
2025-10-31,386335.0
2025-11-30,388500.0
2025-12-31,390591.0
2026-01-31,392315.0
2026-02-28,393606.0
2026-03-31,395637.0
2026-04-30,397016.0
2026-05-31,399034.0
2026-06-30,400512.0
2026-07-31,401944.0
