date,R1:RBNZ.MRA104
2019-01-31,566.0
2019-02-28,444.0
2019-03-31,347.0
2019-04-30,213.0
2019-05-31,212.0
2019-06-30,416.0
2019-07-31,254.0
2019-08-31,189.0
2019-09-30,245.0
2019-10-31,176.0
2019-11-30,241.0
2019-12-31,425.0
2020-01-31,151.0
2020-02-29,106.0
2020-03-31,640.0
2020-04-30,488.0
2020-05-31,709.0
2020-06-30,602.0
2020-07-31,603.0
2020-08-31,609.0
2020-09-30,273.0
2020-10-31,240.0
2020-11-30,435.0
2020-12-31,555.0
2021-01-31,587.0
2021-02-28,614.0
2021-03-31,514.0
2021-04-30,556.0
2021-05-31,631.0
2021-06-30,471.0
2021-07-31,435.0
2021-08-31,467.0
2021-09-30,422.0
2021-10-31,598.0
2021-11-30,424.0
2021-12-31,459.0
2022-01-31,289.0
2022-02-28,331.0
2022-03-31,523.0
2022-04-30,478.0
2022-05-31,303.0
2022-06-30,271.0
2022-07-31,1509.0
2022-08-31,269.0
2022-09-30,379.0
2022-10-31,238.0
2022-11-30,224.0
2022-12-31,198.0
2023-01-31,286.0
2023-02-28,277.0
2023-03-31,235.0
2023-04-30,262.0
2023-05-31,274.0
2023-06-30,274.0
2023-07-31,234.0
2023-08-31,219.0
2023-09-30,329.0
2023-10-31,291.0
2023-11-30,269.0
2023-12-31,351.0
2024-01-31,179.0
2024-02-29,211.0
2024-03-31,188.0
2024-04-30,164.0
2024-05-31,397.0
2024-06-30,290.0
2024-07-31,80.0
2024-08-31,479.0
2024-09-30,728.0
2024-10-31,222.0
2024-11-30,111.0
2024-12-31,296.0
2025-01-31,78.0
2025-02-28,58.0
2025-03-31,27.0
2025-04-30,209.0
2025-05-31,364.0
2025-06-30,489.0
2025-07-31,370.0
2025-08-31,232.0
2025-09-30,146.0
2025-10-31,338.0
2025-11-30,423.0
2025-12-31,532.0
2026-01-31,649.0
2026-02-28,488.0
2026-03-31,265.0
2026-04-30,372.0
2026-05-31,560.0
2026-06-30,406.0
2026-07-31,455.0
