date,D30:ROSN.MAD2.P1ZZW
2019-01-31,2815.0
2019-02-28,3592.0
2019-03-31,1868.0
2019-04-30,2504.0
2019-05-31,2564.0
2019-06-30,1492.0
2019-07-31,2995.0
2019-08-31,2387.0
2019-09-30,1954.0
2019-10-31,2680.0
2019-11-30,2866.0
2019-12-31,1304.0
2020-01-31,2143.0
2020-02-29,2900.0
2020-03-31,2208.0
2020-04-30,1555.0
2020-05-31,1770.0
2020-06-30,1031.0
2020-07-31,1097.0
2020-08-31,13.0
2020-09-30,363.0
2020-10-31,-514.0
2020-11-30,-317.0
2020-12-31,-92.0
2021-01-31,-652.0
2021-02-28,-516.0
2021-03-31,-85.0
2021-04-30,-668.0
2021-05-31,-1722.0
2021-06-30,-928.0
2021-07-31,-632.0
2021-08-31,-1305.0
2021-09-30,-604.0
2021-10-31,-383.0
2021-11-30,-453.0
2021-12-31,-255.0
2022-01-31,-837.0
2022-02-28,109.0
2022-03-31,189.0
2022-04-30,-1474.0
2022-05-31,-824.0
2022-06-30,-926.0
2022-07-31,-1730.0
2022-08-31,-3216.0
2022-09-30,-3755.0
2022-10-31,-1670.0
2022-11-30,-1819.0
2022-12-31,-1865.0
2023-01-31,-571.0
2023-02-28,-1108.0
2023-03-31,-1181.0
2023-04-30,-784.0
2023-05-31,-535.0
2023-06-30,291.0
2023-07-31,-1371.0
2023-08-31,725.0
2023-09-30,93.0
2023-10-31,199.0
2023-11-30,746.0
2023-12-31,746.0
2024-01-31,1277.0
2024-02-29,650.0
2024-03-31,-636.0
2024-04-30,80.0
2024-05-31,-1073.0
2024-06-30,603.0
2024-07-31,763.0
2024-08-31,1046.0
2024-09-30,2161.0
2024-10-31,2574.0
2024-11-30,2864.0
2024-12-31,5341.0
2025-01-31,3539.0
2025-02-28,3597.0
2025-03-31,627.0
2025-04-30,2871.0
2025-05-31,3489.0
2025-06-30,7036.0
2025-07-31,7571.0
2025-08-31,4105.0
2025-09-30,4923.0
2025-10-31,6342.0
2025-11-30,10983.0
2025-12-31,8870.0
2026-01-31,6326.0
2026-02-28,8715.0
2026-03-31,12674.0
2026-04-30,14229.0
2026-05-31,13720.0
2026-06-30,10784.0
2026-07-31,10955.0
