date,bond_redeemed_market
2019-03-15,4509.324
2020-04-15,3329.14
2021-05-17,6413.0
2023-04-17,7030.0
2024-05-15,7391.0
2025-04-15,6982.0
2025-09-22,2244.0
2026-05-15,6194.0
