date,L2:LIQ.MBA7.ZZZZZR4
2019-01-31,86.9
2019-02-28,87.2
2019-03-31,87.8
2019-04-30,88.0
2019-05-31,87.1
2019-06-30,87.3
2019-07-31,87.5
2019-08-31,86.6
2019-09-30,87.4
2019-10-31,87.1
2019-11-30,87.3
2019-12-31,86.8
2020-01-31,86.1
2020-02-29,87.0
2020-03-31,88.3
2020-04-30,88.8
2020-05-31,88.3
2020-06-30,88.3
2020-07-31,88.5
2020-08-31,88.6
2020-09-30,88.6
2020-10-31,88.3
2020-11-30,88.5
2020-12-31,88.7
2021-01-31,87.1
2021-02-28,86.5
2021-03-31,86.8
2021-04-30,86.5
2021-05-31,85.7
2021-06-30,86.6
2021-07-31,87.1
2021-08-31,86.3
2021-09-30,87.3
2021-10-31,87.8
2021-11-30,87.9
2021-12-31,89.1
2022-01-31,88.6
2022-02-28,88.8
2022-03-31,89.5
2022-04-30,89.6
2022-05-31,88.9
2022-06-30,89.9
2022-07-31,90.1
2022-08-31,90.1
2022-09-30,90.6
2022-10-31,90.4
2022-11-30,91.0
2022-12-31,91.2
2023-01-31,89.6
2023-02-28,90.5
2023-03-31,90.4
2023-04-30,90.2
2023-05-31,89.7
2023-06-30,90.3
2023-07-31,90.7
2023-08-31,90.5
2023-09-30,90.3
2023-10-31,90.4
2023-11-30,90.6
2023-12-31,90.9
2024-01-31,90.1
2024-02-29,89.7
2024-03-31,89.7
2024-04-30,89.6
2024-05-31,89.2
2024-06-30,89.1
2024-07-31,89.3
2024-08-31,88.3
2024-09-30,88.5
2024-10-31,88.9
2024-11-30,89.1
2024-12-31,90.1
2025-01-31,89.2
2025-02-28,89.3
2025-03-31,89.5
2025-04-30,89.8
2025-05-31,89.1
2025-06-30,89.4
2025-07-31,89.7
2025-08-31,88.8
2025-09-30,89.5
2025-10-31,89.8
2025-11-30,89.5
2025-12-31,89.8
2026-01-31,89.3
2026-02-28,89.2
2026-03-31,89.5
2026-04-30,90.1
2026-05-31,89.3
2026-06-30,89.7
2026-07-31,89.2
