date,C50:MCA.MDB.C1
2019-01-31,5997.0
2019-02-28,5976.0
2019-03-31,6104.0
2019-04-30,6028.0
2019-05-31,6040.0
2019-06-30,6169.0
2019-07-31,6088.0
2019-08-31,6174.0
2019-09-30,6150.0
2019-10-31,6291.0
2019-11-30,6464.0
2019-12-31,6539.0
2020-01-31,6475.0
2020-02-29,6530.0
2020-03-31,6697.0
2020-04-30,6924.0
2020-05-31,7243.0
2020-06-30,7157.0
2020-07-31,7188.0
2020-08-31,7253.0
2020-09-30,7354.0
2020-10-31,7467.0
2020-11-30,7407.0
2020-12-31,7516.0
2021-01-31,7542.0
2021-02-28,7514.0
2021-03-31,7602.0
2021-04-30,7573.0
2021-05-31,7588.0
2021-06-30,7601.0
2021-07-31,7642.0
2021-08-31,7704.0
2021-09-30,7937.0
2021-10-31,8084.0
2021-11-30,8177.0
2021-12-31,8393.0
2022-01-31,8284.0
2022-02-28,8263.0
2022-03-31,8361.0
2022-04-30,8433.0
2022-05-31,8391.0
2022-06-30,8339.0
2022-07-31,8315.0
2022-08-31,8311.0
2022-09-30,8326.0
2022-10-31,8373.0
2022-11-30,8386.0
2022-12-31,8514.0
2023-01-31,8365.0
2023-02-28,8396.0
2023-03-31,8483.0
2023-04-30,8485.0
2023-05-31,8416.0
2023-06-30,8382.0
2023-07-31,8386.0
2023-08-31,8389.0
2023-09-30,8439.0
2023-10-31,8428.0
2023-11-30,8473.0
2023-12-31,8614.0
2024-01-31,8449.0
2024-02-29,8464.0
2024-03-31,8493.0
2024-04-30,8289.0
2024-05-31,8428.0
2024-06-30,8428.0
2024-07-31,8390.0
2024-08-31,8403.0
2024-09-30,8419.0
2024-10-31,8442.0
2024-11-30,8513.0
2024-12-31,8696.0
2025-01-31,8600.0
2025-02-28,8639.0
2025-03-31,8637.0
2025-04-30,8657.0
2025-05-31,8589.0
2025-06-30,8605.0
2025-07-31,8601.0
2025-08-31,8630.0
2025-09-30,8658.0
2025-10-31,8760.0
2025-11-30,8861.0
2025-12-31,9101.0
2026-01-31,9061.0
2026-02-28,9074.0
2026-03-31,9046.0
2026-04-30,9055.0
2026-05-31,9039.0
2026-06-30,9106.0
2026-07-31,9165.0
