date,D10:cash_begin
2019-01-31,7462.0
2019-02-28,7028.0
2019-03-29,7274.0
2019-04-30,7356.0
2019-05-31,7346.0
2019-06-28,6858.0
2019-07-31,7229.0
2019-08-30,8448.0
2019-09-30,7848.0
2019-10-31,7979.0
2019-11-29,6801.0
2019-12-31,7372.0
2020-01-31,7452.0
2020-02-28,7422.0
2020-03-31,7411.0
2020-04-30,21880.0
2020-05-29,28689.0
2020-06-30,26001.3
2020-07-31,23387.6
2020-08-31,23870.0
2020-09-30,19370.9
2020-10-30,18731.3
2020-11-30,21721.3
2020-12-31,22648.1
2021-01-29,29572.7
2021-02-26,23734.1
2021-03-31,24669.0
2021-04-30,25912.5
2021-05-31,30491.6
2021-06-30,29802.2
2021-07-30,30046.1
2021-08-31,32411.6
2021-09-30,33800.1
2021-10-29,33448.7
2021-11-30,36645.0
2021-12-31,36932.7
2022-01-31,44457.9
2022-02-28,40135.9
2022-03-31,40652.4
2022-04-29,46293.1
2022-05-31,47296.9
2022-06-30,45215.0
2022-07-29,44885.5
2022-08-31,47713.3
2022-09-30,44572.5
2022-10-31,46952.0
2022-11-30,49041.4
2022-12-30,52404.0
2023-01-31,56412.2
2023-02-28,48005.4
2023-03-31,49017.0
2023-04-28,45747.1
2023-05-31,54673.1
2023-06-30,50306.5
2023-07-31,45359.8
2023-08-31,51962.9
2023-09-29,49217.4
2023-10-31,48157.3
2023-11-30,49182.2
2023-12-29,48837.8
2024-01-31,50375.8
2024-02-29,44905.6
2024-03-29,41638.6
2024-04-30,43612.4
2024-05-31,42988.0
2024-06-27,43801.1
2024-07-31,37594.6
2024-08-30,40838.9
2024-09-30,31273.3
2024-10-31,32881.8
2024-11-29,36484.1
2024-12-31,38447.1
2025-01-31,38216.7
2025-02-28,36112.1
2025-03-31,31963.0
2025-04-30,32848.7
2025-05-30,35502.8
2025-06-30,33930.5
2025-07-31,32541.7
2025-08-29,32799.4
2025-09-30,28242.0
2025-10-31,30659.1
2025-11-28,28636.9
2025-12-31,28697.6
2026-01-30,33397.3
2026-02-27,25947.2
2026-03-31,27799.7
2026-04-30,28309.0
2026-05-29,24228.3
2026-06-30,25517.1
2026-07-31,24963.3
