date,B2:INM.DN.NZK
2023-12-27,5.35
2024-01-25,5.52
2024-02-07,5.38
2024-02-08,5.38
2024-02-21,5.43
2024-02-23,5.43
2024-02-27,5.52
2024-03-26,5.38
2024-03-28,5.37
2024-04-02,5.48
2024-04-05,5.44
2024-04-08,5.4
2024-04-11,5.52
2024-04-12,5.52
2024-04-18,5.46
2024-05-08,5.45
2024-05-14,5.43
2024-05-17,5.52
2024-05-22,5.52
2024-05-24,5.52
2024-05-27,5.52
2024-05-28,5.51
2024-05-31,5.52
2024-06-04,5.52
2024-06-05,5.51
2024-06-06,5.52
2024-06-07,5.49
2024-06-10,5.52
2024-06-11,5.52
2024-06-12,5.52
2024-06-13,5.52
2024-06-18,5.53
2024-06-19,5.53
2024-06-21,5.45
2024-06-24,5.53
2024-06-25,5.53
2024-06-26,5.53
2024-06-27,5.53
2024-07-01,5.53
2024-07-02,5.53
2024-07-03,5.53
2024-07-04,5.53
2024-07-05,5.53
2024-07-09,5.53
2024-07-16,5.53
2024-07-23,5.38
2024-07-24,5.53
2024-07-25,5.53
2024-07-26,5.38
2024-07-29,5.38
2024-08-01,5.53
2024-08-05,5.53
2024-08-06,5.53
2024-08-07,5.53
2024-08-21,5.28
2024-08-28,5.35
2024-08-29,5.4
2024-09-11,5.3
2024-09-12,5.12
2024-09-23,5.2
2024-10-07,5.33
2024-10-10,4.83
2024-10-17,4.67
2024-10-18,4.67
2024-10-21,4.67
2024-10-23,4.68
2024-10-24,4.68
2024-10-25,4.64
2024-10-29,4.82
2024-10-31,4.7
2024-11-04,4.83
2024-11-05,4.83
2024-11-07,4.7
2024-11-08,4.82
2024-11-11,4.82
2024-11-14,4.82
2024-11-19,4.67
2024-11-25,4.81
2024-12-10,4.32
2024-12-16,4.33
2024-12-17,4.33
2024-12-18,4.33
2024-12-20,4.33
2024-12-24,4.33
2025-02-03,4.14
2025-02-14,4.12
2025-03-14,3.82
2025-03-17,3.82
2025-03-24,3.83
2025-03-25,3.82
2025-04-09,3.6
2025-04-14,3.36
2025-05-15,3.57
2025-05-19,3.57
2025-06-03,3.1
2025-06-09,3.17
2025-06-10,3.12
2025-06-11,3.1
2025-06-30,3.32
2025-07-01,3.32
2025-07-15,3.32
2025-07-18,3.32
2025-07-22,3.24
2025-07-23,3.1
2025-08-04,3.32
2025-08-07,3.32
2025-08-08,3.32
2025-08-11,3.32
2025-08-12,3.32
2025-08-13,3.32
2025-08-19,3.32
2025-08-20,3.32
2025-08-21,3.07
2025-08-25,3.09
2025-08-28,3.1
2025-08-29,3.1
2025-09-01,3.09
2025-09-02,3.08
2025-09-03,2.85
2025-09-11,3.07
2025-09-15,3.09
2025-09-17,3.13
2025-09-18,3.27
2025-09-30,3.14
2025-10-06,3.12
2025-10-10,2.64
2025-10-20,2.65
2025-10-22,2.64
2025-10-24,2.64
2025-10-29,2.68
2025-10-30,2.72
2025-11-21,2.58
2025-11-26,2.6
2025-12-01,2.32
2025-12-02,2.45
2025-12-04,2.4
2025-12-05,2.4
2025-12-08,2.36
2025-12-22,2.34
2026-01-08,2.35
2026-01-09,2.35
2026-01-13,2.34
2026-01-14,2.35
2026-01-15,2.35
2026-01-28,2.34
2026-01-29,2.45
2026-01-30,2.6
2026-02-02,2.35
2026-02-03,2.35
2026-02-05,2.32
2026-02-09,2.32
2026-02-11,2.35
2026-02-12,2.42
2026-02-16,2.32
2026-02-17,2.34
2026-02-18,2.34
2026-02-19,2.36
2026-02-20,2.34
2026-02-25,2.33
2026-02-26,2.3
2026-02-27,2.32
2026-03-02,2.33
2026-03-03,2.33
2026-03-04,2.33
2026-03-05,2.3
2026-03-11,2.33
2026-03-12,2.2
2026-03-16,2.31
2026-03-17,2.29
2026-03-18,2.29
2026-03-20,2.28
2026-03-23,2.3
2026-03-25,2.28
2026-03-27,2.3
2026-03-30,2.31
2026-03-31,2.36
2026-04-01,2.34
2026-04-02,2.34
2026-04-07,2.29
2026-04-08,2.33
2026-04-09,2.34
2026-04-10,2.35
2026-04-14,2.34
2026-04-15,2.33
2026-04-21,2.31
2026-04-29,2.32
2026-04-30,2.32
2026-05-01,2.33
2026-05-04,2.35
2026-05-06,2.32
2026-05-07,2.35
2026-05-13,2.33
2026-05-14,2.32
2026-05-15,2.3
2026-05-20,2.31
2026-05-22,2.3
2026-05-25,2.31
2026-05-29,2.31
2026-06-09,2.3
2026-06-12,2.3
2026-06-17,2.28
2026-06-24,2.31
2026-06-25,2.3
2026-06-29,2.33
2026-06-30,2.33
2026-07-02,2.3
2026-07-03,2.31
2026-07-21,2.75
2026-07-22,2.63
2026-08-07,2.57
2026-08-12,2.57
2026-08-17,2.58
2026-08-28,2.58
2026-09-01,2.57
2026-09-03,2.83
