date,C50:MCA.MDC.G
2019-01-31,2443.0
2019-02-28,1987.0
2019-03-31,5136.0
2019-04-30,7424.0
2019-05-31,3406.0
2019-06-30,5594.0
2019-07-31,10000.0
2019-08-31,7689.0
2019-09-30,8164.0
2019-10-31,9659.0
2019-11-30,11882.0
2019-12-31,11955.0
2020-01-31,6160.0
2020-02-29,9449.0
2020-03-31,18929.0
2020-04-30,27583.0
2020-05-31,28260.0
2020-06-30,30536.0
2020-07-31,33310.0
2020-08-31,37109.0
2020-09-30,40603.0
2020-10-31,43887.0
2020-11-30,42809.0
2020-12-31,48677.0
2021-01-31,39123.0
2021-02-28,40673.0
2021-03-31,41207.0
2021-04-30,43526.0
2021-05-31,39671.0
2021-06-30,39916.0
2021-07-31,40753.0
2021-08-31,37818.0
2021-09-30,38806.0
2021-10-31,40617.0
2021-11-30,43144.0
2021-12-31,50168.0
2022-01-31,42509.0
2022-02-28,41797.0
2022-03-31,44402.0
2022-04-30,48697.0
2022-05-31,42580.0
2022-06-30,42839.0
2022-07-31,43744.0
2022-08-31,42620.0
2022-09-30,43798.0
2022-10-31,42453.0
2022-11-30,42541.0
2022-12-31,45404.0
2023-01-31,38586.0
2023-02-28,38267.0
2023-03-31,36564.0
2023-04-30,41082.0
2023-05-31,34697.0
2023-06-30,36313.0
2023-07-31,37609.0
2023-08-31,34868.0
2023-09-30,35627.0
2023-10-31,37333.0
2023-11-30,35542.0
2023-12-31,40002.0
2024-01-31,32985.0
2024-02-29,29645.0
2024-03-31,30791.0
2024-04-30,28868.0
2024-05-31,28550.0
2024-06-30,27636.0
2024-07-31,31563.0
2024-08-31,24875.0
2024-09-30,27448.0
2024-10-31,26432.0
2024-11-30,28985.0
2024-12-31,31807.0
2025-01-31,23913.0
2025-02-28,21346.0
2025-03-31,23600.0
2025-04-30,28570.0
2025-05-31,24416.0
2025-06-30,26939.0
2025-07-31,28271.0
2025-08-31,27724.0
2025-09-30,28346.0
2025-10-31,27997.0
2025-11-30,25683.0
2025-12-31,31530.0
2026-01-31,23242.0
2026-02-28,25962.0
2026-03-31,24443.0
2026-04-30,23385.0
2026-05-31,19874.0
2026-06-30,21662.0
2026-07-31,21055.0
