date,C5:CRD.MNA311
2019-01-31,2675.0
2019-02-28,2667.0
2019-03-31,2736.0
2019-04-30,2752.0
2019-05-31,2803.0
2019-06-30,2850.0
2019-07-31,2867.0
2019-08-31,2897.0
2019-09-30,2935.0
2019-10-31,2972.0
2019-11-30,3032.0
2019-12-31,3109.0
2020-01-31,3175.0
2020-02-29,3193.0
2020-03-31,3298.0
2020-04-30,3297.0
2020-05-31,3324.0
2020-06-30,3352.0
2020-07-31,3364.0
2020-08-31,3381.0
2020-09-30,3390.0
2020-10-31,3432.0
2020-11-30,3475.0
2020-12-31,3558.0
2021-01-31,3595.0
2021-02-28,3660.0
2021-03-31,3815.0
2021-04-30,3945.0
2021-05-31,4085.0
2021-06-30,4259.0
2021-07-31,4406.0
2021-08-31,4477.0
2021-09-30,4579.0
2021-10-31,4731.0
2021-11-30,4884.0
2021-12-31,5047.0
2022-01-31,5215.0
2022-02-28,5347.0
2022-03-31,5586.0
2022-04-30,5730.0
2022-05-31,5837.0
2022-06-30,5942.0
2022-07-31,6037.0
2022-08-31,6081.0
2022-09-30,6079.0
2022-10-31,6100.0
2022-11-30,6050.0
2022-12-31,5989.0
2023-01-31,5930.0
2023-02-28,5875.0
2023-03-31,5831.0
2023-04-30,5754.0
2023-05-31,5620.0
2023-06-30,5535.0
2023-07-31,5416.0
2023-08-31,5332.0
2023-09-30,5221.0
2023-10-31,5120.0
2023-11-30,5015.0
2023-12-31,6266.0
2024-01-31,6152.0
2024-02-29,6058.0
2024-03-31,6054.0
2024-04-30,6068.0
2024-05-31,5912.0
2024-06-30,5817.0
2024-07-31,5785.0
2024-08-31,5696.0
2024-09-30,5572.0
2024-10-31,5505.0
2024-11-30,5378.0
2024-12-31,5281.0
2025-01-31,5216.0
2025-02-28,5185.0
2025-03-31,5102.0
2025-04-30,5055.0
2025-05-31,5026.0
2025-06-30,5038.0
2025-07-31,5010.0
2025-08-31,4999.0
2025-09-30,4997.0
2025-10-31,4966.0
2025-11-30,5009.0
2025-12-31,4954.0
2026-01-31,4988.0
2026-02-28,5008.0
2026-03-31,5065.0
2026-04-30,5052.0
2026-05-31,5094.0
2026-06-30,5089.0
2026-07-31,5098.0
