date,coupons_market_paid
2019-03-15,230.925
2019-03-20,205.0
2019-04-15,717.9
2019-04-22,71.25
2019-05-15,331.77
2019-09-20,211.25
2019-10-14,77.875
2019-10-15,639.188
2019-10-21,93.0
2019-11-15,346.77
2020-03-20,214.375
2020-04-14,77.875
2020-04-15,670.812
2020-04-20,106.5
2020-05-15,378.645
2020-09-21,216.875
2020-10-14,107.625
2020-10-15,936.925
2020-10-20,170.25
2020-11-16,457.645
2021-03-22,223.125
2021-04-14,123.375
2021-04-15,1002.55
2021-04-20,198.0
2021-05-17,495.395
2021-09-20,230.625
2021-10-14,142.625
2021-10-15,1024.55
2021-10-20,207.0
2021-11-15,255.375
2022-03-21,230.625
2022-04-14,144.375
2022-04-15,1044.05
2022-04-20,207.0
2022-05-16,295.5
2022-09-20,250.35
2022-10-14,149.625
2022-10-17,1092.612
2022-10-20,220.5
2022-11-15,311.1
2023-03-20,244.0
2023-04-14,177.433
2023-04-17,1122.211
2023-04-20,220.5
2023-05-15,495.062
2023-09-20,244.825
2023-10-16,942.613
2023-10-20,224.625
2023-11-15,583.156
2024-03-20,242.938
2024-04-15,977.69
2024-04-22,234.375
2024-05-15,860.5
2024-09-20,244.325
2024-10-14,261.87
2024-10-15,690.332
2024-10-21,270.0
2024-11-15,1209.779
2025-03-20,240.465
2025-04-14,268.783
2025-04-15,703.082
2025-04-21,296.25
2025-05-15,1463.385
2025-09-22,245.153
2025-10-14,274.908
2025-10-15,507.145
2025-10-20,331.125
2025-11-17,1654.715
2026-03-20,242.131
2026-04-14,287.595
2026-04-15,507.145
2026-04-20,328.59
2026-05-15,1929.74
