date,D30:ROSI.MAA1.P1
2019-01-31,64081.0
2019-02-28,64731.0
2019-03-31,55744.0
2019-04-30,55614.0
2019-05-31,55614.0
2019-06-30,55584.0
2019-07-31,56384.0
2019-08-31,57034.0
2019-09-30,59434.0
2019-10-31,60334.0
2019-11-30,60884.0
2019-12-31,61384.0
2020-01-31,61784.0
2020-02-29,62484.0
2020-03-31,63384.0
2020-04-30,63504.0
2020-05-31,67454.0
2020-06-30,78804.0
2020-07-31,86154.0
2020-08-31,89804.0
2020-09-30,97604.0
2020-10-31,100004.0
2020-11-30,105954.0
2020-12-31,108354.0
2021-01-31,109254.0
2021-02-28,114254.0
2021-03-31,116504.0
2021-04-30,117704.0
2021-05-31,107595.0
2021-06-30,111195.0
2021-07-31,113195.0
2021-08-31,115695.0
2021-09-30,120345.0
2021-10-31,122345.0
2021-11-30,124845.0
2021-12-31,126345.0
2022-01-31,126545.0
2022-02-28,127345.0
2022-03-31,128345.0
2022-04-30,128945.0
2022-05-31,129945.0
2022-06-30,130745.0
2022-07-31,131730.0
2022-08-31,132915.0
2022-09-30,134300.0
2022-10-31,135485.0
2022-11-30,139820.0
2022-12-31,140984.0
2023-01-31,141659.0
2023-02-28,142832.0
2023-03-31,147767.0
2023-04-30,132757.0
2023-05-31,134342.0
2023-06-30,135507.0
2023-07-31,141892.0
2023-08-31,143977.0
2023-09-30,146662.0
2023-10-31,148747.0
2023-11-30,150332.0
2023-12-31,151664.0
2024-01-31,152404.0
2024-02-29,157639.0
2024-03-31,159224.0
2024-04-30,165459.0
2024-05-31,153094.0
2024-06-30,157659.0
2024-07-31,159738.0
2024-08-31,166973.0
2024-09-30,168558.0
2024-10-31,175143.0
2024-11-30,176728.0
2024-12-31,177813.0
2025-01-31,178398.0
2025-02-28,184983.0
2025-03-31,186568.0
2025-04-30,177053.0
2025-05-31,178438.0
2025-06-30,179803.0
2025-07-31,187188.0
2025-08-31,188323.0
2025-09-30,189438.0
2025-10-31,190417.0
2025-11-30,197467.0
2025-12-31,198538.0
2026-01-31,199423.0
2026-02-28,200808.0
2026-03-31,202643.0
2026-04-30,204028.0
2026-05-31,197058.0
2026-06-30,198678.0
2026-07-31,206463.0
