date,R1:RBNZ.MRA
2019-01-31,34088.0
2019-02-28,36050.0
2019-03-31,26176.0
2019-04-30,25669.0
2019-05-31,27665.0
2019-06-30,26697.0
2019-07-31,24911.0
2019-08-31,27822.0
2019-09-30,26962.0
2019-10-31,25202.0
2019-11-30,25185.0
2019-12-31,24599.0
2020-01-31,30214.0
2020-02-29,31302.0
2020-03-31,42323.0
2020-04-30,46504.0
2020-05-31,51125.0
2020-06-30,56100.0
2020-07-31,58393.0
2020-08-31,58986.0
2020-09-30,62483.0
2020-10-31,66590.0
2020-11-30,69697.0
2020-12-31,72758.0
2021-01-31,74824.0
2021-02-28,78401.0
2021-03-31,82972.0
2021-04-30,85328.0
2021-05-31,81371.0
2021-06-30,84289.0
2021-07-31,84504.0
2021-08-31,88816.0
2021-09-30,88668.0
2021-10-31,88887.0
2021-11-30,87766.0
2021-12-31,89180.0
2022-01-31,90711.0
2022-02-28,90418.0
2022-03-31,91457.0
2022-04-30,89480.0
2022-05-31,93722.0
2022-06-30,93912.0
2022-07-31,95283.0
2022-08-31,96334.0
2022-09-30,99140.0
2022-10-31,97888.0
2022-11-30,102798.0
2022-12-31,100969.0
2023-01-31,100229.0
2023-02-28,104379.0
2023-03-31,102562.0
2023-04-30,94075.0
2023-05-31,94475.0
2023-06-30,88860.0
2023-07-31,95418.0
2023-08-31,97061.0
2023-09-30,97740.0
2023-10-31,99146.0
2023-11-30,97774.0
2023-12-31,91634.0
2024-01-31,96548.0
2024-02-29,96408.0
2024-03-31,94838.0
2024-04-30,95823.0
2024-05-31,84798.0
2024-06-30,84417.0
2024-07-31,89514.0
2024-08-31,82655.0
2024-09-30,83016.0
2024-10-31,90187.0
2024-11-30,87610.0
2024-12-31,89332.0
2025-01-31,95005.0
2025-02-28,95078.0
2025-03-31,89040.0
2025-04-30,77756.0
2025-05-31,77324.0
2025-06-30,72438.0
2025-07-31,74998.0
2025-08-31,73399.0
2025-09-30,75711.0
2025-10-31,70776.0
2025-11-30,76944.0
2025-12-31,72216.0
2026-01-31,73262.0
2026-02-28,71899.0
2026-03-31,79577.0
2026-04-30,72757.0
2026-05-31,71584.0
2026-06-30,73188.0
2026-07-31,73237.0
