date,D9:BTO.WAF
2023-12-15,18562.0
2023-12-22,18201.0
2023-12-29,10859.0
2024-01-05,16160.0
2024-01-12,21442.0
2024-01-19,21432.0
2024-01-26,18004.0
2024-02-02,18652.0
2024-02-09,20080.0
2024-02-16,20716.0
2024-02-23,22288.0
2024-03-01,39325.0
2024-03-08,28372.0
2024-03-15,19138.0
2024-03-22,29078.0
2024-03-29,22823.0
2024-04-05,20524.0
2024-04-12,38177.0
2024-04-19,28929.0
2024-04-26,18110.0
2024-05-03,29791.0
2024-05-10,25670.0
2024-05-17,31098.0
2024-05-24,34269.0
2024-05-31,27493.0
2024-06-07,27555.0
2024-06-14,37881.0
2024-06-21,29952.0
2024-06-28,29990.0
2024-07-05,28169.0
2024-07-12,33937.0
2024-07-19,29668.0
2024-07-26,31439.0
2024-08-02,35009.0
2024-08-09,29158.0
2024-08-16,31483.0
2024-08-23,40108.0
2024-08-30,53843.0
2024-09-06,39182.0
2024-09-13,31976.0
2024-09-20,32055.0
2024-09-27,37507.0
2024-10-04,41419.0
2024-10-11,38258.0
2024-10-18,36534.0
2024-10-25,39191.0
2024-11-01,50808.0
2024-11-08,45535.0
2024-11-15,35521.0
2024-11-22,35368.0
2024-11-29,42442.0
2024-12-06,47862.0
2024-12-13,44421.0
2024-12-20,40320.0
2024-12-27,21057.0
2025-01-03,21274.0
2025-01-10,43168.0
2025-01-17,41831.0
2025-01-24,42645.0
2025-01-31,39575.0
2025-02-07,36633.0
2025-02-14,49602.0
2025-02-21,80344.0
2025-02-28,49180.0
2025-03-07,50247.0
2025-03-14,44791.0
2025-03-21,47265.0
2025-03-28,49192.0
2025-04-04,41943.0
2025-04-11,73563.0
2025-04-18,42814.0
2025-04-25,35976.0
2025-05-02,53984.0
2025-05-09,46809.0
2025-05-16,42064.0
2025-05-23,45825.0
2025-05-30,55520.0
2025-06-06,50285.0
2025-06-13,49592.0
2025-06-20,38135.0
2025-06-27,52749.0
2025-07-04,47664.0
2025-07-11,74112.0
2025-07-18,49564.0
2025-07-25,56280.0
2025-08-01,48457.0
2025-08-08,57992.0
2025-08-15,53269.0
2025-08-22,56951.0
2025-08-29,56997.0
2025-09-05,47607.0
2025-09-12,62128.0
2025-09-19,57144.0
2025-09-26,81801.0
2025-10-03,82849.0
2025-10-10,63357.0
2025-10-17,58680.0
2025-10-24,65405.0
2025-10-31,52465.0
2025-11-07,70488.0
2025-11-14,71477.0
2025-11-21,74939.0
2025-11-28,121339.0
2025-12-05,94834.0
2025-12-12,96649.0
2025-12-19,63942.0
2025-12-26,29363.0
2026-01-02,21115.0
2026-01-09,65054.0
2026-01-16,75338.0
2026-01-23,74111.0
2026-01-30,73997.0
2026-02-06,71667.0
2026-02-13,73789.0
2026-02-20,80358.0
2026-02-27,63531.0
2026-03-06,80102.0
2026-03-13,76819.0
2026-03-20,86923.0
2026-03-27,84774.0
2026-04-03,75476.0
2026-04-10,80983.0
2026-04-17,86756.0
2026-04-24,72377.0
2026-05-01,70040.0
2026-05-08,93983.0
2026-05-15,80150.0
2026-05-22,77747.0
2026-05-29,87374.0
2026-06-05,77411.0
2026-06-12,78141.0
2026-06-19,79694.0
2026-06-26,83020.0
2026-07-03,72730.0
2026-07-10,68194.0
2026-07-17,82681.0
2026-07-24,94004.0
2026-07-31,85069.0
2026-08-07,77701.0
2026-08-14,76789.0
2026-08-21,77802.0
2026-08-28,66573.0
2026-09-04,71033.0
