date,R3:UGEN.MR7009
2019-01-31,-8956.0
2019-02-28,-9489.0
2019-03-31,-4479.0
2019-04-30,-2421.0
2019-05-31,-6064.0
2019-06-30,-4741.0
2019-07-31,-1392.0
2019-08-31,-4139.0
2019-09-30,-3558.0
2019-10-31,-3011.0
2019-11-30,-2415.0
2019-12-31,-981.0
2020-01-31,-6179.0
2020-02-29,-5593.0
2020-03-31,1479.0
2020-04-30,11268.0
2020-05-31,10541.0
2020-06-30,7982.0
2020-07-31,12246.0
2020-08-31,13430.0
2020-09-30,16319.0
2020-10-31,20729.0
2020-11-30,22233.0
2020-12-31,28686.0
2021-01-31,21798.0
2021-02-28,22518.0
2021-03-31,21726.0
2021-04-30,25124.0
2021-05-31,24933.0
2021-06-30,23716.0
2021-07-31,25934.0
2021-08-31,23340.0
2021-09-30,22786.0
2021-10-31,25779.0
2021-11-30,27274.0
2021-12-31,33649.0
2022-01-31,27637.0
2022-02-28,28013.0
2022-03-31,32268.0
2022-04-30,35838.0
2022-05-31,29119.0
2022-06-30,29432.0
2022-07-31,32718.0
2022-08-31,29825.0
2022-09-30,29936.0
2022-10-31,30660.0
2022-11-30,30892.0
2022-12-31,36896.0
2023-01-31,28609.0
2023-02-28,27151.0
2023-03-31,24472.0
2023-04-30,33640.0
2023-05-31,27777.0
2023-06-30,28401.0
2023-07-31,28794.0
2023-08-31,24562.0
2023-09-30,25333.0
2023-10-31,25091.0
2023-11-30,24402.0
2023-12-31,29078.0
2024-01-31,21210.0
2024-02-29,17333.0
2024-03-31,16274.0
2024-04-30,12244.0
2024-05-31,16401.0
2024-06-30,8706.0
2024-07-31,9743.0
2024-08-31,3606.0
2024-09-30,6962.0
2024-10-31,3851.0
2024-11-30,6013.0
2024-12-31,8560.0
2025-01-31,1334.0
2025-02-28,-3124.0
2025-03-31,-1490.0
2025-04-30,4148.0
2025-05-31,1215.0
2025-06-30,2545.0
2025-07-31,624.0
2025-08-31,-1419.0
2025-09-30,-2394.0
2025-10-31,269.0
2025-11-30,-5239.0
2025-12-31,2772.0
2026-01-31,-5572.0
2026-02-28,-3688.0
2026-03-31,-7735.0
2026-04-30,-7576.0
2026-05-31,-7224.0
2026-06-30,-9364.0
2026-07-31,-9644.0
