date,D9:BTO.WAF.N2904
2023-12-15,1000.0
2023-12-22,483.0
2023-12-29,386.0
2024-01-05,448.0
2024-01-12,891.0
2024-01-19,1835.0
2024-01-26,1197.0
2024-02-02,947.0
2024-02-09,1331.0
2024-02-16,1048.0
2024-02-23,613.0
2024-03-01,436.0
2024-03-08,1046.0
2024-03-15,565.0
2024-03-22,525.0
2024-03-29,981.0
2024-04-05,1882.0
2024-04-12,1588.0
2024-04-19,2033.0
2024-04-26,1369.0
2024-05-03,2038.0
2024-05-10,1246.0
2024-05-17,1441.0
2024-05-24,2004.0
2024-05-31,2168.0
2024-06-07,1264.0
2024-06-14,1963.0
2024-06-21,2126.0
2024-06-28,939.0
2024-07-05,1842.0
2024-07-12,2826.0
2024-07-19,3809.0
2024-07-26,3496.0
2024-08-02,4276.0
2024-08-09,2623.0
2024-08-16,1907.0
2024-08-23,3898.0
2024-08-30,2370.0
2024-09-06,1708.0
2024-09-13,2017.0
2024-09-20,2794.0
2024-09-27,2730.0
2024-10-04,3562.0
2024-10-11,3335.0
2024-10-18,2045.0
2024-10-25,2654.0
2024-11-01,5255.0
2024-11-08,3097.0
2024-11-15,2122.0
2024-11-22,2087.0
2024-11-29,2173.0
2024-12-06,3700.0
2024-12-13,4912.0
2024-12-20,2162.0
2024-12-27,1151.0
2025-01-03,2000.0
2025-01-10,2270.0
2025-01-17,2162.0
2025-01-24,5162.0
2025-01-31,3661.0
2025-02-07,2486.0
2025-02-14,3862.0
2025-02-21,3174.0
2025-02-28,1761.0
2025-03-07,2030.0
2025-03-14,1809.0
2025-03-21,1867.0
2025-03-28,3294.0
2025-04-04,1610.0
2025-04-11,2048.0
2025-04-18,1889.0
2025-04-25,2356.0
2025-05-02,3442.0
2025-05-09,1373.0
2025-05-16,1423.0
2025-05-23,1148.0
2025-05-30,3628.0
2025-06-06,2883.0
2025-06-13,4196.0
2025-06-20,2642.0
2025-06-27,2775.0
2025-07-04,3467.0
2025-07-11,3702.0
2025-07-18,3855.0
2025-07-25,1746.0
2025-08-01,2884.0
2025-08-08,3353.0
2025-08-15,5294.0
2025-08-22,8632.0
2025-08-29,6635.0
2025-09-05,4985.0
2025-09-12,7536.0
2025-09-19,9303.0
2025-09-26,9631.0
2025-10-03,10065.0
2025-10-10,7620.0
2025-10-17,7043.0
2025-10-24,7757.0
2025-10-31,5845.0
2025-11-07,7280.0
2025-11-14,6802.0
2025-11-21,5473.0
2025-11-28,9332.0
2025-12-05,4895.0
2025-12-12,5631.0
2025-12-19,4638.0
2025-12-26,2660.0
2026-01-02,2422.0
2026-01-09,4610.0
2026-01-16,6628.0
2026-01-23,6686.0
2026-01-30,5174.0
2026-02-06,5637.0
2026-02-13,6662.0
2026-02-20,4803.0
2026-02-27,3422.0
2026-03-06,4183.0
2026-03-13,5403.0
2026-03-20,6772.0
2026-03-27,7227.0
2026-04-03,6701.0
2026-04-10,5132.0
2026-04-17,5716.0
2026-04-24,6024.0
2026-05-01,6474.0
2026-05-08,7023.0
2026-05-15,6186.0
2026-05-22,6139.0
2026-05-29,10483.0
2026-06-05,10407.0
2026-06-12,7003.0
2026-06-19,8087.0
2026-06-26,7571.0
2026-07-03,6791.0
2026-07-10,7642.0
2026-07-17,8458.0
2026-07-24,6719.0
2026-07-31,7231.0
2026-08-07,7911.0
2026-08-14,6473.0
2026-08-21,8867.0
2026-08-28,5869.0
2026-09-04,6816.0
