date,C50:MCA.MDC.W2
2019-01-31,33996.0
2019-02-28,33099.0
2019-03-31,34221.0
2019-04-30,33658.0
2019-05-31,33313.0
2019-06-30,32730.0
2019-07-31,33132.0
2019-08-31,34918.0
2019-09-30,36430.0
2019-10-31,36113.0
2019-11-30,36239.0
2019-12-31,35816.0
2020-01-31,37592.0
2020-02-29,38203.0
2020-03-31,42607.0
2020-04-30,44858.0
2020-05-31,43436.0
2020-06-30,42798.0
2020-07-31,43895.0
2020-08-31,48392.0
2020-09-30,38456.0
2020-10-31,44270.0
2020-11-30,41570.0
2020-12-31,38508.0
2021-01-31,39581.0
2021-02-28,40758.0
2021-03-31,37618.0
2021-04-30,39714.0
2021-05-31,39743.0
2021-06-30,38063.0
2021-07-31,38629.0
2021-08-31,36617.0
2021-09-30,39470.0
2021-10-31,40866.0
2021-11-30,39440.0
2021-12-31,35302.0
2022-01-31,38873.0
2022-02-28,37362.0
2022-03-31,37859.0
2022-04-30,39867.0
2022-05-31,38422.0
2022-06-30,38847.0
2022-07-31,39531.0
2022-08-31,42956.0
2022-09-30,42593.0
2022-10-31,42150.0
2022-11-30,42953.0
2022-12-31,40890.0
2023-01-31,40972.0
2023-02-28,40949.0
2023-03-31,42457.0
2023-04-30,42324.0
2023-05-31,43396.0
2023-06-30,43239.0
2023-07-31,43204.0
2023-08-31,43330.0
2023-09-30,43810.0
2023-10-31,43849.0
2023-11-30,45185.0
2023-12-31,44995.0
2024-01-31,45236.0
2024-02-29,48436.0
2024-03-31,46978.0
2024-04-30,46474.0
2024-05-31,45606.0
2024-06-30,45193.0
2024-07-31,45687.0
2024-08-31,46301.0
2024-09-30,49581.0
2024-10-31,45420.0
2024-11-30,45439.0
2024-12-31,47478.0
2025-01-31,48189.0
2025-02-28,47154.0
2025-03-31,47486.0
2025-04-30,48568.0
2025-05-31,49729.0
2025-06-30,51179.0
2025-07-31,51298.0
2025-08-31,50260.0
2025-09-30,52759.0
2025-10-31,52237.0
2025-11-30,51301.0
2025-12-31,50578.0
2026-01-31,53773.0
2026-02-28,52306.0
2026-03-31,52800.0
2026-04-30,55668.0
2026-05-31,56209.0
2026-06-30,52813.0
2026-07-31,51201.0
