date,C50:MCA.MDC.PSC1
2019-01-31,441085.0
2019-02-28,443256.0
2019-03-31,445699.0
2019-04-30,447103.0
2019-05-31,449476.0
2019-06-30,452040.0
2019-07-31,454339.0
2019-08-31,456217.0
2019-09-30,457884.0
2019-10-31,460954.0
2019-11-30,462957.0
2019-12-31,464313.0
2020-01-31,466689.0
2020-02-29,468785.0
2020-03-31,471201.0
2020-04-30,469180.0
2020-05-31,469849.0
2020-06-30,469193.0
2020-07-31,469015.0
2020-08-31,471476.0
2020-09-30,469864.0
2020-10-31,472056.0
2020-11-30,475480.0
2020-12-31,478815.0
2021-01-31,481845.0
2021-02-28,484163.0
2021-03-31,487507.0
2021-04-30,490301.0
2021-05-31,494936.0
2021-06-30,498463.0
2021-07-31,501304.0
2021-08-31,501982.0
2021-09-30,504403.0
2021-10-31,508167.0
2021-11-30,512063.0
2021-12-31,514212.0
2022-01-31,516481.0
2022-02-28,519011.0
2022-03-31,520526.0
2022-04-30,522775.0
2022-05-31,524967.0
2022-06-30,527136.0
2022-07-31,528177.0
2022-08-31,529915.0
2022-09-30,532221.0
2022-10-31,533494.0
2022-11-30,536160.0
2022-12-31,536441.0
2023-01-31,537109.0
2023-02-28,538057.0
2023-03-31,538482.0
2023-04-30,539442.0
2023-05-31,540265.0
2023-06-30,542642.0
2023-07-31,542988.0
2023-08-31,543893.0
2023-09-30,544936.0
2023-10-31,547476.0
2023-11-30,549424.0
2023-12-31,549044.0
2024-01-31,550312.0
2024-02-29,551991.0
2024-03-31,553300.0
2024-04-30,553992.0
2024-05-31,557194.0
2024-06-30,557041.0
2024-07-31,557031.0
2024-08-31,559295.0
2024-09-30,560408.0
2024-10-31,561855.0
2024-11-30,565053.0
2024-12-31,566801.0
2025-01-31,568532.0
2025-02-28,569426.0
2025-03-31,570710.0
2025-04-30,571931.0
2025-05-31,575525.0
2025-06-30,577786.0
2025-07-31,578983.0
2025-08-31,582718.0
2025-09-30,586323.0
2025-10-31,590758.0
2025-11-30,593758.0
2025-12-31,596248.0
2026-01-31,597792.0
2026-02-28,599069.0
2026-03-31,601107.0
2026-04-30,601175.0
2026-05-31,604642.0
2026-06-30,607506.0
2026-07-31,609902.0
