date,R1:RBNZ.MRA122
2019-01-31,7336.0
2019-02-28,8256.0
2019-03-31,3273.0
2019-04-30,3249.0
2019-05-31,3253.0
2019-06-30,3255.0
2019-07-31,3264.0
2019-08-31,3274.0
2019-09-30,3428.0
2019-10-31,3445.0
2019-11-30,3528.0
2019-12-31,3760.0
2020-01-31,4422.0
2020-02-29,4863.0
2020-03-31,6790.0
2020-04-30,15224.0
2020-05-31,22412.0
2020-06-30,27993.0
2020-07-31,34308.0
2020-08-31,40261.0
2020-09-30,47636.0
2020-10-31,52293.0
2020-11-30,55711.0
2020-12-31,57807.0
2021-01-31,59003.0
2021-02-28,59239.0
2021-03-31,62503.0
2021-04-30,64308.0
2021-05-31,60005.0
2021-06-30,61245.0
2021-07-31,62668.0
2021-08-31,61887.0
2021-09-30,61497.0
2021-10-31,58985.0
2021-11-30,59600.0
2021-12-31,59527.0
2022-01-31,59231.0
2022-02-28,58820.0
2022-03-31,57580.0
2022-04-30,55564.0
2022-05-31,55554.0
2022-06-30,55202.0
2022-07-31,56060.0
2022-08-31,54313.0
2022-09-30,53688.0
2022-10-31,53135.0
2022-11-30,53432.0
2022-12-31,52348.0
2023-01-31,52950.0
2023-02-28,51918.0
2023-03-31,53858.0
2023-04-30,43735.0
2023-05-31,43213.0
2023-06-30,42348.0
2023-07-31,42383.0
2023-08-31,42002.0
2023-09-30,42495.0
2023-10-31,41718.0
2023-11-30,42607.0
2023-12-31,43256.0
2024-01-31,42725.0
2024-02-29,42543.0
2024-03-31,42827.0
2024-04-30,42082.0
2024-05-31,35340.0
2024-06-30,35152.0
2024-07-31,35433.0
2024-08-31,36043.0
2024-09-30,35841.0
2024-10-31,35400.0
2024-11-30,35508.0
2024-12-31,35369.0
2025-01-31,35128.0
2025-02-28,34907.0
2025-03-31,34632.0
2025-04-30,25765.0
2025-05-31,25325.0
2025-06-30,25066.0
2025-07-31,24803.0
2025-08-31,24639.0
2025-09-30,23388.0
2025-10-31,22832.0
2025-11-30,22333.0
2025-12-31,22309.0
2026-01-31,22625.0
2026-02-28,22463.0
2026-03-31,21975.0
2026-04-30,21231.0
2026-05-31,19203.0
2026-06-30,18853.0
2026-07-31,18791.0
