date,C5:BSPA.MALA4.P3
2019-01-31,108828.0
2019-02-28,109661.0
2019-03-31,110687.0
2019-04-30,111158.0
2019-05-31,111000.0
2019-06-30,111996.0
2019-07-31,112806.0
2019-08-31,112979.0
2019-09-30,113356.0
2019-10-31,115099.0
2019-11-30,115592.0
2019-12-31,115363.0
2020-01-31,116126.0
2020-02-29,116573.0
2020-03-31,117969.0
2020-04-30,118151.0
2020-05-31,116884.0
2020-06-30,115059.0
2020-07-31,113167.0
2020-08-31,112607.0
2020-09-30,110011.0
2020-10-31,109473.0
2020-11-30,109336.0
2020-12-31,109296.0
2021-01-31,109481.0
2021-02-28,109461.0
2021-03-31,109588.0
2021-04-30,109531.0
2021-05-31,110065.0
2021-06-30,111168.0
2021-07-31,111372.0
2021-08-31,112144.0
2021-09-30,112971.0
2021-10-31,114450.0
2021-11-30,115637.0
2021-12-31,115687.0
2022-01-31,116296.0
2022-02-28,117944.0
2022-03-31,118066.0
2022-04-30,119186.0
2022-05-31,119772.0
2022-06-30,120755.0
2022-07-31,120908.0
2022-08-31,121628.0
2022-09-30,122894.0
2022-10-31,123381.0
2022-11-30,124811.0
2022-12-31,124286.0
2023-01-31,123603.0
2023-02-28,124085.0
2023-03-31,123340.0
2023-04-30,123989.0
2023-05-31,123327.0
2023-06-30,123754.0
2023-07-31,122648.0
2023-08-31,123058.0
2023-09-30,123289.0
2023-10-31,124780.0
2023-11-30,124391.0
2023-12-31,124485.0
2024-01-31,124723.0
2024-02-29,125498.0
2024-03-31,125528.0
2024-04-30,125492.0
2024-05-31,126619.0
2024-06-30,126140.0
2024-07-31,125287.0
2024-08-31,126143.0
2024-09-30,125726.0
2024-10-31,126219.0
2024-11-30,127889.0
2024-12-31,128076.0
2025-01-31,129014.0
2025-02-28,128817.0
2025-03-31,127539.0
2025-04-30,127181.0
2025-05-31,127038.0
2025-06-30,127228.0
2025-07-31,127259.0
2025-08-31,128342.0
2025-09-30,129997.0
2025-10-31,132368.0
2025-11-30,132274.0
2025-12-31,132833.0
2026-01-31,133043.0
2026-02-28,132963.0
2026-03-31,132804.0
2026-04-30,132877.0
2026-05-31,133359.0
2026-06-30,133369.0
2026-07-31,133109.0
