date,D10:cash_end
2019-01-31,7028.0
2019-02-28,7274.0
2019-03-29,7356.0
2019-04-30,7346.0
2019-05-31,6858.0
2019-06-28,7229.0
2019-07-31,8448.0
2019-08-30,7848.0
2019-09-30,7979.0
2019-10-31,6801.0
2019-11-29,7372.0
2019-12-31,7452.0
2020-01-31,7422.0
2020-02-28,7411.0
2020-03-31,21880.0
2020-04-30,28689.0
2020-05-29,26000.7
2020-06-30,23387.9
2020-07-31,23870.0
2020-08-31,19370.9
2020-09-30,18731.3
2020-10-30,21721.3
2020-11-30,22648.1
2020-12-31,29572.7
2021-01-29,23734.1
2021-02-26,24669.0
2021-03-31,25912.6
2021-04-30,30491.6
2021-05-31,29802.0
2021-06-30,30046.0
2021-07-30,32411.6
2021-08-31,33800.1
2021-09-30,33448.7
2021-10-29,36645.0
2021-11-30,36932.9
2021-12-31,44457.9
2022-01-31,40135.9
2022-02-28,40652.4
2022-03-31,46293.1
2022-04-29,47296.9
2022-05-31,45215.0
2022-06-30,44885.8
2022-07-29,47713.3
2022-08-31,44572.5
2022-09-30,46952.2
2022-10-31,49041.6
2022-11-30,52404.0
2022-12-30,56412.2
2023-01-31,48005.4
2023-02-28,49017.4
2023-03-31,45747.2
2023-04-28,54673.3
2023-05-31,50307.0
2023-06-30,45359.8
2023-07-31,51962.9
2023-08-31,49217.4
2023-09-29,48157.3
2023-10-31,49182.2
2023-11-30,48837.8
2023-12-29,50375.8
2024-01-31,44905.6
2024-02-29,41638.8
2024-03-29,43612.4
2024-04-30,42988.0
2024-05-31,43800.7
2024-06-27,37594.9
2024-07-31,40838.9
2024-08-30,31273.3
2024-09-30,32881.8
2024-10-31,36484.1
2024-11-29,38447.1
2024-12-31,38216.7
2025-01-31,36112.1
2025-02-28,31963.0
2025-03-31,32848.7
2025-04-30,35502.8
2025-05-30,33930.1
2025-06-30,32541.7
2025-07-31,32799.4
2025-08-29,28242.0
2025-09-30,30659.1
2025-10-31,28636.9
2025-11-28,28697.6
2025-12-31,33397.3
2026-01-30,25947.2
2026-02-27,27799.7
2026-03-31,28309.0
2026-04-30,24228.3
2026-05-29,25517.1
2026-06-30,24963.0
2026-07-31,25798.6
