date,C50:MCA.MDC.PSC
2019-01-31,453632.0
2019-02-28,455947.0
2019-03-31,458965.0
2019-04-30,460284.0
2019-05-31,463373.0
2019-06-30,465368.0
2019-07-31,468562.0
2019-08-31,472809.0
2019-09-30,474132.0
2019-10-31,475403.0
2019-11-30,476628.0
2019-12-31,477142.0
2020-01-31,480117.0
2020-02-29,484051.0
2020-03-31,488689.0
2020-04-30,486058.0
2020-05-31,486331.0
2020-06-30,484895.0
2020-07-31,486177.0
2020-08-31,488193.0
2020-09-30,486474.0
2020-10-31,489771.0
2020-11-30,493186.0
2020-12-31,495805.0
2021-01-31,497457.0
2021-02-28,498554.0
2021-03-31,501588.0
2021-04-30,503738.0
2021-05-31,507808.0
2021-06-30,511081.0
2021-07-31,514388.0
2021-08-31,514665.0
2021-09-30,517092.0
2021-10-31,519736.0
2021-11-30,524690.0
2021-12-31,526164.0
2022-01-31,529538.0
2022-02-28,530471.0
2022-03-31,531147.0
2022-04-30,535138.0
2022-05-31,536616.0
2022-06-30,539980.0
2022-07-31,539734.0
2022-08-31,543262.0
2022-09-30,548699.0
2022-10-31,548213.0
2022-11-30,548549.0
2022-12-31,548666.0
2023-01-31,548666.0
2023-02-28,550482.0
2023-03-31,549864.0
2023-04-30,551253.0
2023-05-31,552870.0
2023-06-30,553930.0
2023-07-31,554055.0
2023-08-31,556409.0
2023-09-30,557002.0
2023-10-31,560742.0
2023-11-30,561618.0
2023-12-31,561574.0
2024-01-31,562301.0
2024-02-29,563674.0
2024-03-31,565208.0
2024-04-30,565381.0
2024-05-31,567896.0
2024-06-30,567908.0
2024-07-31,569341.0
2024-08-31,571627.0
2024-09-30,573540.0
2024-10-31,575615.0
2024-11-30,578725.0
2024-12-31,582676.0
2025-01-31,583197.0
2025-02-28,584608.0
2025-03-31,585372.0
2025-04-30,586156.0
2025-05-31,588652.0
2025-06-30,590324.0
2025-07-31,592065.0
2025-08-31,596400.0
2025-09-30,601202.0
2025-10-31,605523.0
2025-11-30,607073.0
2025-12-31,608717.0
2026-01-31,610065.0
2026-02-28,612266.0
2026-03-31,614759.0
2026-04-30,612621.0
2026-05-31,615418.0
2026-06-30,621637.0
2026-07-31,621266.0
