date,C5:BSPA.MALA4.P0
2019-01-31,268466.0
2019-02-28,269711.0
2019-03-31,271080.0
2019-04-30,272271.0
2019-05-31,273934.0
2019-06-30,275369.0
2019-07-31,276447.0
2019-08-31,278179.0
2019-09-30,279583.0
2019-10-31,281056.0
2019-11-30,282996.0
2019-12-31,284695.0
2020-01-31,286232.0
2020-02-29,287736.0
2020-03-31,288573.0
2020-04-30,286890.0
2020-05-31,288713.0
2020-06-30,290121.0
2020-07-31,291891.0
2020-08-31,293822.0
2020-09-30,295190.0
2020-10-31,298105.0
2020-11-30,301346.0
2020-12-31,304579.0
2021-01-31,307274.0
2021-02-28,309819.0
2021-03-31,313218.0
2021-04-30,316112.0
2021-05-31,318967.0
2021-06-30,321370.0
2021-07-31,323915.0
2021-08-31,324595.0
2021-09-30,326640.0
2021-10-31,329079.0
2021-11-30,331691.0
2021-12-31,333731.0
2022-01-31,335112.0
2022-02-28,336389.0
2022-03-31,337599.0
2022-04-30,338743.0
2022-05-31,339850.0
2022-06-30,340817.0
2022-07-31,341545.0
2022-08-31,342419.0
2022-09-30,343449.0
2022-10-31,344488.0
2022-11-30,345960.0
2022-12-31,347085.0
2023-01-31,347703.0
2023-02-28,348198.0
2023-03-31,349144.0
2023-04-30,349833.0
2023-05-31,350708.0
2023-06-30,352033.0
2023-07-31,352852.0
2023-08-31,353890.0
2023-09-30,354931.0
2023-10-31,356130.0
2023-11-30,357475.0
2023-12-31,357503.0
2024-01-31,358123.0
2024-02-29,358958.0
2024-03-31,360101.0
2024-04-30,360948.0
2024-05-31,362238.0
2024-06-30,363238.0
2024-07-31,363825.0
2024-08-31,365064.0
2024-09-30,366570.0
2024-10-31,368144.0
2024-11-30,370053.0
2024-12-31,371787.0
2025-01-31,373100.0
2025-02-28,374321.0
2025-03-31,376155.0
2025-04-30,377765.0
2025-05-31,379909.0
2025-06-30,381589.0
2025-07-31,382843.0
2025-08-31,384905.0
2025-09-30,386765.0
2025-10-31,388837.0
2025-11-30,391143.0
2025-12-31,393231.0
2026-01-31,394852.0
2026-02-28,396121.0
2026-03-31,397987.0
2026-04-30,399295.0
2026-05-31,401232.0
2026-06-30,402703.0
2026-07-31,404072.0
