date,D30:ROSI.MAA1.P3
2019-01-31,177.0
2019-02-28,176.0
2019-03-31,175.0
2019-04-30,170.0
2019-05-31,171.0
2019-06-30,168.0
2019-07-31,168.0
2019-08-31,170.0
2019-09-30,171.0
2019-10-31,170.0
2019-11-30,167.0
2019-12-31,165.0
2020-01-31,165.0
2020-02-29,164.0
2020-03-31,191.0
2020-04-30,218.0
2020-05-31,238.0
2020-06-30,241.0
2020-07-31,247.0
2020-08-31,244.0
2020-09-30,241.0
2020-10-31,226.0
2020-11-30,217.0
2020-12-31,214.0
2021-01-31,214.0
2021-02-28,211.0
2021-03-31,194.0
2021-04-30,187.0
2021-05-31,183.0
2021-06-30,181.0
2021-07-31,178.0
2021-08-31,172.0
2021-09-30,169.0
2021-10-31,167.0
2021-11-30,164.0
2021-12-31,163.0
2022-01-31,160.0
2022-02-28,159.0
2022-03-31,156.0
2022-04-30,154.0
2022-05-31,152.0
2022-06-30,152.0
2022-07-31,151.0
2022-08-31,149.0
2022-09-30,147.0
2022-10-31,146.0
2022-11-30,144.0
2022-12-31,142.0
2023-01-31,142.0
2023-02-28,140.0
2023-03-31,147.0
2023-04-30,151.0
2023-05-31,156.0
2023-06-30,157.0
2023-07-31,157.0
2023-08-31,158.0
2023-09-30,160.0
2023-10-31,158.0
2023-11-30,157.0
2023-12-31,159.0
2024-01-31,160.0
2024-02-29,163.0
2024-03-31,160.0
2024-04-30,156.0
2024-05-31,157.0
2024-06-30,158.0
2024-07-31,159.0
2024-08-31,162.0
2024-09-30,163.0
2024-10-31,162.0
2024-11-30,162.0
2024-12-31,161.0
2025-01-31,161.0
2025-02-28,158.0
2025-03-31,157.0
2025-04-30,155.0
2025-05-31,159.0
2025-06-30,158.0
2025-07-31,159.0
2025-08-31,159.0
2025-09-30,159.0
2025-10-31,159.0
2025-11-30,159.0
2025-12-31,157.0
2026-01-31,157.0
2026-02-28,153.0
2026-03-31,152.0
2026-04-30,148.0
2026-05-31,146.0
2026-06-30,141.0
2026-07-31,140.0
