date,D9:BTO.WAF.I2509
2023-12-15,744.0
2023-12-22,194.0
2023-12-29,31.0
2024-01-05,188.0
2024-01-12,357.0
2024-01-19,166.0
2024-01-26,24.0
2024-02-02,268.0
2024-02-09,437.0
2024-02-16,320.0
2024-02-23,533.0
2024-03-01,843.0
2024-03-08,807.0
2024-03-15,211.0
2024-03-22,1082.0
2024-03-29,832.0
2024-04-05,26.0
2024-04-12,1163.0
2024-04-19,15.0
2024-04-26,399.0
2024-05-03,468.0
2024-05-10,791.0
2024-05-17,420.0
2024-05-24,1150.0
2024-05-31,61.0
2024-06-07,750.0
2024-06-14,21.0
2024-06-21,275.0
2024-06-28,817.0
2024-07-05,224.0
2024-07-12,597.0
2024-07-19,142.0
2024-07-26,203.0
2024-08-02,102.0
2024-08-09,26.0
2024-08-16,175.0
2024-08-23,69.0
2024-08-30,308.0
2024-09-06,487.0
2024-09-13,744.0
2024-09-20,1752.0
2024-09-27,589.0
2024-10-04,427.0
2024-10-11,518.0
2024-10-18,969.0
2024-10-25,726.0
2024-11-01,519.0
2024-11-08,811.0
2024-11-15,899.0
2024-11-22,827.0
2024-11-29,1065.0
2024-12-06,599.0
2024-12-13,865.0
2024-12-20,291.0
2024-12-27,113.0
2025-01-03,61.0
2025-01-10,102.0
2025-01-17,90.0
2025-01-24,395.0
2025-01-31,159.0
2025-02-07,470.0
2025-02-14,98.0
2025-02-21,520.0
2025-02-28,122.0
2025-03-07,372.0
2025-03-14,463.0
2025-03-21,358.0
2025-03-28,743.0
2025-04-04,538.0
2025-04-11,784.0
2025-04-18,190.0
2025-04-25,184.0
2025-05-02,61.0
2025-05-09,53.0
2025-05-16,68.0
2025-05-23,125.0
2025-05-30,868.0
2025-06-06,156.0
2025-06-13,57.0
2025-06-20,1.0
2025-06-27,371.0
2025-07-04,129.0
2025-07-11,6.0
2025-07-18,21.0
2025-07-25,74.0
2025-08-01,74.0
2025-08-08,0.0
2025-08-15,2.0
2025-08-22,147.0
2025-08-29,603.0
2025-09-05,1241.0
2025-09-12,837.0
2025-09-19,140.0
