date,C5:CRDS.MALP0
2019-01-31,276821.0
2019-02-28,278080.0
2019-03-31,279519.0
2019-04-30,280743.0
2019-05-31,282462.0
2019-06-30,283932.0
2019-07-31,285033.0
2019-08-31,286806.0
2019-09-30,288206.0
2019-10-31,289717.0
2019-11-30,291756.0
2019-12-31,293611.0
2020-01-31,295226.0
2020-02-29,296744.0
2020-03-31,297609.0
2020-04-30,295670.0
2020-05-31,297445.0
2020-06-30,298847.0
2020-07-31,300553.0
2020-08-31,302508.0
2020-09-30,304991.0
2020-10-31,307938.0
2020-11-30,311274.0
2020-12-31,314660.0
2021-01-31,317374.0
2021-02-28,319992.0
2021-03-31,323518.0
2021-04-30,326534.0
2021-05-31,329545.0
2021-06-30,332110.0
2021-07-31,334796.0
2021-08-31,335492.0
2021-09-30,337538.0
2021-10-31,340122.0
2021-11-30,342952.0
2021-12-31,345181.0
2022-01-31,346711.0
2022-02-28,348111.0
2022-03-31,349552.0
2022-04-30,350846.0
2022-05-31,352062.0
2022-06-30,353138.0
2022-07-31,353953.0
2022-08-31,354887.0
2022-09-30,355937.0
2022-10-31,357010.0
2022-11-30,358489.0
2022-12-31,359685.0
2023-01-31,360270.0
2023-02-28,360741.0
2023-03-31,361642.0
2023-04-30,362276.0
2023-05-31,363027.0
2023-06-30,364285.0
2023-07-31,364987.0
2023-08-31,365969.0
2023-09-30,366948.0
2023-10-31,368049.0
2023-11-30,369420.0
2023-12-31,370791.0
2024-01-31,371333.0
2024-02-29,372088.0
2024-03-31,373201.0
2024-04-30,374042.0
2024-05-31,375170.0
2024-06-30,376051.0
2024-07-31,376627.0
2024-08-31,377806.0
2024-09-30,379222.0
2024-10-31,380762.0
2024-11-30,382458.0
2024-12-31,384024.0
2025-01-31,385301.0
2025-02-28,386508.0
2025-03-31,388261.0
2025-04-30,389824.0
2025-05-31,391958.0
2025-06-30,393408.0
2025-07-31,394645.0
2025-08-31,396736.0
2025-09-30,398624.0
2025-10-31,400699.0
2025-11-30,403163.0
2025-12-31,405236.0
2026-01-31,406949.0
2026-02-28,408270.0
2026-03-31,410173.0
2026-04-30,411471.0
2026-05-31,413493.0
2026-06-30,414998.0
2026-07-31,416369.0
